Science;Ciencia
Differences in development between countries;Diferencias en el desarrollo entre países
Diffraction;Difracción
Coupled Motion dynamics;Dinámica de movimiento acoplado
Particle dynamics;Dinámica de partículas
Dynamometers;Dinamómetro
Dinosaur;Dinosaurio
Industrial devices;Dispositivos industriales
Population distribution;Distribución de la población
Geographical distribution of economic activity;Distribución geográfica de la actividad económica
Global distribution of tectonic activity;Distribución mundial de la actividad tectónica
Lunar eclipse;Eclipse lunar
Solar eclipse;Eclipse solar
Eclipses;Eclipses
Ecology;Ecología
Ecosystem;Ecosistema
Ecosystems;Ecosistemas
Maxwell's equations;Ecuaciones de Maxwell
Equations and formulae;Ecuaciones y formulación
Environmental Education;Educación ambiental
Education for sustainable development;Educación para el desarrollo sostenible
Effects of resource use;Efecto del uso de recursos
Doppler effect;Efecto Doppler
Greenhouse effect;Efecto invernadero
Microlensing effect;Efecto microlensing
The ear;El oído
Electricity;Electricidad
Mains electricity - generally;Electricidad doméstica - en líneas generales
Electricity and magnetism;Electricidad y magnetismo
Electrolysis;Electrólisis
Electromagnetism - generally;Electromagnetismo - en líneas generales
Electrons – generally;Electrón - en líneas generales
Electrochemistry;Electroquímica
Elements;Elementos
Brown dwarfs;Enanas marrones
Energy;Energía
Energy - using electricity;Energía - usando electricidad
Kinetic energy;Energía cinética
Electrical energy;Energía eléctrica
Internal Energy;Energía interna
Nuclear energy;Energía nuclear
Dark energy;Energía oscura
Potential energy;Energía potencial
Renewable energy;Energía renovable
Energy and ecosystems;Energía y ecosistemas
Inherited diseases;Enfermedades hereditarias
Ionic bonds;Enlace iónico
Bonding – generally;Enlaces - en líneas generales
Covalent bonds;Enlaces covalentes
Entropy;Entropía
Enzymes;Enzimas
Epithelial;Epitelial
Laboratory equipment – generally;Equipo de laboratorio - en líneas generales
Fieldwork equipment;Equipo para trabajo de campo
Erosion;Erosión
International scale;Escala internacional
Local scale;Escala local
Global scale;Escala mundial
National scale;Escala nacional
Regional scale;Escala regional
Writing ad press;Escribir anuncio de prensa
Endangered species;Especies en peligro de extinción
Electromagnetic spectrum;Espectro electromagnético
Atomic Absorption Spectroscopy;Espectroscopia de absorción atómica
Sperm;Esperma
Skeleton and muscles;Esqueleto y músculos
Seasons;Estaciones del año
Space stations;Estaciones espaciales
States of matter;Estados de agregación de la materia
Stimulus and response;Estímulos y respuesta
Stomach;Estómago
stratum;Estrato
Neutron stars;Estrella de neutrones
Stars;Estrellas
Binary stars;Estrellas binarias
Variable stars;Estrellas variables
Atomic structure;Estructura atómica
Cell structure;Estructura celular
Internal Structure;Estructura interna
Evolution - generally;Evolución - en líneas generales
Exo/endothermic;Exo / endotermico
exploration of the earth;Exploración de la tierra
Explorer;Explorador
Extinction;Extinción
Extraction of metal from ore;Extracción de metal a partir de minerales
Factors influencing development;Factores que influyen en el desarrollo
Pharmaceutics;Farmacéutica
Phase;Fase
Phases;Fases
Phases of the Moon;Fases de la Luna
Fertilisation;Fecundación
Climatic phenomenon;Fenómeno climático
Electrostatic phenomena and uses;Fenómeno electrostático y usos
geological phenomenon;Fenómeno geológico
geomorphologic phenomenon;Fenómeno geomorfológico
Natural phenomenon;Fenómeno natural
atmospheric phenomenon;Fenómenos atmosféricos
Nitrogenous fertilizers;Fertilizantes nitrogenados
Filtration;Filtración
Physics;Física
High Energy Physics;Física de altas energías
Nuclear physics;Física nuclear
Nuclear fission;Fisión nuclear
Flower;Flor
Flowering plants/parts of plants;Florecimiento de plantas / partes de las plantas
Dynamic Shape;Forma dinámica
Formation;Formación
fossil;Fósil
Photography and cinematography;Fotografía y cinematografía
Photosynthesis;Fotosíntesis
Wave frequency;Frecuencia de onda
Friction;Fricción
Fruit;Fruto
Energy resources;Fuentes de energía
Light sources;Fuentes de luz
Sources of resources;Fuentes de recursos
Sound sources;Fuentes de sonido
Lorentz force;Fuerza de Lorentz
Electric force;Fuerza eléctrica
Gravitational force and gravity;Fuerza gravitatoria y gravedad
Magnetic force;Fuerza magnética
Nuclear force;Fuerza nuclear
Electrostatic forces;Fuerzas electrostáticas
Forces and motion;Fuerzas y movimiento
Nuclear fusion;Fusión nuclear
Elliptical galaxy;Galaxia elíptica
Spiral galaxy;Galaxia espiral
Irregular galaxy;Galaxia irregular
Galaxies and Dwarf galaxies;Galaxias y galaxias enanas
Gas;Gas
Electricity generation/National Grid;Generación de energía eléctrica / red de transmisión de electricidad
Generators and transformers;Generadores y transformadores
Genetics;Genética
Genome;Genoma
Geography;Geografía
regional geography;Geografía regional
social geography;Geografía social
Geography and Earth Science;Geografía y ciencias de la tierra
geology;geología
Waste management;Gestión de residuos
Giants;Gigantes
Globes;Globo terráqueo
Grand unification;Gran unificación
Halogens;Halógenos
Halos;Halos
Inheritance - generally;Herencia - en líneas generales
Monohybrid inheritance;Herencia monohíbrida
Analysis Tools;Herramientas de análisis
Nautical tools;Herramientas náuticas
Tools for science;Herramientas para la ciencia
Spatial heterogeneity;Heterogeneidad espacial
Hydrocarbons;Hidrocarburos
Liver;Hígado
History of Science and Technology;Historia de la ciencia y la tecnología
Leaf;Hoja
Horology;Horología
Humans and animals;Humanos y animales
Satellite images;Imágenes de satélites
Impulse;Impulso
Refraction index;Índice de refracción
Inertia;Inercia
Inflation;Inflación cósmica
Climatic influences on ecosystems;Influencia climática en ecosistemas
Soil influences on ecosystems;Influencia de la tierra en ecosistemas
Human influences on ecosystems;Influencia humana en los ecosistemas
Spatial information;Información espacial
Space-Time Information;Información espacio-tiempo
Infrared;Infrarrojo
Forestry;Ingeniería de montes
Genetic engineering;Ingeniería genética
Insect;Insecto
Laboratory measuring instruments, including sensors and meters;Instrumentos de medida del laboratorio, incluidos sensores y medidores
Musical instruments;Instrumentos musicales
Insulin;Insulina
Particle interactions with matter;Interacción de partículas con la materia
Weak interactions: electroweak;Interacciones débiles: electrodébil
Weak interactions: quarks & leptons;Interacciones débiles: quarks y leptones
Spatial interactions;Interacciones espaciales
Spatial interpolation;Interpolación espacial
Invertebrate;Invertebrado
Energy production and energy resources research;Investigación en producción de energía y fuentes de energía
Island;Isla
Isothermal;Isotérmico
Isovolumetric;Isovolumétrico
Garden;Jardín
Gardening;Jardinería
Jets;Jets
Stomach acid and bile;Jugo gástrico y bilis
Hubble expansion;La expansión del universo de Hubble
Online Laboratories;Laboratorios online
Remote Laboratories;Laboratorios remotos
Lake;Lago
Free electron lasers;Láser de electrones libres
Tongue;Lengua
regional language;Lengua regional, idioma regional
Gravitational lenses;Lentes gravitacionales
Leptons;Leptones
Ampere's law;Ley de Ampère
Coulomb law;Ley de Coulomb
Universal law of gravitation;Ley de gravitación universal
Kepler's laws;Leyes de Kepler
Laws of Thermodynamics;Leyes de la termodinámica
Newton's laws;Leyes de Newton
Acid rain;Lluvia ácida
Location of settlements;Localización de asentamientos
Wavelength;Longitud de onda
Luminescent;Luminiscente
Moon;Luna
Light;Luz
Visible light;Luz visible
Zodiacal light;Luz zodiacal
Magnetism - generally;Magnetismo - en líneas generales
Electrical quantities - generally;Magnitudes eléctricas - en líneas generales
Mammal;Mamífero
Sunspots;Manchas solares
Star chart;Mapa estelar
Maps & plans;Mapas y planos
Machines;Máquinas
Sea;Mar
Tides;Mareas
Mass;Masa
Invariant mass;Masa invariante
Dark matter;Materia oscura
Laboratory glassware;Material de vidrio del laboratorio
Everyday materials;Materiales cotidianos
Magnetic materials;Materiales magnéticos
Useful materials and products;Materiales y productos útiles
Statistical mechanics;Mecánica estadística
Environment;Medio ambiente
Interstellar medium;Medio interestelar
Intergalactic medium;Medio intergaláctico
Meiosis;Meiosis
Metals - generally;Metales - en líneas generales
Metals – generally;Metales - en líneas generales
Alkali metals;Metales alcalinos
Transition metals;Metales de transición
Meteorite;Meteorito
Weathering;Meteorización
Meteor;Meteoro
Meteorology;Meteorología
Mixtures;Mezclas
Microbiology;Microbiología
Microwaves;Microondas
Micro-organism;Microorganismo
Microscope;Microscopio
Migration;Migración
Mineral;Mineral
Minerals;Minerales
Mineralogy;Mineralogía
Mining;Minería
Mitosis;Mitosis
Standard model;Modelo estándar
Molecules – generally;Moléculas - en líneas generales
Moment of inertia;Momento de inercia
Moments;Momentos
Mountain;Montaña
Electric motors;Motores eléctricos
Circular motion;Movimiento circular
Rectilinear motion;Movimiento rectilíneo
Muscles;Músculos
Nanotechnology;Nanotecnología
Space ships;Naves espaciales
Nebula;Nebulosa
Planetary nebula;Nebulosa planetaria
Nerve;Nervio
Nucleus: protons, neutrons;Núcleo: protones, neutrones
Nucleosynthesis;Nucleosíntesis
Plant nutrition and growth;Nutrición y crecimiento de las plantas
Nutrition and digestion - generally;Nutrición y digestión - en líneas generales
Kuiper belt objects;Objetos del cinturón de Kuiper
Near-earth objects;Objetos próximo a la Tierra
Observatories;Observatorios
Obtaining and using materials;Obtener y usar materiales
Oceania;Oceanía
Ocean;Océano
Longitudinal waves;Onda longitudinal
Waves;Ondas
Density waves;Ondas de densidad
Radio waves;Ondas de radio
Seismic waves;Ondas sísmicas
Transverse waves;Ondas transversales
Optics;Óptica
Orbit;Órbita
Organs;Órganos
Origin and evolution of the universe;Origen y evolución del universo
Oscillations;Oscilaciones
Other influences on ecosystems;Otras influencias en ecosistemas
Other geomorphological processes;Otros procesos geomorfológicos
Other types of bonding;Otros tipos de enlaces
Ova;Óvulo
Oxidation and reaction;Oxidación y reacción
Landscape;Paisaje
More economically developed countries;Países económicamente más desarrollados
Less economically developed countries;Países económicamente menos desarrollados
European countries outside the European Union;Países europeos fuera de la Unión Europea
Bird;Pájaro
Palaeontology;Paleontología
Pancreas;Páncreas
Role of electrons in reactions;Papel de los electrones en las reacciones
Particle beam parameters;Parámetros del haz de partículas
Parasite;Parásito
National park;Parque nacional
Higgs particle;Partícula de Higgs
Patterns in general;Patrones en general
Patterns in reactions;Patrones en las reacciones
Physical patterns;Patrones físicos
Human patterns;Patrones humanos
Hazards/geomorphological;Peligros / geomorfológicos
Tectonic hazards & human responses;Peligros tectónicos y respuesta humana
Hazards & human responses;Peligros y respuestas humanas
Root hair;Pelo radical
Pendulum;Péndulo
Foucault pendulum;Péndulo de Foucault
Mass loss;Pérdida de masa
Period;Periodo
Fishery;Pesca
Fish;Pescado
Weight;Peso
Oil;Petróleo
Planets;Planetas
Extrasolar planets;Planetas extrasolares
Planning & management of resources;Planificación y gestión de recursos
Plants;Plantas
Plastics/polymers;Plásticos / polímeros
Population & resources;Población y recursos
Organic Polymers;Polímeros orgánicos
Dust;Polvo
Potential;Potencial
Meadow;Prado
Pressure;Presión
Atmospheric Pressure;Presión atmosférica
Gas pressure and diffusion;Presión y difusión de gases
First scientific revolution;Primera revolución científica
Environmental issues;Problemas ambientales
Topical geographical issues;Problemas geográficos de actualidad
Metal processing;Procesamiento del metal
Cell processes - generally;Procesos celulares - en líneas generales
Life processes;Procesos de vida
Processes in general;Procesos en general
Physical processes;Procesos físicos
Geomorphological processes - general information;Procesos geomorfológicos - información general
Human processes;Procesos humanos
Tectonic processes;Procesos tectónicos
Ceramics production;Producción de cerámica
Wood production;Producción de madera
Paper production;Producción de papel
Glass production;Producción de vidrio
Properties of light - generally;Propiedades de la luz - en líneas generales
Properties of materials;Propiedades de los materiales
Properties of sound - generally;Propiedades del sonido - en líneas generales
Spatial properties;Propiedades espaciales
Environmental protection;Protección ambiental
Environmental protection;Protección medioambiental
Projection;Proyección
Puberty/adolescence;Pubertad / adolescencia
Port;Puerto
Pulsars;Púlsares
Melting/boiling points;Puntos de fusión y ebullición
QCD, jets & gluons;QCD, jets y gluones
Quarks & hadrons;Quarks y hadrones
Chemistry;Química
Analytical Chemistry;Química analítica
Quantum Chemistry;Química cuántica
Solid State Chemistry;Química del estado sólido
Physical chemistry;Química física
Inorganic chemistry;Química inorgánica
Organic chemistry;Química orgánica
Radiation;Radiación
Alpha radiation;Radiación alfa
Beta radiation;Radiación beta
Cosmic background radiation;Radiación cósmica de fondo
Background radiation;Radiación de fondo
Synchrontron radiation;Radiación de sincrotrón
Gamma radiation;Radiación gamma
Radioactivity;Radiactividad
Audible ranges;Rangos audibles
Cosmic rays;Rayos cósmicos
Gamma rays;Rayos gamma
X-rays;Rayos X
Organic Reaction;Reacción orgánica
Reactions with metals;Reacciones con metales
Displacement reactions;Reacciones de desplazamiento
Chemical Reactions;Reacciones químicas
Reversible reactions;Reacciones reversibles
Recycling;Reciclaje
Fossil resources - generally;Recursos fósiles - en líneas generales
Natural resources;Recursos naturales
Reflection;Reflexión
Refraction;Refracción
HII region;Región HII
Fossil record;Registro fósil
Solar-terrestrial relations;Relaciones solar-terrestres
Reproduction;Reproducción
Asexual reproduction;Reproducción asexual
Reptile;Reptil
Air resistance;Resistencia aerodinámica
Electrical resistance/conductivity;Resistencia eléctrica / conductividad
Supernova remnants;Restos de supernova, remanente de supernova
Rivers;Ríos
Robotics;Robótica
Rotation;Rotación
Noise;Ruido
Human health: teeth;Salud: dientes
Human health: smoking;Salud: tabaquismo
Blood;Sangre
Satellites: artificial satellites;Satélites: satélites artificiales
Satellites: natural satellites;Satélites: satélites naturales
Main sequence;Secuencia principal
Second scientific revolution;Segunda revolución científica
Mains electricity safety;Seguridad en electricidad doméstica
Seeds;Semillas
Sensors;Sensores
Senses;Sentidos
Separation - generally;Separación - en líneas generales
Separation - other;Separación - otros
Reactivity series;Serie de actividad
GIS;SIG, GIS
Space-time symmetries;Simetrías espacio-tiempo
seismology;Sismología
Reference Frame;Sistema de referencia
Endocrine System;Sistema endocrino
Integumentary System;Sistema integumentario
Nervous system;Sistema nervioso
Solar system;Sistema solar
Sun;Sol
Solids, liquids and gases;Sólidos, líquidos y gases
Solubility;Solubilidad
Sound;Sonido
Supply of resources;Suministro de recursos
Surface;Superficie
Supernova;Supernova
Supersymmetry;Supersimetría
Useful substances from rocks & minerals;Sustancias útiles a partir de rocas y minerales
Useful substances from rocks and minerals;Sustancias útiles a partir de rocas y minerales
Periodic table;Tabla periódica
Taxonomy;Taxonomía
Sound techniques;Técnicas de sonido
Textiles;Tejidos
Tissues;Tejidos
Telecommunications;Telecomunicaciones
Temperature and heat;Temperatura y calor
Theory of relativity;Teoría de la relatividad
Particle theory;Teoría de partículas
Thermodynamics;Termodinámica
Chemical Thermodynamics;Termodinámica química
Thermal decomposition;Termólisis, descomposición térmica
Thermometers;Termómetros
Earthquakes;Terremotos
Weather;Tiempo
Earth;Tierra
Types of economic activity;Tipos de actividad económica
Cell types - generally;Tipos de células - en líneas generales
Cell types – other;Tipos de células - otras
Rock types;Tipos de rocas
Horizontal throw;Tiro horizontal, lanzamiento horizontal
Vertical throw;Tiro vertical, lanzamiento vertical
Pitch;Tono
Toxin;Toxina
Work and power;Trabajo y potencia
Radiation transfer;Transferencia de radiación
Energy transfer and storage;Transferencia y almacenamiento de energía
Spatial transformations;Transformaciones espaciales
Information transmission, analogue and digital signals;Transmisión de información, señales analógica y digital
Transport (air, water and ground);Transporte (aire, mar y tierra)
Transport of reactants/products;Transporte de reactivos / productos
Transport and water in plants;Transporte y agua en las plantas
Ultrasound;Ultrasonido
Ultraviolet;Ultravioleta
Unification;Unificación
European Union;Unión Europea
Universe – generally;Universo - En líneas generales
Land use;Uso del suelo
Uses of radioactivity, including radioactive dating;Usos de la radiactividad, incluyendo la datación radiactiva
Plain;Valle
Variation – generally;Variación - en líneas generales
Variation, inheritance and evolution;Variación, herencia y evolución
Geographical variations in weather & climate;Variaciones geográficas en el tiempo y el clima
Blood vessels;Vasos sanguíneos
Velocity;Velocidad
Angular velocity;Velocidad angular
Escape velocity;Velocidad de escape
Wave speed;Velocidad de onda
Reaction rates;Velocidad de reacción
Speed in media;Velocidad en media
Vertebrate;Vertebrado
Milky Way;Vía Láctea
Extraterrestrial life;Vida extraterrestre
Half-life;Vida media
Galactic wind;Vientos galácticos
Vision;Visión
Volcano;Volcán
Volcanoes;Volcanes
Voltage;Voltaje, tensión eléctrica, diferencia de potencial
Loudness;Volumen
Space flight;Vuelo espacial
Zodiac;Zodiaco
Zoology;Zoología

