Science;Wissenschaft
Factors influencing development;Faktoren, welche die Entwicklung beeinflussen
Foucault pendulum;Faocault'sches Pendel
Colour;Farbe
Fields;Felder
Remote Laboratories;Fernlabor 
Solid State Chemistry;Festkörperchemie
Solids, liquids and gases;Feststoffe, Flüssigkeiten und Gase
Filtration;Filtration
Eclipses;Finsternisse
Fish ;Fische/Fisch (class & aninamls, class just plural; Pl./Sgl)
Fishery;Fischfang
Escape velocity;Fluchtgeschwindigkeit
Rivers;Flüsse
Reproductive system;Fortpflanzungsapparat
fossil ;fossil
Fossil record;Fossilbericht (geologiscal ...)
Fossil fuels;Fossile Brennstoffe
Fossil fuels;Fossile Kraftstoffe
Fossil resources - generally;Fossile Ressourcen allgemein
Fossil resources - generally;fossile Rohstoffe
Photography and cinematography;Fotografie und Kinematografie/Kinematographie
Free electron lasers;freier Elektronenlaser
Fruit;Frucht
Galactic wind;Galaktischer Wind
Galaxies and Dwarf galaxies;Galaxien und Zwerg Galaxien
Galaxy clusters;Galxienhaufen
Gamma rays;Gammastrahlen
Gamma ray bursts;Gammastrahlenausbruch
Gamma radiation;Gammastrahlng
Garden;Garten
Gardening;Gärtnern (more general: Landbau)
Gas;Gas
Gas;Gas, aber auch Benzin
Gas pressure and diffusion;Gasdruck/Versorgungsdruck und Ausbreitung/Diffusion
Useful materials and products;Geeignete Materialien und Produkte
Endangered species;gefährdete Art
Endangered species ;gefährdete Arten
Hazards & human responses;Gefahren & menschliche Antworten
Hazards/geomorphological;Gefahren/Risiken / geomorphologisch
Brain;Gehirn
Coupled Motion dynamics ;gekoppelte Bewegungsdynamik
Generators and transformers;Generatoren und Transformatoren
Genetics;Genetik
Genetic causes of variation and mutation;genetische Ursachen für Variation und Mutation
Genome;Genom
Genetic engineering;Gentechnik
Geography;Geographie
Geography and Earth Science;Geographie und Geowissenschaften
Geographical variations in weather & climate;geographische Variation von Wetter und Klima
Geographical distribution of economic activity;geographische Verteilung von ökonomischen Aktivitäten
geology ;Geologie
geological phenomenon ;geologisches Phänomen
geomorphologic phenomenon ;geomorphologische Phänomene
Geomorphological processes - general information;geomorphologische Prozesse- generell Information
Geophysical environment;geophysikalische Umwelt
Earth science;Geowissenschaft
Rectilinear motion;geradlinige Bewegung
Sound ;Geräusch
Sex determination;Geschlechtsbestimmung
Velocity;Geschwindigkeit
Speed in media;Geschwindigkeit im Medium
Laws of Thermodynamics;Gesetze der Thermodynamik
Rock types;Gesteinstypen
Weight;Gewicht
Tides;Gezeiten
Toxin;Gift
Glass production;Glasherstellung
Invariant mass ;gleichbleibende Messung
Equations and formulae;Gleichungen und Formeln
Global scale;Globale Skala/ globaler Maßstab
Global distribution of tectonic activity;Globale Verteilung tektonischer Aktivität
Globes;Globen
Gravitational field;Gravitations Feld
Gravitational force and gravity;Gravitationskraf/ Erdanziehungskraftt und Gravitation
Gravitational lenses;Gravitationslinsen
Grand unification ;große Vereinheitlichung
Grouping materials;gruppierende Materialen/ Eingruppierung von Materialen
Port ;Hafen
Half-life;Halbwärtszeit
Halogens;Halogene
Halos;Halos
Main sequence;Hauptreihe
Domestic appliances;Haushaltsgeräte
Domestic animal;Haustier
Integumentary System;Hautsystem 
Lifecycle of products;Herstellungsablauf eines Produkts
Hertzsprung-Russell diagram;Hertzsprung-Russel Diagramm
Heart;Herz
Cardiovascular;Herz und Gefäße (as noun); Kardiovaskulär (as adjetcive)
Heterocyclic Compounds;Heterocyclische Verbindungen
Higgs particle ;Higgs-Teilchen
HII region;HII Region
Background radiation;Hintergrundstrahlung
History of Science and Technology;History of Science and Technology
High Energy Physics;Hochenergiephysik
Wood ;Holz aber auch Wald
Wood production;Holzproduktion
Audible ranges;Hörbereich, -Reichweite
Hearing - generally;Hören allgeimein
Hearing: noise;Hören: Geräusch
Horizontal throw;Horizonthaler Wurf
Hubble expansion;Hubble Expansion
Impulse;Impuls
Conservation of momentum;Impulserhaltung
Inelastic collision;Inelastischer Stoß
Inflation;Inflation
Information transmission, analogue and digital signals;Information zu Transmission, analoge und digitale Signale
Internal Energy;Innere Energie
Internal Structure;innere Struktur / Binnenstruktur
Insect;Insekten/Insekt (class & animal; class just plural; Pl./Sgl)
Island ;Insel
Insulin;Insulin
Intergalactic medium;Intergalaktisches Medium
International scale;Internationale Größenordnung
Interstellar medium;Interstellares Medium
Ionic bonds;Ionische Bindung
Irregular galaxy;Irreguläre Galaxy
Isothermal;isothermisch/isotherm
Isovolumetric ;isovolumetrisch (gleichbleibendes Volumen)
Seasons;Jahreszeiten
Jets;Jets
Calorimeters ;Kalirometer, Wärmemesser
Maps & plans;Karten & Pläne
cartography;Karthographie
Catalysts;Katalysator
Catastrophe ;Katastrophe
Kepler's laws;keppler'sches Gesetz
Ceramics production;Keramikherstellung
Nuclear energy ;Kernenergie
Nuclear fusion;Kernfusion/Kernschmelze (both possible)
Nuclear force;Kernkraft/ Atomkraft
Nuclear physics;Kernphysik
Kinetic energy;Kinetische Energie
Classifications of economic activity;Klassifikation von ökonomischen Aktivitäten
Classification/keys;Klassifizierung/Schlüsselbegriffe
Climate;Klima
Climate ;Klima
climate;Klima, klimatisch
Climatic influences on ecosystems;klimatische Einflüsse auf Ökosysteme
Climatic phenomenon ;Klimatisches Phänomen
Cloning, selective breeding and genetic engineering;Klonen, Auslese und Genmanipulation
Skeleton and muscles;Knochenbau und Muskeln
Carbon;Kohlenstoff
Carbon and nitrogen cycles;Kohlenstoffkreislauf und Stickstoffkreislauf
Hydrocarbons;Kohlenwasserstoffe
Collision;Kollision
Combining forces;Kombinierung von Kräften
Comets and meteors;Kometen und Meteore
Compounds - generally;Komponenten
Components in circuits: batteries, etc;Komponenten in Kreisläufen: Batterein etc.
Conservative force field;konservatives Kraftfeld
Constellations;Konstellationen/ Sternbilder
Coordinates;Koordinaten
Cosmic background radiation;kosmische Hintergrund Strahlung
Cosmic rays;Kosmische Strahlen
Cosmology;Kosmologie
Covalent bonds;Kovalente Bindung
Forces and motion;Kräfte und Bewegung
Crater;Krater
Circular motion;Kreisbewegung
Circulatory System;Kreislauf (eg blood circulatory system: Blukreislauf)
Circuits - generally;Kreisläufe- generell
Globular clusters;Kugelsternhaufen
Kuiper belt objects;Kuiper Gürtel Objekte
Coasts;Küsten (singular is Küste)
Laboratory glassware;Labor Glas
Laboratory measuring instruments, including sensors and meters;Labor Messinstrumente, inklusive Sonsoren und Verteiler
Laboratory equipment – generally;Laborutensilien generell
Charge;Ladung
Landforms;Landformen
Land use;Landnutzung
Landscape;Landschaft
Longitudinal waves;Längswelle, longitudinale Welle, Longitudinalwelle
Noise ;Lärm
Loudness;Lautstärke
Life processes;Lebensprozesse
Life cycle;Lebenszyklus
Liver;Leber
Conduction, convection and evaporation;Leitung, Konvektion, Evaporation
Leptons ;Lepton, Leptonen
Light;Licht
Refraction;Lichtbrechung
Light curve;Lichtkurve
Light sources;Lichtquelle/n (sgl./pl.)
Local scale;Lokaler Maßstab
Lorentz force;Lorentz Kraft
Solubility;Löslichkeit
air ;Luft
Air resistance;Luftwiederstand
Luminescent;lumineszierend/leuchtend (adjective)
Stomach;Magen
Stomach acid and bile;Magensäure und Galle
Magnetic force;Magnetische Kraft
Magnetic materials;magnetische Materialien
Magnetic field;magnetisches Feld
Magnetism - generally;Magnetismus- allgemein
Machines;Maschinen
Mass;Masse
Mass;Masse
Mass loss;Massenverlust
States of matter;Material Zusatnd ggf. Aggregatzustand
Properties of materials;Materialeigenschaften
Material Science;Materialwissenschaften
Maxwell's equations;Maxwell'sche Gleichung
Metals - generally;Mealle allgemein
Sea ;Meer
Meiosis;Meiose
Humans and animals;Menschen und Tiere
Human patterns;Menschlcihe Muster
Human influences on ecosystems;Menschliche Einflüsse auf Ökosysteme
Human health: smoking;Menschliche Gesundheit/Gesundheit: Rauchen
Human processes;Menschliche Prozesse
Human health: teeth;Menschluche Gesundheit/Gesundheit: Zahn/Zähne
Menstrual cycle;Menstruation
Metal processing;Metallbearbeitung, Metallverarbeitung
Metals – generally;Metalle
Extraction of metal from ore;Metallgewinnung aus Erz
Metal complexes;Metallkomplexe
Meteor;Meteor
Meteorite;Meteorite
Meteorology ;Meterologie
Mining;Mienen
Migration;Migration
Microbiology ;Mikrobiologie
Microlensing effect;mikrogravitationslinsen Effekt
Micro-organism ;Mikroorganismus/Mikrooranismen (sgl./pl.)
Microscope;Mikroskop
Microwaves;Mikrowellen
Milky Way;Milchstraße
Mineral ;Mineral
Minerals;Mineralien
Mineralogy ;Mineralogie
Mixtures;Mischungen
Mitosis;Mitose
Molecules – generally;Moleküle
Moments;Momente
Moon;Mond
Lunar eclipse;Mondfinsternis
Phases of the Moon;Mondphasen
Monohybrid inheritance;monohybride Vererbung
Musical instruments;Musikinstrumente 
Muscles;Muskeln
Patterns in general;Muster im Allgemeinen
Patterns in reactions;Muster in Reaktionen
Transport and water in plants;Nährstoff und Wassertransport in Pflanzen 
Food chain;Nahrungskette
Food chains and webs;Nahrungsketten und Nahrungsnetz
Food as fuel;Nahrungsmittel als Rohstoff zur Energiegewinnung
Nanotechnology;Nanotechnologie
National scale;Nationale Ebene
National park ;Nationalpark
Natural resources;natürliche Ressourcen
Natural resources ;natürliche Ressourcen
Natural population change;natürlicher Populationswandel/-veränderung
Natural phenomenon ;Naturphänomen
Natural resources ;Naturschätze
Nautical tools;nautisches Werkzeug
Near-earth objects;Nebel
Nerve;Nerv/Nerven (sgl./pl.)
Nervous system ;Nervensystem
Neutron stars;Neutronensterne
Newton's laws;Newton'sches Gesetz
North America;Nordamerika
Nuclear decay;nuklearer Verfall
Nucleosynthesis;Nukleosynthese
Nucleus: protons, neutrons;Nukleus (Atomkern): Protonen, Neutronen 
Uses of radioactivity, including radioactive dating;Nutzen von Radioaktivität, inklusive radioaktiver Altersbestimmung
Useful substances from rocks and minerals;Nützliche Substanzen aus Gesteinen und Mineralien
Useful substances from rocks & minerals;nützliche Substanzen aus Steinen und Mineralien
Surface;Oberfläche
Observatories;Observatorium, Sternwarte
Open clusters;Offener Sternenhaufen
Ecology;Ökologie
Ecology ;Ökologie
Ecosystem ;Ökosystem
Ecosystems;Ökosysteme (singular: Ökosystem)
Oil ;Öl
Online Laboratories;Online Labor
Optics;Optik; angewandte Optik
Orbit;Orbit
Organs;Organe
Organic Biology;organische Biologie
Organic chemistry;Organische Chemie
Organic Polymers;Organische Polymere
Organic Reaction;Organische Reaktion
Location of settlements;Örtlichkeit von Sielungen
Oxidation and reaction;Oxidation und Reaktion
Ocean ;Ozean
Oceania;Ozeanien
Palaeontology ;Paleontologie
Paper production;Papierherstellung
Parallel circuits;Parallelschaltung
Parasite;Parasit
Particle interactions with matter ;Partikel-Interaktion mit Materie
Pendulum;Pendel
Period;Periode
Periodic table;Periodensystem
Plants;Pflanzen
Pharmaceutics;Pharmacie
Phase;Phase
Phases;Phasen
Photosynthesis;Photosynthese
Physical patterns;phsikalische Muster
Physics;Physik
Physical chemistry;Physikalische Chemie
Physical constants ;Physikalische Konstante
Physical changes;Physikalische Veränderung
Physical processes;physische Muster
Planetary nebula;Planetarischer Nebel
Planets;Planeten
Planning & management of resources;Planung & Management von Ressourcen
Plastics/polymers;Plastik/Polymere
Plastics/polymers;Platik/Polymere
Aurora;Polarlicht
Population & resources;Population & Ressourcen
Population change;Populationsänderung
Population distribution;Populationsverteilung
Potential;Potential
Potential energy;potentielle Energie
Writing ad press;Pressestelle, Presse, Schreiben, Journalist
Projection;Projektion
Processes in general;Prozess im Allgemeinen
Puberty/adolescence;Pubertät
Pulsars;Pulsare
QCD, jets & gluons ;QCD, Jets, Gluone
Quantum Chemistry;Quantenchemie
Quarks & hadrons ;Quarks & Hadrone
Quasars;Quasare
Sources of resources;Quellen von Ressourcen
Radioactivity;Radioaktivität
Radio waves;Radiowellen
Rockets;Raketen
Space flight;Raumflug
Spatial transformations;räumlcihe Transformierung
Spatial properties;räumliche Eigenschaften
Spatial heterogeneity;Räumliche Heterogenität
Spatial information;räumliche Information
Spatial interactions;räumliche Interaktionen
Spatial interpolation;räumliche Interpolation
Space ships;Raumschiff
Space stations;Raumstation
Space-Time Information;Raum-Zeit Information
Space-time symmetries ;Raum-Zeit Symmetrie
Reactions with metals;Reaktionen mit Metallen
Reactivity series;Reaktionsabfolge
Reaction rates;Reaktionsraten
Recycling ;Recycling
Reference Frame;Referenzrahmen
Reflection;Reflektion
Regional scale;Regionale Ebene
regional geography ;regionale Geographie
regional language ;regionale Sprache, Dialekt
Friction;Reibung
Series circuits;Reihenschaltung
Stimulus and response;Reiz und Reaktion (or: Reiz-Reaktionsschema)
Theory of relativity;Relativitätstheorie
Reptile;Reptilien (general Class); Reptilen/Reptil (Type of animals: Pl./Sgl)
Reversible reactions;reversible (umkehrbare) Reaktionen
Giants;Riesensterne
Robotics;Roboter
Role of electrons in reactions;Rolle von Elektronen während einer Reaktion
X-rays;Röntgenstrahlen, Röntgenstrahlung
Rotation;Rotation
Rotation curve;Rotationskurve
Redshift;Rotverschiebung
Rural settlements;Rurale Siedlungen
Seeds;Samen
Satellite images;Satelliten Bilder
Satellites: artificial satellites;Satelliten: künstliche Satelliten
Satellites: natural satellites;Satelliten: natürliche Satelliten
Mammal;Säugetiere/Säugetier (Class % Animabl Attribute, both, pl./sgl possible)
Acids, alkalis and bases;Säuren, Laugen und Basen
Acid rain ;saurer Regen
Sound sources;Schallquelle
stratum;Schicht
Melting/boiling points;Schmelz-/Kochpunkte
Weak interactions: electroweak ;schwache Interaktionen: elektroschwache Wechselwirkung
Weak interactions: quarks & leptons;Schwache Interaktionen: Quarks & Leptone
Black holes;schwarze Löcher
Oscillations;Schwingungen Oszillationen
Lake ;See
Vision;Sehkraft, Sehvermögen, Sichtweite (there are tons of expressions in German with slightly different meanings ... Not sure what you mean)
Seismic waves;Seismische Wellen
seismology;Seismologie
Sensors;Sensor
Mains electricity safety;Sicherung
Visible light;sichtbares Licht
Settlements: change;Siedlungen : Änderung, Wechsel, Umsiedlung
Settlements: size/character/function;Siedlungen: Größe/Eigenschaften/Funktion
Senses;Sinne
Sun;Sonne
Solar activity;Sonnenaktivität
Solar eclipse;Sonnenfinsternis
Sunspots;Sonnenflecken
Solar system;Sonnensystem
Sound techniques;Soundtechnik
social geography ;soziale Geographie
Sperm;Spermium/Spermien (sgl./pl.)
Spiral galaxy;Spiralgalaxie
Standard model ;Standard Model
More economically developed countries;stärker ökonisch entwickelte Länder
Rigid body;starrer Körper
Statistical mechanics;statistische Mechanik
Dust;Staub
Stars;Sterne
Star chart;Sternenkarte
Nitrogenous fertilizers;Stickstoffdünger
Transport of reactants/products;Stofftransport 
Radiation;Strahlung
Radiation transfer;Strahlungstransfer
Mains electricity - generally;Stromhauptleitung
Voltage;Stromspannung
South & Central America;Süd - & Zentralamerika
Supernova;Supernova
Supernova remnants;Supernovaüberrest
Supersymmetry ;Supersymmetrie
Synchrontron radiation ;Synchroton Strahlung
Tissues;Taschentuch/Taschentücher (sgl./pl.)
Taxonomy;Taxonomie
Technological applications;Technologische Anwendungen
Particle cosmology ;Teichen Kosmologie
Particle detectors ;Teichendetektor
Particle dynamics ;Teilchendynamik
Particle beam parameters ;Teilchenstrahl Paramter
Particle theory;Teilchentheorie
Separation - generally;Teilung, Trennung, Abtrennung
Tectonic processes;Tektonische Prozesse
Tectonic hazards & human responses;Tektonische Risiken & menschliche Antworten/Reaktionen
Telecommunications;Telekommunikation
Temperature and heat;Temperatur und Hitze
Textiles;Textilien
Thermal decomposition;thermische Zersetzung
Thermodynamics;Thermodynamik
Adiabatic;thermodynamische Zustandsänderung / adiabatische Zustandsänderung
Thermodynamic Cycle;Thermodynamischer Zyklus
Thermometers;Thermometer
Animal;Tier
Pitch;Tonlage
Inertia;Trägheit
Moment of inertia;Trägheitsmoment
Transport (air, water and ground);Transport (Luft, Wasser und Erde)
Transverse waves;Transverse Wellen
Greenhouse effect ;Treibhauseffekt
Drinking water;Trinkwasser
Topical geographical issues;tropische geograpische Thematiken
Transition metals;Übergangsmetall
Infrared;Ultrarot, Infrarot
Ultrasound;Ultraschall
Ultraviolet;Ultraviolet
Environmental causes of variation;Umgebungseinflüsse die zu Artenvielfalt führen (not usr eif this was meant)
Environment;Umwelt
Environment ;Umwelt
Environmental Education;Umweltbildung
Environmental education ;Umwelterziehung/Umweltbildung
Environmental protection;Umweltschutz
Environmental protection ;Umweltschutz
Environmental issues;Umweltthemen/
Asexual reproduction;ungeschlechtliche Vermehrung
Universe – generally;Universum – Allgemein
Endocrine System;unsure ... "Hormonhaushalt" maybe; rather more general "Hormone" and "Endokrines System"
Urban settlements;urbane Siedlungen
Big Bang;Urknall
Origin and evolution of the universe;Ursprung und Enwticklung des Universums
Variation, inheritance and evolution;Variation, Vererbung und Evolution
Variable stars;veränderliche Sterne
Changes in distribution of economic activity & their impact;Veränderung in der Verteilung von ökonomischenAktivitäten & deren Einfluss/Auswirkungen
Burning;Verbrennung
Digestive System;Verdauungsapperat, Verdauungssystem
Unification ;Vereinigung, Unifizierung, Vereinheitliochung
Inherited diseases;vererbte Krankheiten, Erbkrankheiten
Inheritance - generally;Vererbung (generell)
Reproduction;Vermehrung, Reproduktion (1rst more common but both possible)
Pollution ;Verschmutzung
Vertical throw;vertikaler wurf
Weathering;Verwitterung
Variation – generally;Vielfalt (generell); I rather think you mean "Artenvielfalt" but am not sure
Bird;Vögel/Vogel (Pl./Sgl)
Cell processes - generally;Vorgänge in der Zelle / Zellprozesse
Changes of state;Vränderung des Aggregatzustands
Volcano ;Vulkan
Volcanoes;Vulkane
Forest ;Wald
Forestry;Waldwirtschaft
Goods & services;Waren & Service
Water;Wasser
Water ;Wasser
Water, landscapes & people - general information;Wasser, Landschaft & Menschen- allgemeine Informationen
Hydroelectric power plant ;Wasserkraftwerk
Water cycle;Wasserkreislauf
Water cycle;Wasserkresilauf
Watercourse;Wasserlauf
Watercourse ;Wasserlauf
Waves;Waves
AC/DC;Wechselstrom/Gleichstrom
Meadow;Weide
Wave amplitude;Wellenamplitude
Wave frequency;Wellenfrequenz
Wave speed;Wellengeschwindigkeit
Wavelength;Wellenlänge
Less economically developed countries;weniger ökonomisch entwickelte Länder
Tools for science;Werkzeuge für die Wissenschaft
Weather;Wetter
Conflicting demands on environments;Widersprüchliche Umgebungsanforderungen
wild animal ;Wildtiere, wildes Tier (Class Wildtiere", a wild animal: ein "wildes Tier")
Angular acceleration;Winkelbeschleunigung
Angular velocity;Winkelgeschwindigkeit
Vertebrate;Wirbeltiere/Wirbeltier (as general "class" plural is used, as descriptive element both is possible, pl./sgl.)
Science: historical and contemporary examples;Wissenschaft: historische und zeitgenössische Beispiele
Scientists and inventors;Wissenschaftler und Investoren
Root hair;Wurzelhaare (at plants; or do you mean root of hair, then it is Haarwurzel)
Desert ;Wüste
Teeth;Zähne
Horology;Zeitmessung
Cell structure;Zellstruktur
Cell types - generally;Zelltypen - allgemein
Cell types – other;Zelltypen - andere
Central field;Zentralfeld
Centre of mass;Zentrum der Masse
Zodiac;Zodiak
Zodiacal light;Zodiakallicht
Zoology ;Zoologie
Tongue;Zunge
Second scientific revolution;Zweite wissenschaftliche Revolution
Solar-terrestrial relations; 

