Social Studies;Sozialwissenschaften
Artisanship;Handwerks
Craftsmanship;Handwerkskunst
Sacred;Heilig
Cure;Heilmittel
Healing;Heilung
Marriage;Heirat
Hero;Held
Witchcraft;Hexerei
Assistance;Hilfeleistung
Human Ecology;Humanökologie
Identity;Identität
Immigration;Immigration
Individualism;Individualismus
Individual;Individuum
Industry;Industrie
Rite of passage;Initiationsritus
Inculturation;Inkulturation
Instinct;Instinkt
Institution;Institution
Integration;Integration
Integrationism;Integrationismus
Internet;Internet
Interview;Interview
Incest;Inzest
Hunting;Jagd
Youth;Jugend
Struggle;Kampf
Cannibalism;Kannibalismus
Causalism;Kausalismus
Colonialism;Kolonialismus
Comparatism;Komparatistik
Conflict;Konflikt
Consumption;Konsum
Body;Körper
Body and body-experiences ;Körper und Körpererfahrungen
Body-practice;Körperpraxis
Corporatism;Korporatismus
Hospital;Krankenhaus
Nursing;Krankenpflege
Illness;Krankheit
Sickness;Krankheit
War;Krieg
Criminality ;Kriminalität 
Crisis;Krise
Culture;Kultur
Culture and Cultural Theory ;Kultur und Kulturtheorie
Cultural Model;Kulturmodell
Cultural Theory;Kulturtheorie
Stock;Lager
Countryside;Landschaft
Landscape;Landschaft
Agriculture;Landwirtschaft
Life;Leben
Food;Lebensmittel
Doctrine;Lehre
Corpse;Leiche
Levirate;Levirat
Liberism;Liberismus
Libertarianism;Libertarismus
Life-style;Life-Style
Logo;Logo
Local Administration;Lokale Verwaltung
Luxury;Luxus
Power;Macht
Magic;Magie
Man;Man
Male;Männlich
Marginalization;Marginalisierung
Marginality;Marginalität
Brand;Marke
Marxism;Marxismus
Mass-communication;Massenkommunikation
Material base;Materialbasis
Mechanisation;Mechanisierung
Medicine, health and sickness ;Medizin, Gesundheit und Krankheit
Opinion;Meinung
People;Menschen
Crowd;Menschenmenge
Mass;Messe
Method;Methode
Method and Methodology;Methode und Methodologie
Methodology;Methodik
Migration;Migration
Militia;Miliz
Membership;Mitgliedschaft
Middle-age;Mittleres Lebensalter
Mobbing;Mobbing
Mobility;Mobilität
Fashion;Mode
Modernism;Moderne
Modernization;Modernisierung
Monarchy;Monarchie
Monogamy;Monogamie
Monster;Monster
Multiculturalism;Multikulturalismus
Orality;Mündlichkeit
Mythology;Mythologie
Myth;Mythos
Foranging;Nahrungssuche
Name;Name
Scar;Narbe
Nation;Nation
Nationalism;Nationalismus
Nature;Natur
Nature and environment;Natur und Umwelt
Naturalism;Naturalismus
Standard;Norm
Public opinion;Öffentliche Meinung
Organ;Organ
Organization;Organisation
Commuting;Pendeln
Person;Person
Philanthropy;Philanthropie
Planning;Planung
Politics;Politik
Political life and organization ;Politik und Organisation
Police;Polizei
Polygamy;Polygamie
Popular;Populär
Pornography;Pornographie
Post-modernism;Postmoderne
Pragmatism;Pragmatismus
Prestige;Prestige
Primitive;Primitiv
Mean of production;Produktionsmittel
Cycle of production;Produktionszyklus
Proletariat;Proletariat
Propaganda;Propaganda
Prostitution;Prostitution
Proxemics;Proxemik
Psyche;Psyche
Psychology;Psychologie
Qualitative research;Qualitative Forschung
Quantitative research;Quantitative Forschung
Race;Rasse
Racism;Rassismus
Rationalization;Rationalisierung
Rationalism;Rationalismus
Law;Recht
Juridical System;Rechtssystem
Jurisprudence;Rechtswissenschaft
Legal Sciences;Rechtswissenschaften
Policy;Regelwerk
Government;Regierung
Order;Reihe
Relativism;Relativismus
Religion, belief and practice;Religion, Glaube und Sitten
Reproduction;Reproduktion
Republic ;Republik 
Resources;Ressourcen
Revolution;Revolution
Recession;Rezession
Judge;Richter
Scarnification;Ritzung
Role;Rolle
Shame;Scham
Divorce;Scheidung
Stratification;Schichtung
Patronage;Schirmherrschaft
Melting pot;Schmelztiegel
Soul;Seele
Confidence;Selbstvertrauen
Seniority;Seniorität
Sexuality;Sexualität
Slavery;Sklaverei
Social mobility;Soziale Mobilität
Social Norm;Soziale Norm
Social Geography;Sozialgeographie
Welfare state;Sozialstaat
Sociology;Soziologie
Sport;Sport
Linguistics;Sprachwissenschaft
State;Staat
City;Stadt
Urbanism;Städtewesen
Urban space;Stadtraum
Tribe;Stamm
Class;Stand
Dispute;Streit
Symbol;Symbol
Symbolism;Symbolismus
Syncretism;Synkretismus
Syncretism ;Synkretismus 
Technics;Technik
Participant Observation;Teilnehmende Beobachtung
Theory;Theorie
Theory,  Approach and Author ;Theorie, Ansatz und Autor
Animal;Tier
Animality;Tierreich
Death;Tod
Totemism;Totemismus
Tradition;Tradition
Traditional Knowledge;Traditionelles Wissen
Mourning;Trauer
Trauma;Trauma
Trend;Trend
Tribalism;Tribalismus
Survey;Umfrage
Environment ;Umwelt 
Environmentalism;Umweltschutz
Pollution;Umweltverschmutzung
Unionism;Unionismus
Universalism;Universalismus
Firm;Unternehmen
Assistance;Unterstützung
Association;Verband
Crime;Verbrechen
Behaviour;Verhalten
Behavioural sciences;Verhaltenswissenschaften
Rationality;Vernünftigkeit
Mutilation;Verstümmelung
Trust;Vertrauen
Administrative Sciences;Verwaltungswissenschaft
Kinship;Verwandtschaft
Video-recording;Videoaufzeichnung
Visual research;Visuelle Forschung
Folk culture;Volkskultur
Prejudice;Vorurteil
Choice;Wahl
Female;Weiblich
Advertising;Werbung
Wild (-ness);Wild (-nis)
Economy;Wirtschaft
Economy ;Wirtschaft
Economics;Wirtschaftswissenschaften
Beneficence;Wohltätigkeit
Central Administration;Zentraladministration
Interest;Zinsen
Future;Zukunft
Futurology;Zukunftsforschung

