Social Studies;Socialiniai mokslai
Law;Įstatymas
Resources;Ištekliai
Youth;Jaunuolis
Movement;Judėjimas
Commuting;Jungiamas
Juridical System;Juridinė sistema
Jurisprudence;Jurisprudencija
Countryside;Kaimas
Prison;Kalėjimas
Cannibalism;Kanibalizmas
War;Karas
Generation;Karta
Castration;Kastracija
Causalism;Kauzalizmas
Quantitative research;Kiekybinis tyrimas
Class;Klasė
Questionnaire;Klausimynas
Qualitative research;Kokybinis tyrimas
Colonialism;Kolonializmas
Conflict;Konfliktas
Counterculture;Kontrkultūra
Corporation;Koorporcija
Corporation;Korporacija
Corporatism;Korporatyvizmas
Struggle;Kova
Landscape;Kraštovaizdis
Incest;Kraujomaiša
Crisis;Krizė
Xenophobia;Ksenofobija
Scarnification;Kultivavimas
Culture;Kultūra
Culture and Cultural Theory ;Kultūra ir kultūros teorija
Cultural Model;Kultūrinis Modelis
Cultural Theory;Kultūros Teorija
Body;Kūnas
Body and body-experiences ;Kūnas ir kūno potyriai
Body-practice;Kūno praktika
Beneficence;Labdara
Wild (-ness);Laukinumas
Corpse;Lavonas
Liberism;Liberalizmas
Libertarianism;Libertanizmas
Desease;Liga
Hospital;Ligoninė
Sickness;Ligos
Linguistics;Lingvistika
Literacy;Literatūra
Logo;Logotipas
Handicap;Luošas
Leadership;Lyderystė
Comparatism;Lyginamasis
Fashion;Mada
Food;Maistas
Foranging;Maitinimasis
Marginality;Marginalijos
Marginalization;Marginalizacija
Brand;Markė
Marxism;Marksizmas
Mass;Masė
Mass-communication;Masinė komunikacija
Material base;Materialinė bazė
Mechanisation;Mechanizacijos
Medicine, health and sickness ;Medicina, sveikata ir ligos
Hunting;Medžioklė
Craftsmanship;Menas
Method;Metodas
Method and Methodology;Metodas ir metodologija
Methodology;Metodologija
City;Miestas
Urban space;Miesto Erdvė
Migration;Migracija
Militia;Milicija
Crowd;Minia
School of thought;Minties mokykla
Death;Mirtis
Myth;Mitas
Mythology;Mitologija
Mobbing;Mobingas
Modernization;Modernizacija
Modernism;Modernizmas
Monarchy;Monarchija
Monogamy;Monogamija
Monster;Monstras
Female;Moteris
Woman;Moteris
Multiculturalism;Multikultūralizmas
Nationalism;Nacionalizmas
Membership;Narystė
Naturalism;Natūralizmas
Mobility;Nepastovumas
Shame;Nešlovė
Melting pot;Nevienalytis
Opinion;Nuomonė
Possession;Nuosavybė
Recession;Nuosmukis
Criminality ;Nusikalstamumas
Crime;Nusikaltimas
Organ;Organas
Organization;Organizacija
Assistance;Pagalba
Basis;Pamatas
Choice;Pasirinkimas
Confidence;Pasitikėjimas
Trust;Pasitikėjimas
Loan;Paskola
Secret Society;Paslaptinga visuomenė
Heritage;Paveldas
Heritage (Natural and Cultural);Paveldas (natūralus ir kultūros)
Money;Pinigai
Planning;Planavimas
Rite of passage;Plaukimo apeigos
Police;Policija
Polygamy;Poligamija
Politics;Politika
Political life and organization ;Politinis gyvenimas ir organizavimas
Popular;Populiarus
Pornography;Pornografija
Post-modernism;Post modernizmas
Luxury;Prabanga
Pragmatism;Pragmatizmas
Commodity;Prekė
Industry;Prekyba
Prestige;Prestižas
Primitive;Primityvus
Trade Union;Profesinė sąjunga
Proletariat;Proletariatas
Propaganda;Propaganda
Prostitution;Prostitucija
Ancestor worship;Protėvių garbinimas
Psyche;Psichika
Psychology;Psichologija
Rationalization;Racionalizavimas
Rationalism;Racionalizmas
Rationality;Racionalumas
Witchcraft;Raganavimas
Scar;Randas
Race;Rasė
Racism;Rasizmas
Relativism;Realytivizmas
Advertising;Reklama
Religion, belief and practice;Religija, tikėjimas ir praktika
Reproduction;Reprodukcija
Republic ;Respublika
Revolution;Revoliucija
Marriage;Santuoka
Proxemics;Santykinių erdviš atskyrimo mokslas
Family;Šeima
Sexuality;Sexualumas
Symbol;Simbolis
Symbolism;Simbolizmas
Syncretism;Sinkretizmas
Syncretism ;Sinkretizmas
Divorce;Skyrybos
Nursing;Slaugymas
Social Geography;Socialinė Geografija
Social Norm;Socialinė norma
Welfare state;Socialinio aprūpinimo sistema
Social mobility;Socialinis mobilumas
Sociology;Sociologija
Sport;Sportas
Decision;Sprendimas
Decision-making;Sprendimų priėmimas
Standard;Standartas
Observation;Stebėjimas
Magic;Stebuklas
Policy;Strategija
Adultness;Suaugęs
Mutilation;Suluošinimas
Interest;Susidomėjimas
Illness;Susirgimas
Alienation;Susvetimėjimas
Health;Sveikata
Sacred;Šventas
Applied Social Sciences;Taikomieji Socialiniai mokslai
Nation;Tauta
Ethnicity;Tautybė
Technics;Technika
Law;Teisė
Legal Sciences;Teisės mokslai
Judge;Teismas
Trend;Tendencija
Theory;Teorija
Theory,  Approach and Author ;Teorija, požiūris ir autorius
Focus Group;Tikslinė Grupė
Totemism;Totemizmas
Tradition;Tradicija
Traditional Knowledge;Tradicinės žinios
Approach;Traktavimas
Trauma;Trauma
Tribalism;Tribalizmas
Universalism;Universalumas
Urbanism;Urbanizmas
Pollution;Užterštumas
Role;Vaidmuo
Fertility;Vaisingumas
Visual research;Vaizdinis Tyrimas
State;Valstybė
Name;Vardas
Consumption;Vartojimas
Levirate;Vedybos su brolio našle
Action;Veikla
Slavery;Vergovė
Entrepreneur;Verslininkas
Video-recording;Video įrašas
Middle-age;Vidutinis amžius
Public opinion;Vieėoji nuomonė
Unionism;Vienijimasis
Local Administration;Vietinis valdymas
Society;Visuomenė
Society and its features;Visuomenė ir jos bruožai
Male;Vyras
Old-age;Vyresnio amžiaus 
Government;Vyriausybė
Governmentality;Vyriausybinis
Agriculture;Žemės ūkis
Violence;Žiaurumas
Human Ecology;Žmogaus ekologija
Man;Žmogus
People;Žmonės
Orality;Žodinis

