Accelerators;Akseleratoriai
Nitrogenous fertilizers;Azoto trąšos
Waves;Bangos
Wave amplitude;Bangų amplitudė
Wave frequency;Bangų dažniai
Wave speed;Bangų greitis
Wavelength;Bangų ilgis
Wave characteristics - generally;Bangų savybės- bendrai
Invertebrate;Bestuburis
Beta radiation;Beta spinduliuotė
Biology;Biologija
Biomass;Biomasė
Biosphere;Biosferos
Biotechnology;Biotechnologijos
Biotope;Biotopas
Botany;Botanika
Botany ;Botanika 
Nuclear decay;Branduolio skilimas
Nuclear fission;Branduolių dalijimasis
Nuclear fusion;Branduolių sintezė
Nuclear force;Branduolonė jėga
Nucleus: protons, neutrons;Branduolys: protonai, neutronai
Puberty/adolescence;Brendimas/paauglystė
Domestic appliances;Buitiniai prietaisai
Changes of state;Būsenos pokyčiai
Central field;Centrinis laukas
Chemistry;Chemija
Chemical Kinetics;Cheminė kinetika
Chemical Reactions;Cheminės reakcijos
Chemical Thermodynamics;Cheminės Termodinamikos
Chemical changes;Cheminiai pokyčiai
Chromosomes;Chromosomai
Chromatography;Cromotografija
Charged particle acceleration ;Dalelės pagreitis
Particle detectors ;Dalelių detektoriai
Particle dynamics ;Dalelių dinamika
Particle cosmology ;Dalelių kosmologija
Particle interactions with matter ;Dalelių sąveikos su materija
Particle theory;Dalelų teorija
Teeth;Dantys
Work and power;Darbas ir galia
Education for sustainable development ;Darnaus vystymosi švietimas
Darwin;Darvinas
Reproduction;Dauginimasis
Burning;Degimas
Detectors;Detektoriai
Detectors: CCD camera;Detetoriai: CCD kamera
Isovolumetric ;Diastolės
Big Bang;Didysis sprogimas
Grand unification ;Didysis susivienijimas
Diffraction;Difrakcija
Dynamic Shape;Dinamiška forma
Dynamometers;Dinamometrai
Dinosaur;Dinozauras
Soil influences on ecosystems;Dirvožemio įtaka ekosistemai
Distillation;Distiliacija
DNA;DNR
Doppler effect;Doplerio efektas
Gas;Dujos
Gas pressure and diffusion;Dujų slėgio reguliavimas ir sklaida
Dust;Dulkės
Information transmission, analogue and digital signals;Duomenų perdavimas, analoginis ir skaitmeninis signalai
Binary stars;Dvinarės žvaigždės
Desert ;Dykuma
Einstein ring;Einšteino žiedas
Eclipses;Eklipsės
Ecology;Ekologija
Ecology ;Ekologija
Organic Agriculture;Ekologinis žemės ūkis
Classifications of economic activity;Ekonominės veiklos klasifikacija
Changes in distribution of economic activity & their impact;Ekonominės veiklos pasikeitimai ir jų įtaka
Types of economic activity;Ekonominės veiklos rūšys
Biomes;Ekosistema
Ecosystem ;Ekosistema
Ecosystems;Ekosistemos
Exo/endothermic;Ekso/endoterminis
Elastic collision;Elastiniai susidūrimai
Electricity ;Elektra
Electricity and magnetism;Elektra ir magnetizmas
Electrochemistry;Elektrochemija
Electrolysis;Elektrolizė
Electromagnetic field;Elektromagnetinis laukas
Electromagnetic spectrum;Elektromagnetinis spektras
Electromagnetism - generally;Elektromagnetizmas - bendrai
Electrons – generally;Elektronai - bendrai
Role of electrons in reactions;Elektronų vaidmuo reaguojant
Electrical energy ;Elektros energija
Electricity generation/National Grid;Elektros energijos gamyba/ nacionalinis tinklas
Electric force;Elektros jėga
Electrical quantities - generally;Elektros kiekiai - bendrai
Electric charge - generally;Elektros krūvis - bendrai
Electric field;Elektros laukas
Mains electricity - generally;Elektros maitinimas -  bendrai
Mains electricity safety;Elektros maitinimo sauga
Electric current;Elektros srovė
Electric motors;Elektros varikliai
Electrical resistance/conductivity;Elektros varža/ laidumas
Electrostatic forces;Elektrostatinės jėgos
Electrostatic phenomena and uses;Elektrostatiniai reiškiniai ir panaudojimas
Elements;Elementai
Elliptical galaxy;Elipsinė galaktika
Endocrine System;Endokrininė sistema
Energy - using electricity;Energetika – naudojant elektros energiją
Energy and ecosystems;Energetika ir ekosistemos
Energy resources;Energetikos ištekliai
Energy;Energija
Energy ;Energija
Energy production and energy resources research;Energijos gamyba ir energijos išteklių tyrimai
Energy transfer and storage;Energijos perdavimas ir kaupimas
Enzymes;Enzimai (fermentai)
Epithelial;Epitelis
Space-time symmetries ;Erdvės laiko simetrija
Space-Time Information;Erdvės-Laiko informacija
Spatial information;Erdvinė informacija
Spatial interactions;Erdvinė sąveika
Spatial properties;Erdvinės savybės
Spatial transformations;Erdvinės transformacijos
Erosion;Erozija
Phases;Etapai
European Union;Europos Sąjunga
European countries outside the European Union;Europos valstybės, nepriklausančios Europos Sąjungai
Evolution - generally;Evoliucija - bendrai
Lake ;Ežeras
Pharmaceutics;Farmacija
Phase;Fazė
Filtration;Filtravimas
Physics;Fizika
Physical chemistry;Fizikinė chemija
Physical constants ;Fizikinės konstantos
Physical processes;Fizikiniai procesai
Physical patterns;Fiziniai modeliai
Physical changes;Fiziniai pokyčiai
Background radiation;Foninė spinduliuotė
Fossil record;Fosilijų įrašai
Photography and cinematography;Fotografija ir kinemotografija
Photosynthesis;Fotosintezė
Foucault pendulum;Fuko švytuoklė
Galaxies and Dwarf galaxies;Galaktikos ir nykštukinės galaktikos
Galactic wind;Galaktikos vėjas
Galaxy clusters;Galaktikų spiečiai
Potential energy;Galima energija
Gamma ray bursts;Gama spindulių žybsniai
Gamma radiation;Gama spinduliuotė
Conflicting demands on environments;Gamtai geliami kenksmingi reikalavimai
Natural resources;Gamtiniai ištekliai
Natural resources ;Gamtos ištekliai
Sound;Garsas
Sound ;Garsas
Audible ranges;Garsiniai svyravimai
Sound sources;Garso šaltiniai
Properties of sound - generally;Garso savybės - bendrai
Sound techniques;Garso technologijos
Loudness;Garsumas
Globes;Gaubliai
Extraction of metal from ore;Gavyba iš metalų rūdos
Flower;Gėlė
Generators and transformers;Generatoriai ir transformatoriai
Genetics;Genetika
Genetic engineering;Genetinė inžinerija
Genetic causes of variation and mutation;Genetinių variacijų ir mutacijų priežastys
Genome;Genomas
Geophysical environment;Geofizinė aplinka
Geography;Geografija
Geography and Earth Science;Geografija ir žemės mokslas
Geographical distribution of economic activity;Geografinis ekonominių veiklų paskirstymas
Geographical variations in weather & climate;Geografinis oro ir klimato varijavimas
geology ;Geologija
geological phenomenon ;Geologinis reiškinys
Geomorphological processes - general information;Geomorfologiniai procesai – bendroji informacija
geomorphologic phenomenon ;Geomorfologinis fenomenas
Drinking water;Geriamasis vanduo
Giants;Gigantai
GIS;GIS
Global distribution of tectonic activity;Globalus tektoninės veiklos pasiskirstymas
Circuits - generally;Grandinės - bendrai
Gravitational lenses;Gravitacinai lęšiai
Gravitational force and gravity;Gravitacinė jėga ir sunkumas
Gravitational field;Gravitacinis laukas
Accelerators & beams ;Greitikliai ir sijos
Velocity;Greitis
Speed in media;Greitis žiniasklaidoje
Life cycle;Gyvenimo ciklas
Development & quality of life;Gyvenimo kokybės augimas
Population & resources;Gyventojai ir ištekliai
Population change;Gyventojų kaita
Population distribution;Gyventojų pasiskirstymas
Location of settlements;Gyvenviečių vieta
Settlements: size/character/function;Gyvenvietės: dydis/charakteristika/funkcijos
Settlements: change;Gyvenvietės: kaita
Animal;Gyvūnas
Life processes;Gyvybės procesai
Hubble expansion;Hablo plėtra
Halogens;Halogenai
Hertzsprung-Russell diagram;Hertzsprung-Russell diagrama
Heterocyclic Compounds;Heterocikliniai junginiai
Hydroelectric power plant ;Hidroelektrinė
Higgs particle ;Higso dalelės
HII region;HII regionas
Horizontal throw;Horizontalus metimas
Charge;Įkrova
Impulse;Impulsas
Inertia;Inercija
Moment of inertia;Inercijos momentas
Inflation;Infliacija
Infrared;Infraraudonieji
Online Laboratories;Internetinės laboratorijos
Longitudinal waves;Išilginės bangos
Fossil resources - generally;Iškastiniai ištekliai - bendrai
Fossil fuels;Iškastinis kuras
Cape;Iškyšulys
Extinction;Išnykimas
Conservation and dissipation;Išsaugojimas ir sklaida
Planning & management of resources;Išteklių planavimas ir valdymas
Sources of resources;Išteklių šaltiniai
Effects of resource use;Išteklių vartojimo poveikis
Voltage;Įtampa
Forces and motion;Jėgos ir judesiai
Ionic bonds;Jojinės jungtys
Rectilinear motion;Judesio tiesioji
Bonding – generally;Jungimasis - bendrai
Compounds - generally;Junginiai bendrai
Black holes;Juodosios skylės
Sea ;Jūra
Nautical tools;Jūsų įrankiai
Sensors;Jutikliai
Rural settlements;Kaimiškos gyvenvietės
Mountain;Kalnas
Mountain ;Kalnas
Angular velocity;Kampinis greitis
Angular acceleration;Kampinis pagreitis
Globular clusters;Kamuoliniai spiečiai
cartography;Kartografija
Pancreas;Kasa
Everyday materials;Kasdienės medžiagos
Mining;Kasyba
Mining ;Kasyba
Catalysts;Katalizatoriai
Catastrophe ;Katastrofa
Skeleton and muscles;Kaukuolė ir raumenys
Liver;Kepenys
Kepler's laws;Keplerio dėsnis
Ceramics production;Keramikos gamyba
Ova;Kiaušialąstė
Rigid body;Kietasis kūnas
Solid State Chemistry;Kietojo kūno chemija
Solids, liquids and gases;Kietosios medžiagos, skysčiai ir dujos
Variable stars;Kinatmosios žvaigždės
Kinetic energy;Kinetinė energija
AC/DC;Kintamoji srovė/Nuolatinė srovė
Other influences on ecosystems;Kita įtaka ekosistemai
Other geomorphological processes;Kiti geomorfologiniai procesai
Other types of bonding;Kitos rūšies jungtys
Hearing - generally;Klausymas - bendrai
Hearing: noise;Klausymas: triukšmas
Climate;Klimatas
Climate ;Klimatas
Weathering;Klimatas
Climatic influences on ecosystems;Klimato poveikis ekosistemai
Climatic phenomenon ;Klimato reiškinys
Cloning, selective breeding and genetic engineering;Klonavimas,selektyvinimas dauginimas ir genetinė inžinerija
Comets and meteors;Kometos ir meteorai
Components in circuits: batteries, etc;Komponentų grandinės, akumuliatorių ir t.t.
Conservative force field;Konservantų jėgos laukas
Coordinates;Koordinatės
Cosmic background radiation;Kosminė foninė spinduliuotė
Space stations;Kosminės stotys
Space ships;Kosminiai laivai
Space flight;Kosminiai skrydžiai
Cosmic rays;Kosminiai spinduliai
Escape velocity;Kosminis greitis
Cosmology;Kosmologija
Covalent bonds;Kovalentinės jungtys
Coasts;Krantai
Landscape;Kraštovaizdis
Crater;Krateris
Blood vessels;Kraujagyslės
Blood;Kraujas
Circulatory System;Kraujotakos sistema
Kuiper belt objects;Kuiper diržo objektai 
Coulomb law;Kulono dėsnis
Quantum Chemistry;Kvantinė Chemija
Quarks & hadrons ;Kvarkai ir Hadronas
Quasars;Kvazarai
Laboratory equipment – generally;Labaratorijos įranga - bendrai
More economically developed countries;Labiau ekonomiškai išsivysčiusios valstybės
Laboratory glassware;Laboratorijų reikmenys iš stiklo
Laboratory measuring instruments, including sensors and meters;Laboratoriniai matavimo prietaisai, įskaitant jutiklius ir skaitiklius
Conduction, convection and evaporation;Laidumas, konvekcija, garavimas
Horology;Laiko matavimas
Period;Laikotarpis
Free electron lasers;Laisvųjų elektronų lazeriai
Leaf;Lapas
Cell processes - generally;Ląstelių procesai- bendrai
Cell types - generally;Ląstelių rūšys - bendrai
Cell types – other;Ląstelių rūšys - kita
Cell structure;Ląstelių struktūra
Fields;Laukai
wild animal ;Laukinis gyvūnas
Leptons ;Leptonai
Tongue;Liežuvis
Lorentz force;Lorenco jėga
Melting/boiling points;Lydimosi/virimo taškai
Parallel circuits;Lygiagrečios grandinės 
Equations and formulae;Lygtys ir formulės
Plain ;Lyguma
Sex determination;Lyties nustatymas
Reproductive system;Lytinė sistema
Magnetic force;Magnetinė jėga
Magnetic materials;Magnetinės medžiagos
Magnetic field;Magnetinis laukas
Magnetism - generally;Magnetizmas - bendrai
Food as fuel;Maistas kaip kuras
Food chains and webs;Maisto grandinės ir tinlai
Maxwell's equations;Maksvelo lygtis
Mass;Masė
Centre of mass;Masės centras
Mass loss;Masės nuostolis
Machines;Mašinos
Mass;Mass Masė
Visible light;Matoma šviesa
Less economically developed countries;Mažiau ekonimiškai išsivysčiusios valstybės
Wood ;Mediena
Wood production;Medienos gamyba
Tree;Medis
States of matter;Medžiagų būsena
Obtaining and using materials;Medžiagų gavyba ir naudojimas
Grouping materials;Medžiagų grupavimas
Properties of materials;Medžiagų savybės
Meiosis;Mejozė
Menstrual cycle;Menstruacinis ciklas
Phases of the Moon;Mėnulio fazės
Lunar eclipse;Mėnulio užtemimas
Moon;Mėnulis
Metals - generally;Metalai - bendrai
Metals – generally;Metalai- bendrai
Metal processing;Metalo apdirbimas
Extraction of metal from ore;Metalo gavyba rūdos
Metal complexes;Metalų kompleksiniai junginiai
Meteor;Meteoras
Meteorite;Meteoritas
Meteorology ;Meteorologija
Urban settlements;Miesto gyvenvietės
Migration;Migracija
Micro-organism ;Mikro organizmai
Microwaves;Mikrobangos
Microbiology ;Mikrobiologija
Microlensing effect;Mikrolęšių efektas
Microscope;Mikroskopas
Mineral ;Mineralai
Minerals;Mineralai
Mineralogy ;Minerologija
Mixtures;Mišiniai
Forest ;Miškas
Forestry;Miškininkystė
Mitosis;Mitozė
Nutrition and digestion - generally;Mityba ir virškinimas bendrai
Food chain;Mitybos grandinė
Patterns in general;Modeliai bendrai
Patterns in reactions;Modelių reakcijos
Science: historical and contemporary examples;Mokslas: istoriniai ir šiuolaikiniai pavyzdžiai
Scientists and inventors;Mokslininkai ir išradimai
History of Science and Technology;Mokslo ir technologijų istorija
Tools for science;Mokslo įrankiai
Molecules – generally;Molekulės - bendrai
Moments;Momentai
Monohybrid inheritance;Monohibridinis paveldėjimas
Conservation of mass;Msės išsaugojimas
Musical instruments;Muzikiniai instrumentai
National scale;Nacionalinis mastas
National park ;Nacionalinis parkas
Domestic animal;Naminis gyvūnas
Nanotechnology;Nanotechnologijos
Natural population change;Natūrali gyventojų kaita
Natural resources ;Natūralūs ištekliai
Natural phenomenon ;Natūralus reiškinys
Fossil resources - generally;Naudingos iškasenos - bendrai
Useful materials and products;Naudingos medžagos ir produktai
Useful substances from rocks & minerals;Naudingos medžiagos iš uolienų ir mineralų
Useful substances from rocks and minerals;Naudingos medžiagos iš uolienų ir mineralų
Inelastic collision;Neelastingas susidūrimas
Asexual reproduction;Nelytinis dauginimasis
Inorganic chemistry ;Neorganinė chemija
Invariant mass ;Nepriklausoma masė
Nerve;Nervai
Nervous system ;Nervų sistema
Irregular galaxy;Netaisyklinga galaktika
Neutron stars;Neutroninės žvaigždės
Extraterrestrial life;Nežemiškos būtybės
Newton's laws;Niutono dėsnis
Reference Frame;Nuorodos
Deposition;Nuosėdos
Endangered species;Nykstančios rūšys
Endangered species ;Nykstančios rūšys
Near-earth objects;Objektai arti žemės
Observatories;Observatories Observatorijos
Integumentary System;Odos sluosksnio sistema
Oceania;Okeanija
Oxidation and reaction;Oksidacijos ir reakcijos
Optics;Optika
air ;Oras
Weather;Oras
Orbit;Orbita
Organs;Organai
Organic Biology;Organinė biologija
Organic chemistry;Organinė chemija
Organic Polymers;Organiniai polimerai
Organic Reaction;Ornaninė reakcija
Air resistance;Oro pasipriešinimas
Conservation of momentum;Pagreičio išsaugojimas
Acceleration;Pagreitis
Main sequence;Pagrindinė seka
Combining forces;Pajėgų susijungimas
Palaeontology ;Paleontologija
Satellites: artificial satellites;Palydovai: dirbtiniai palydovai
Satellites: natural satellites;Palydovai: gamtiniai palydovai
Parasite;Parazitas
Global scale;Pasaulinis mastas
Milky Way;Paukščių takas
Bird;Paukštis
Inheritance - generally;Paveldėjimas- bendrai
Inherited diseases;Paveldimos ligos
Surface;Paviršius
Hazards & human responses;Pavojai ir žmogaus reakcijos
Hazards/geomorphological;Pavojai/geomorfologiniai
Recycling ;Perdirbimas
Periodic table;Periodinė lentelė
South & Central America;Pietų ir Centrinė Amerika
Meadow;Pieva
Pitch;Pikis
First scientific revolution;Pirmoji mokslinė revoliucija
Planetary nebula;Planetinis ūkas
Planets;Planetos
Extrasolar planets;Planetos už soliarinės sistemos
Plastics/polymers;Plastikai/polimerai
Plastics/polymers;Plastikas/polimerai
Paper production;Popieriaus gamyba
Displacement reactions;Poslinkio reakcijos
Potential;Potencialas
Tides;Potvyniai
Industrial devices;Pramoniniai įrenginiai
Transition metals;Preinamieji metalai
Goods & services;Prekės ir paslaugos
Coupled Motion dynamics ;Prikabinamo pasiūlymo dinamika
Processes in general;Procesai bendrai
Lifecycle of products;Produktų gyvavimo ciklas
Projection;Projekcija
Pulsars;Pulsarai
Jets;Purkštukai
Half-life;Pusinės eliminacijos periodas
QCD, jets & gluons ;QCD, purkštukai ir gliuonai
Radiation;Radijacija
Radiation transfer;Radijacijos perdavimas
Radio waves;Radio bangos
Radioactivity;Radioaktyvumas
Uses of radioactivity, including radioactive dating;Radioaktyvumo naudojimas, įskaitant radioaktyviąsias medžiagas
Gamma rays;Radioaktyvūs spinduliai
Rockets;Raketos
Redshift;Raudona pamaina
Muscles;Raumenys
Reactions with metals;Reagavimas su metalais
Reaction rates;Reagavimo dažnis
Transport of reactants/products;Reagentų perdavimas/produktai
Reactivity series;Reakcijų serijos
Refraction;Refrakcija
Refraction index;Refrakcijos indeksas
regional geography ;regioninė geografija
regional language ;regioninė kalba
Regional scale;Regioninis mastas
Writing ad press;Reklamos rašymas spaudoje
Theory of relativity;Reliatyvumo teorija
Landforms;Reljefas
X-rays;Rentgenas
Robotics;Robotai
Reptile;Roplys
Rotation;Rotacija
Brown dwarfs;Rudosios nykštukės 
Acid rain ;Rūgštinis lietus
Acids, alkalis and bases;Rūgštys, šarmai ir bazės
Root hair;Šakninis plaukas
Island ;Sala
Senses;Sąmonė
Alkali metals;Šarminiai metalai
Sun;Saulė
Solar activity;Saulės aktyvumas
Sunspots;Saulės dėmės
Solar-terrestrial relations;Saulės ir Žemės santykis
Solar system;Saulės sistema
Solar eclipse;Saulės užtemimas
Seismic waves;Seisminės bangos
seismology;Seismologija
Seeds;Sėklos
Series circuits;Serijinės grandinės
Seasons;Sezonai
North America;Šiaurės Amerika
Electrical heating and costs;Šildymas Elektra ir išlaidos
Weak interactions: electroweak ;Silpna sąveika: elektrosilpnoji
Weak interactions: quarks & leptons;Silpna sąveika: kvarkas ir leptonai
Greenhouse effect ;Šiltnamio efektas
Calorimeters ;Šilumos matuoklis
Synchrontron radiation ;Sinchrontoninė spinduliuotė
Nucleosynthesis;Sintezės
Heart;Širdis
Cardiovascular;Širdis ir kraujagyslės
Transverse waves;Skersinės bangos
Stomach;Skrandis
Stomach acid and bile;Skrandžio rūgštis ir tulžis
stratum;Sluoksnis
Brain;Smegenys
social geography ;Socialinė geografija
Garden;Sodas
Gardening;Sodininkystė
Colour;Spalva
Pressure;Spaudimas
Sperm;Sperma 
Halos;Spindesiai
Spiral galaxy;Spiralinė galaktika
Standard model ;Standartinis modelis
Statistical mechanics;Statistinė mechanika
Glass production;Stiklo gamyba
Stimulus and response;Stimulas ir reagavimas
Vertebrate;Stubūrinis gyvūnas
fossil ;Suakmenėjusi iškasena
Circular motion;Sukamieji judesiai
Rotation curve;Sukimosi kreivė
Supernova;Supernova
Supernova remnants;Supernovos atraiža
Supersymmetry ;Supersimetrijos
Formation;Susidarymas
Collision;Susidūrimas
Unification ;Susivienijimas
Classification/keys;Suskirstymas/raktai
Light;Šviesa
Light curve;Šviesos kreivė
Particle beam parameters ;Šviesos pluošto dalelių parametrai
Light sources;Šviesos šaltiniai
Properties of light - generally;Šviesos savybės - bendrai
Weight;Svoris
Luminescent;Švytėjimas
Pendulum;Švytuoklė
Taxonomy;Taksonomija
Dark energy;Tamsioji energija
Dark matter;Tamsioji materija
Dark matter ;Tamsioji materija
Density waves;Tankio bangos
Density;Tankis
Intergalactic medium;Tarpgalaktinis mediumas
International scale;Tarptautiniu mastu
Interstellar medium;Tarpžvaigždinis mediumas
Technological applications;Technologinės programos
Textiles;Tekstilė
Tectonic hazards & human responses;Tektoniniai pavojai ir žmogaus reakcijos
Tectonic processes;Tektoniniai procesai
Telecommunications;Telekomunikacijos
Temperature and heat;Temperatūra ir karštis
Oil ;Tepalas
Spatial heterogeneity;Teritorijų heterogeniškumas
Spatial interpolation;Teritorijų interpoliacija
Thermal decomposition;Terminis skilimas
Thermodynamics;Termodinamika
Thermodynamic Cycle;Termodinaminis ciklas
Thermometers;Termometrai
Solubility;Tirpumas
Toxin;Toksinas
Transport (air, water and ground);Transportas (oro, vandens ir žemės)
Fertilisation;Tręšimas
Friction;Trintis
Noise ;Triukšmas
Explorer;Tyrėjas
Nebula;Ūkas
Ultrasound;Ultragarsas
Ultraviolet;Ultravioletinis
Universal law of gravitation;Universalus gravitacijos dėsnis
Rock types;Uolienų rūšys
Port ;Uostas
Watercourse;Upelis
Watercourse ;Upelis
Rivers;Upės
Pollution ;Užterštumas
Insect;Vabzdys
Fruit;Vaisius
Satellite images;Vaizdai iš satelito
Water cycle;Vandens ciklas
Ocean ;Vandenynas
Water;Vanduo
Water ;Vanduo
Transport and water in plants;Vanduo ir pernešimas augaluose
Water, landscapes & people - general information;Vanduo, kraštovaizdis, žmonės – bendra informacija
Variation, inheritance and evolution;Variacija, paveldėjimas ir evoliucija
Variation – generally;Varijacija bendrai
Amphibian;Varliagyviai
Reversible reactions;Vartomosios reakcijos
Factors influencing development;Veiksniai įtakojantys vystymąsi
Breeding;Veisimasis
Vertical throw;Vertikalus metimas
Internal Energy;Vidaus energija
Internal Structure;Vidinė struktūra
Local scale;Vietiniu mastu
Oscillations;Virpesiai
Digestive System;Virškinimo sistema
Universe – generally;Visata - bendrai
Origin and evolution of the universe;Visatos kilmė ir evoliucija
Vision;Vizija
Arachnid;Voragyviai
Volcanoes;Vulkanai
Volcano ;Vulkanas
Differences in development within countries;Vystymosi skirtiumai šalių viduje
Differences in development between countries;Vystymosi skirtiumai tarp šalių
Earth;Žemė
Maps & plans;Žemėlapiai ir planai
Earthquakes;Žemės drebėjimai
Earth science;Žemės mokslas
Land use;Žemės naudojimas
exploration of the earth ;Žemės tyrimai
Mammal;Žinduolis
Human influences on ecosystems;Žmogaus įtaka ekosistemai
Human patterns;Žmogaus modeliai
Human processes;Žmogaus procesai
Human health: teeth;Žmogaus sveikata: dantys 
Human health: smoking;Žmogaus sveikata: rūkymas
Humans and animals;Žmonės ir gyvūnai
Zodiac;Zodiakas
Zodiacal light;Zodiako šviesa
Zoology ;Zooogija
Fishery;Žuvininkystė
Fish ;Žuvis
Stars;Žvaigždės
Constellations;Žvaigždynai
Star chart;Žvaigždžių diagrama
Flowering plants/parts of plants;Žydintys augalai/ augalų dalys

