ICT;Informacinės ir ryšių technologijos
Pseudocode;Pseudokodas
Publishing on the web;Publikavimas tinkle
Understanding of audience;Publikos supratimas
Advertising;Reklama
Advertising;Reklamavimas
Recognising issues of risk, safety and responsibility surrounding the use of ICT;Rizikos, suagumo ir atsakomybės aspektų, susijusių su darbu su IRT, atpažinimas
Robotics;Robotika
Communication Environments;Ryšių aplinka
Password security;Salptažodžio saugumas
Relationships & rules;Santykiai ir taisyklės
Safe searching;Saugi paieška
Security;Saugumas
Security, password selection & protection;Saugumas, slaptažodžio parinkimas ir apsauga
Security, accuracy & plagiarism;Saugumas, tikslumas, ir plagijavimas
Security Administrator;Saugumo Administratorius
Security Breach/Incident;Saugumo pažeidimas/incidentas
Using IT safely;Saugus IT naudojimas
Interoperabiloty;Sąveika
Sequencing;Seka
Semantics;Semantika
Sensors & software Appropriate/not appropriate;Sensoriai ir Programinė įranga Tinkami/Netinkami
Simulating;Simuliacija
Syntax;Sintaksė
Systems;Sistema
Structure of systems;Sistemų struktūra
Numbers;Skaičiai
Numerical notation;Skaičių notacija
Digital cameras;Skaitmeniniai fotoaparatai
Digital citizens;Skaitmeniniai piliečiai
Digital Products;Skaitmeniniai produktai
Digital scanners;Skaitmeniniai skaneriai
Digital presentations;Skaitmeninis pavaizdavimas
Digital literacy;Skaitmeninis raštingumas
Integration of digital products;Skaitmeninių produktų sąveika
liquid crystal display panels;Skystųjų kristalų ekrano plokštės
Social networking;Socialiniai tinklai
Printer;Spauzdintuvas
Specification;Specifikacija
Flow chart;Srauto diagrama
Recognising that information must be analysed and evaluated for its purpose, author, currency and context;Supratimas, kad informacija turi būti analizuojama ir įvertinama atsižvelgiant į jos tikslą, autorių, aktualumą ir kontekstą
Assembler;Surinkėjas
Linked databases & database structures;Susijusios duomenų bazės ir duomenų bazių struktūros
Considering 'what if...?'/predicting;Svarstyti "kas, jeigu?.."/ numatyti
Health & safety legislation;Sveikatos ir saugumo įstatymai
Correction;Taisymas
Storage devices;Talpyklos
Online identity;Tapatybė internete
Identity Hacking;Tapatybės nusavinimas
Hardware;Techninė įranga
Technology;Technologijos
History of technology;Technologijos istorija
Technological change;Technologinės permainos
Technological education;Technologinis išsilavinimas
Text;Tekstas
Use text, tables, images and sound to develop ideas;Teksto, lentelių, vaizdų ir garso naudojimas vystant idėjas
Processing text & images;Tekstų ir vaizdų apdorojimas
Terminology;Terminologija
Understanding of terminology;Terminologijos supratimas
Testing;Testavimas
Appropriate/not appropriate;Tinkama/ netinkama
Website design features;Tinklalapio dizaino ypatybės
Website;Tinklalapis
Uploading websites;Tinklalapių įkėlimas
Creating websites;Tinklalapių kūrimas
Network;Tinklas
Trojan;Trojos virusas
Limitations/advantages;Trūkumai/ pranašumai
Use of queries, forms, reports, macros;Užklausų, formų, raportų, makroprogramų naudojimas
Images;Vaizdai
Using images & text;Vaizdų ir teksto naudojimas
Creating & editing images;Vaizdų kūrimas ir redagavimas
Control concepts;Valdymo sąvokos
Video;Video 
Video & audio;Video ir audio
Video recorders;Video kamera
Video conferencing;Video-konferencija
Public information systems;Viešosios informacijos sistemos
Local Area Network;Vietinis tinklas
Local data collection & holding;Vietinių duomenų surinkimas ir laikymas
Virtual reality;Virtuali realybė
Virus;Virusas
Mass media;Visuomenės informavimo priemonės
Web 2.0;Web 2.0
Web 2.0 tools;Web 2.0 įrankiai
Web technologies;Web technologijos
Games & gaming machines;Žaidimai ir žaidimų aparatai
Maps and plans;Žemėlapiai ir planai
Low level languages;Žemo lygio kalbos
Character;Ženklas
Labelling;Ženklinimas
Mass media;Žiniasklaida
Media;Žiniasklaida
Media library;Žiniasklaidos biblioteka
Media education;Žiniasklaidos išsilavinimas
Media literacy;Žiniasklaidos raštingumas
Dictionary;Žodynas
Vocabulary;Žodynas
Word processing software;Žodžio apdorojimo programinė įranga

