Administrative Sciences;Administratīvā zinātne
Applied Social Sciences;Pielietojamās sociālās zinātnes
Pollution;Piesārņojums
Charisma;Pievilcība
City;Pilsēta
Planning;Plānošana
Police;Policija
Polygamy;poligamija
Policy;Politika
Politics;politika
Political life and organization ;Politiskā dzīve un organizācijas
Popular;populārs
Pornography;pornogrāfija
Post-modernism;Post modernisms
Pragmatism;Pragmātisms
Prestige;prestižs
Counterculture;Pretkultūra
Interest;procenti
Proxemics;Proksemija
Proletariat;proletariāts
Propaganda;propaganda
Prostitution;prostitūcija
Psyche;Psihe
Psychology;Psiholoģija
Mobbing;Pūlī iešana
Crowd;pūlis
Rationality;racionalitāte
Rationalization;racionalizācija
Kinship;radniecība
Race;rase
Racism;Rasisms
Rationalism;Rationālisms
Advertising;Reklāma
Relativism;Relatīvisms
Religion, belief and practice;Reliģija, ticība un prakse
Republic ;republika
Scar;Rēta
Revolution;revolūcija
Action;Rīcība
Order;Rīkojums
Rite;rituāls
Rite of passage;Rituāls no caurbraukšanas
Orality;Runātprasme
Industry;rūpniecība
Society and its features;Sabiedrība un tās funkciju
Public opinion;sabiedriskā doma
Primitive;Sākotnējs
Mutilation;Sakropļošana
Initiation;sākums
Comparatism;Salīdzinājums
Wild (-ness);Savvaļa
Sexuality;Seksualitāte
Mourning;sēras
Female;Sieviete
Woman;Sieviete
Symbolism;Simbolisms
Symbol;simbols
Syncretism;Sinkretisms
Syncretism ;Sinkretisms
Class;Šķira
Divorce;Šķiršanās
Secret Society;slepena biedrība
Illness;slimība
Sickness;slimība
Hospital;slimnīca
Social Geography;Sociālā ģeogrāfija
Social Norm;sociālā norma
Social mobility;sociālā pārvietošanās
Sociology;Socioloģija
Power;spēks
Sport;sports
Standard;standarts
Worker;strādnieks
Dispute;Strīds
Sacred;svēts
Nation;tauta
Folk culture;Tautas kultūra
Economics;Tautsaimniecība
Technics;tehnika
Trend;tendence
Theory;Teorija
Theory,  Approach and Author ;Teorija, metodes un autors
Male;Tēviņš
Judge;Tiesnesis
Jurisprudence;Tiesu prakse
Melting pot;tīģelis
Totemism;Totemisms
Tradition;tradīcija
Traditional Knowledge;tradicionālā zināšanas
Trauma;Trauma
Universalism;Universālisms
Urban space;Urbānā telpa
Urbanism;Urbanisms
Entrepreneur;uzņēmējs
Opinion;Uzskats
Trust;uzticēties
Confidence;Uzticība
Behaviour;Uzvedība
Behavioural sciences;Uzvedības zinātnes
Leadership;Vadība
Reproduction;vairošanās
Government;Valdība
Governmentality;Valdības spēja valdīt
Linguistics;Valodniecība
State;valsts
Violence;vardarbība
Hero;varonis
Old-age;Vecuma pensiju
Age;Vecums
Slavery;verdzība
Health;Veselība
Environment ;Vide
Mean of production;Vidējā ražošana
Middle-age;Vidējā vecuma
Video-recording;Video ierakstīšana
Environmentalism;Vides aizsardzība
Monogamy;vienlaulība
Unionism;Vienotīgums
Local Administration;vietējā pārvalde
Man;Vīrietis
Visual research;Vizuālais pētījums
Brand;Zīmols

