Mathematics;Matemātika
Logarithmic function;Logaritmiska funkcija
Logic;Loģika
Logic and Foundations;Loģika un Dibināšana
Local and global description of a plot;Lokālā un globālā vērtību apgabala apraksts
Variable;Mainīgie
Variability measure;Mainīgs mērījums
Variability;Mainīgums
Maxima and minima;Maksimums un minimums
Mathematics for Computer;Matemātika Datoriem
Mathematics for Humanities;Matemātika Humanitātarajām
Mathematics for Social Sciences - Software;Matemātika Sociālajām Zinātnēm - Programmatūra
Mathematical Biology;Matemātiskā Bioloģija
Mathematical Economics;Matemātiskā Ekonomika
Mathematical Physics;Matemātiskā Fizika
Median-number;Mediāna-skaitlis
Meridian;Meridiāna
Measurement;Mērījumi
Methods of Proof;Metodes pierādījumam
Mode;Moda
Modal class;Modālā klase
Natural number;Naturāli skaitļi
Natural number;Naturāls skaitlis
Nonlinear model;Nelineārs modelis
Inequality;Nevienādība
Conditional probability;Nosacīījumu varbūtība
Event;Notikums
Box plot;Novirzes grafiks
Mean;Nozīme
Mean variation ratio of a function in an interval;Nozīmes mainīšanās atkarība no funkcijas intervālā
Octahedron;Oktahedrons
Octahedron;Oktastūris
Ordinal numbers;Ordināls skaitlis
Orthogonal projection;Ortogonālā projekcija
Orthogonal projection of solid;Ortogonālā projekcija vielai
Orthogonal projection;Otrogonāla projekcija
Enlargement;Palielinājums
Parabola;Parabola
Equation of a parabola;Parabolas vienādojums
Parallel projection;Paralēla projekcija
Parallel projection;Paralēlā projekcija
Sample space;Parauga vieta
Sample;Paraugs
Revolution Solid;Pārveidojuma Viela
Word problem;Pasaules problēma
Word problem;Pasaules problēmas
Permutations;Permutācijas
Perspective projection;Perspektīva projekcija
Perspective projection;Perspektīvā projekcija
Increasing and decreasing;Pieaugums un dilšana
Applied Mathematics;Pielietojuma Matemātika
Proof;Pierādījums
Proof by contradiction;Pierādījums ar pretēju
Proof by contradiction;Pierādīšana no pretējā
Proof Randomness;Pierādīšanas dažādība
Pigeonhole Principle;Pigeonhola princips
Pie chart;Pīrāga tabula
Pie chart;Pīrāgveida tabula
Pyramid;Piramīda
Primes;Pirmskaitļi
Distribution of primes;Pirmskaitļu izkliede
Plane;Plakne
Plane in coordinate system;Plakne koordinātu sistēmā
Equation of a plane;Plaknes vienādojums
Platonic solid;Platoniska viela
Polar Coordinates;Polārās koordinātes
Polygon of frequencies;Poligona biežums
Polynomial graph;Polinomiskais grafiks
Polynomial Inequality;Polinomiskās nevienādības
Inverse proportionality function;Pretēji proporcionālas funkcijas
Counterexample;Pretējs piemērs
Topic from Subjects;Priekšmeta temats
Prism;Prizma
Problems from other subjects;Problēmas no citiem priekšmetiem
Percentage;Procentuāli
Software Tools;Programmatūras Darbarīki
Programmable Calculator;Programmējamais kalkulators
Programmable Calculator;Programmējams kalkulators
Sequence;Progresija
Projection;Projekcija
Protractor;Protraktors
Coordinates of a point;Punkta koordinātes
Rational Function;Racionāla funkcija
Rational Inequality;Racionāla nevienādība
Rational Inequality;Racionālā nevienādība
Rational Number;Racionāls skaitlis
Real Analysis;Reālā Analīze
Real world problem;Reālās dzīves problēmas
Real number;Reāls skaitlis
Reduction;Redukcija
Recursion;Rekursija
Relative frequency;Relatīvais biežums
Representativity;Reprezentivitāte
RevolutionSolid;Revolucionējoša viela
Rotation;Rotācija
Contingency table;Saderības tabula
Template;Sagatave
Template;Sagataves
Bound;Saikne
Bounded operators;Saikņu operatori
Common frequency;Sastopams biežums
Statistical table;Satistiskā tabula
Sector chart;Sektora tabula
Sphere;Sfēra
Signal Analysis;Signāla Analīze
Symbolic Expression;Simboliska izteiksme
Symbol;Simbols
Symmetry plane;Simetrijas plakne
Symmetry plane;Simetriskā plakne
Simulation;Simulācija
Sine;Sinus
System with two equations and two unknowns;Sistēma ar diviem vienādojumiem un diviem nezināmajiem
System with two equations and two unkonwns;Sistēma ar diviem vienādojumiem un diviem nezināmajiem
Solutions of Systems;Sistēmas atrisinājums
Numbers and Computation;Skaitļi un aprēķini
Number;Skaitlis
Numerical Analysis;Skaitliskā Analīze
Numerical Differentiation;Skaitliskā diferencēšana
Numerical Integration;Skaitliskā integrēšana
Computer Arithmetic;Skaitļojamā Aritmētika
Ratio of numbers;Skaitļu attiecība
Number Concepts;Skaitļu konsepti
Cardinal number;Skaitļu kopa
Number Theory;Skaitļu teorija
Scale factor;Skalas faktors
Graduated ruler;Slīpais lineāls
Graduated ruler;Slīpuma lineāls
Gradient Vector;Slīpuma vektors
Bias;Slīpums
Gradient;Slīpums
Power;Spēks
Game Theory;Spēļu Teorija
Equation of a spiral;Spirāles vienādojums
Equation of a spiral;Spriāles vienādojums
Standard deviation;Standarta izkliede
Statistical table;Statikas tabula
Statistics;Statistika
Statistics and Probability;Statistika un varbūtība
Statistical analysis;Statistiskā analīze
Statistical range;Statistiskais apgabals
Statistical data;Statistiskie dati
Summary statistics;Sumārā statistika
Summary statistics;Summārā statistika
Table;Tabula
Table with several columns;Tabula ar dažām kolonām
Table of values;Tabula ar vērtībām
Equation of a straight line;Taisnais līnijas vienādojums
Equation of a straight line;Taisnas līnijas vienādojums
Tangent of angle;Tangensa leņķis
Direct Proof;Tiešs pierādījums
Formula for volume;Tilpuma formula
Volume;Tilpums
Transformation;Transformācija
Trigonometric ratio;Triganometriskā attiecība
Trigonometric function;Triganometriska funkcija
ThreeD coordinates;TrīsD koordinātes
ThreeD Object;TrīsD objekts
Tetrahedron;Trīsstūris
Translation;Tulkojums
Continuous random variable;Turpinoša dažādu gadījumu varbūtība
Multiple chart;Vairākas tabulas
Contingency table;Vairāku gadījumu tabula
Probability;Varbūtība
Variability;Varbūtība
Probability density;Varbūtības blīvums
Probability distribution;Varbūtības izkliede
Variability measure;Varbūtības mērs
Wording of a function;Vārdiska funkcija
Venn Diagrams;Venna diagramas
Construction of a plot;Vērtības apgabala veidošana
Local and global description of a plot;Vērtību  apgabala lokālais un globālais apraksts
Construction of a plot;Vērtību apgabala veidošana
Plots;Vērtību apgabali
Circle of latitude;Vertikālās pārbīdes aplis
Integer;Vesels skaitlis
Solid objects;Vielas objekts
Orthogonal projection of solid;Vielas ortogonāla projekcija
Solid objects;Vielu objekti
Equality;Vienādība
Solutions of Equations;Vienādojuma atrisiājums
Equations;Vienādojumi
Equations;Vienādojums
System of equations;Vienādojumu sistēma
Simple event;Vienkārš notikums
Simple solid objects;Vienkāršas vielas objekts
Simple calculation of volume;Vienkāršs tilpuma aprēķins
Equality;Vienlīdzība
Common frequency;Visvarbūtīgākie mērījumi
x coordinate of point;x koordinātes punktam
y-coordinate of point;y koordinātes punktam
Lower bound;Zemākā saikne
Science;Zinātne

