Music;Mūzika 
Duo;Duo
Dvořák;Dvoržāks
Jazz Music;Džeza mūzika
Singing, including diction, sounds & techniques;Dziedāšana, tostarp dikcija, skaņas un tehniskās metodes
Song;Dziesma
Live performance;Dzīvais izpildījums
E;E
Electric Bass;Electriskā basa ģitāra
Electric guitar;Elektriskā ģitāra
Electronic Music;Elektroniskā mūzika
Elgar;Elgars
Ethnomusicology;Etnomuzikoloģija
F;F
Fa;Fa
Bassoon;Fagots
Film music;Filmu mūzika
Physics;Fizika
Flute;Flauta
Background Music;Fona mūzika
Phonetics;Fonētika
Phonology;Fonoloģija
Fortepiano / Pianoforte;Fortepiano / Pianoforte
Frequency;Frekvence
Fugue;Fūga
G;G
General MIDI;Galvenais MIDI
Guitar;Ģitāra
Gong;Gongs
Gregorian chant;Gregoriāņu dziedājums
Grieg;Grīgs
Haydn;Haidins
Harmonics;Harmonisks
Harmonic Intervals;Harmonisks intervāls
Ukulele;Havajiešu ģitāra
Hemidemisemiquaver ;Hemidemisemiquaver
Handel;Hendelis
Holsts;Holsts
Hummel;Hummels
Street music;Ielu mūzika
Recorded performance;Ierakstītais izpildījums
Prelude ;Ievads
Improvising;Improvizēt
Instruments & performers;Instrumenti un izpildītāji
Instrument building / making;Instrumentu ēku / pieņemšana
Internalising sounds;Internalizēt skaņas
Intervals;Intervāli
Using the voice;Izmantojot balsi
Rehearsing;Izmēģināšana
Measure;Izmērīt
Track;Izsekot
Expression Marks;Izteiksmes zīmes
Appraising, responding & reviewing;Izvērtējot, atbildot un paskaidrojot
Johann Christian Bach;Jonatans Kristians Bahs
Bar  ;Josla
C;K
Cadence;Kadence
Callas;Kallas
Kalomiris;Kalomiris
Chamber Music;Kamermūzika
Chamber Music ;Kamermūzika
Chamber Music Hall;Kamermūzikas zāle
Tape recording;Kasešu ierakstīšana
Castanet;Kastaņetes
Clarinet;Klarnete
Classical Music;Klasiskā mūzika
Classical Period;Klasiskais periods
Claudio Monteverdi;Klaudio Monteverdī
Piano;Klavesīna
Harpsichord;Klavieres
Clavichord;Klavihords
Clementi;Klementi
Koehler;Koehlers
Lute;Kokle
Composing, creating & developing;Komponēšana, veidošana un attīstīšana
Concerto;Koncerts
Recital ;Koncerts
Concert Hall;Koncertzāle
Context;Konteksts
Contrabassoon;Kontrabass
Double Bass;Kontrabass
Contrapunto;Kontrapunkts
Controlling sounds;Kontroles skaņas
Corelli;Korellis
Choir;Koris
Korsakov;Korsakova
Chromatic Scale;Krāsu skala
Xenakis;Ksenakis
Xylophone;Ksilofons
Couperin;Kuperēns
Quartet ;Kvartets
La;La
Lassus;Lassus
Leontaritis;Leontaritis
Major Scale;Lielākā skala
Ti;Līga
Linguistics;Lingvistika
Lyrics;Lirika
Liszt;Lista
Lully;Lullis
M.I.D.I (Musical Instrument Digital Interface);M.I.D.I (Mūzikas Instrumentu Digitalā Interfeiss)
Madrigal;Madrigāls
Major chord;Majora akords
Major Triads;Majora trijskanis
Major;Majors
Major and Minor 7ths;Majors un Minors 7
Mahler;Mālers
Mandolin;Mandolīna
Maracas;Marakasti
Medicine, Psychology;Medicīna, psiholoģija
Melody ;Melodija
Melodic Intervals;Melodisks intervāls
Mendelssohn;Mendelsons
Scale ;Mērogs
Metallophone;Metalofoni
Glockenspiel;Metalofons
French Horn;Mežrags
Mi;Mi
Microphone;Mikrafons
Minor Scale;Minora skala
Minor Triads;Minora trijskanis
Minor;Minors
Mitropoulos;Mitropoulos
Mozart;Mocarts
Modernism;Modernisms
Motet;Motetes
MP3;MP3
Contemporary;Mūsdienu
Mussorgsky;Musorgska
Harmonica;Mutes harmonikas
Performing with others;Muzicējot kopā ar citiem
Music as a performance art;Mūzika kā performance
Music from Africa;Mūzika no Āfrikas
Music from the Americas;Mūzika no Amerikas
Music from Australasia;Mūzika no Austrālijas
Music from Asia;Mūzika no Āzijas
Music from other places/cultures;Mūzika no citām vietām / kultūrām
Music from Europe;Mūzika no Eiropas
Music of the past;Mūzika no pagātnes
Music of the present;Mūzika no tagadnes
Music and ICT;Mūzika un IKT 
Music and ICT software;Mūzika un IKT programmatūra
Music and Mathematics;Mūzika un matemātika
Music and Media;Mūzika un mēdija
Music and Science;Mūzika un zinātne
Music Videoconference Loop;Mūzikālās videokonferences izliekums
Musical stimuli;Mūzikāli stimuli
Music analysis ;Mūzikas analīze
Musical elements & devices;Mūzikas elementi un ierīces
Music e-learning ;Mūzikas e-mācības
Music recording;Mūzikas ieraksts
Musical features;Mūzikas iezīmes
Musical instruments / Human voice;Mūzikas instrumenti/ cilvēka balss
Music Education;Mūzikas izglītība
Musical expression;Mūzikas izteiksme
Conservatory of Music;Mūzikas konservatorija
Sheet Music;Mūzikas lapa
Music Software;Mūzikas Programmatūra
Music Psychology;Mūzikas Psiholoģija
Music editing;Mūzikas rediģēšana
Music Stage;Mūzikas skatuve
Music School;Mūzikas skola
Music Therapy;Mūzikas terapija
Music and ICT hardware;Mūzikas un IKT aparatūras
Music and ICT terms;Mūzikas un IKT noteikumi
Music History;Mūzikas vēsture 
Music genres;Mūzikas žanrs
Musicology;Muzikoloģija
Music from other traditions;Mūziku no citām tradīcijām
Music and Physics;Mūziku un fizika
Non-musical stimuli;Nemūzikāli stimuli
Dissonant and Consonant Chords;Neskanīgi un  līdzskanīgi akordi
Nocturne;Noktirne
Key Signature;Nošatslēga
Table of Key Signature;Nošatslēgu apzīmējumi
Tuning;Noskaņošana
Notation ;Notācija
Oboe;Oboja
Octave;Oktāva
Octet ;Oktets
Opera;Opera
Oratorio;Oratorija
Arranging/accompaniments;Organizējot / pavadījums
Organ;Orgāns
Orchestration ;Orķestrēšana
Orchestra ;Orķestris
Paganini;Paganīni
Palestrina;Palestrīna
Beat ;Pārspēt
Range of activities;Pasākumu klāsts
Crotchet;Pauze
Minim rest;Pauze
Mute;Pauze
Rest;Pauze
Pentatonic Scale;Pentatonic skala
Performing/controlling sounds;Performings/ skaņas kontrole
Staff;Personāls
Note;Piezīme
Note values;Piezīme vērtības
Whole note ;Pilna nots
Whole rest;Pilna pauze
Pythagoras;Pitagors
Polyphony;Polifonija
Polka ;Polka
Pop – Rock Music;Pop - Rock Mūzika
Practising;Praktizējošs
Presto ;Presto
Notation Software;Programmatūras apzīmējums
Pronomos;Pronomos
Psychoacoustics;Psihoakustika
Puccini;Pučīni
Dotted Rest;Punktēta pauze
Dotted Note ;Punktēta piezīme
Score;Punktu skaits
Purcell;Purkels
Winds;Pūšaminstrumenti
Minim note;Pusnots
Creating & developing ideas;Radīt un attīstīt idejas
Rachmaninoff;Rahmaņinovs
Rameau;Rameau
Rhapsody ;Rapsodija
Ravel;Ravels
Re;Re
Responding & reviewing;Reaģējot & pārskatot
Recorder;Reģistrators
Reicha;Reiča
Relative Minor & major ;Relatīvs Minor & Majors
The Renaissance;Renaissance
Rhythm ;Ritms
Rhythm (duration), pulse/beat;Ritms (ilgums), pulsa / sita
Romantic Period;Romantiskais periods
Rossini ;Rossīni
Saxophone;Saksofons
Salieri;Saljēri
Diminished and Augmented Triads;Samazināts un paplašināts trijskanis
Sequencer;Sekvencētājs
Ancient / Roman era;Senās / Romas laikmets
Schoenberg;Šēnbergs
Serialism;Serreālisms
Sixty-fourth note rest;Sešdesmit ceturtajā ņemt pauzi
Semiquaver;Sešpadsmitdaļnots
Sixteenth note;Sešpadsmitdaļnots
Sixty-fourth note  ;Sešpadsmitdaļnots
Sixth and Ninth Chords;Sestais un devītais Akords
Si;Si
Sibelius;Sibēliuss
Symphony ;Simfonija
Symphonic Music;Simfoniskā mūzika
Symphonic Poem;Simfoniskais dzejolis
Synthesizer;Sintezators
Synthesizer / Electric Piano;Sintezators / Electriskās klavieres
Percussions;Sitaminstrumenti
Skalkots;Skalkotas
Loudspeaker;Skaļrunis
Sound retrieval;Skaņas atgūšana
Sound recognition;Skaņas atpazīšana
Sound oscillator / Envelope;Skaņas oscilators / Aploksne
Sound spectrum;Skaņas spektrs
Sound analysis;Skaņu analīze
School;Skola
Scriabin;Skriabins
Sociomusicology;Socio Mūzikoloģija
Sol;Sol
Sonata ;Sonēte
Soprano;Soprāns
Playing instruments: sounds & techniques;Spēlē instrumentus: skaņas un metodes
Staccato ;Stakāto
Stamitz;Stamits
Strings;Stīgu instrumenti
String Quartet;Stīgu kvartets
Streaming ;Straumēšana
Strauss;Štrauss
Structure: form;Struktūra: forma
Schubert;Šūberts
Schumann;Šūmanis
Sus2 and sus4 Chords;Sus2 un sus4 Akordi
Saint Romanos the Melodist;Svētais Romas komponists
Saint Saens;Svētais Saens
Tie ;Tā
Time Signature;Taksts izmērs
Tambourine;Tamburīns
Keyboards;Taustiņinstrumenti
Theatre Music;Teātra mūzika
Theatre;Teātris
Telemann;Telemanis
Timbre ;Tembrs
Tempo;Temps
Tenoro;Tenors
Online performance ;Tiešsaites izpildījums
Snare Drum;Timbāles
Timpani;Timpāni
Tonality;Tonalitāte
Tonality ;Tonalitāte
Tonality/harmony;Tonalitāte / harmonija
Tonic ;Tonizējošs
Traditional Music;Tradicionālā mūzika
Quaver;Trīcoša balss
Quaver rest;Trīcoša balss pauze
Trio ;Trio
Triplet;Tripleta
Thirty-second note ;Trīsdesmit otrā nots
Thirty-second note rest;Trīsdesmit otrās nots pauze
Treble ;Trīskāršot
Triangle;Trīsstūris
Trombone;Trombons
Trumpet;Trompete
Troubadours and trouvères;Troubadours un trouveres
Tuba;Tuba
Cornet;Tūta
Wagner;Vāgners
Late Romantic era;Vēlīnais romantiskais laikmets
Verdi;Verdi
Middle Romantic era;Vidus romantiskais laikmets
Medieval/Middle Ages;Viduslaiku / Viduslaiki
Violin;Vijole
Waves;Viļņi
Wave nodes;Viļņu mezgli
Waveforms;Viļņveidīgi
Whole Tone Scale;Visas taks mērs
General styles & traditions;Vispārējie stili un tradīcijas
Whole;Viss
Vivaldi;Vivaldi
Vocal Music;Vokālā mūzika
WAV;WAV
Bell;Zvans
Cymbal;Zvārgulis

