ICT;ΤΠΕ
Stepping back from ICT;Απομάκρυνση από τις ΤΠΕ
Numerical notation;Αριθμητική παράσταση
Numbers;Αριθμοί
Archive;Αρχείο
Computer architecture;Αρχιτεκτονική υπολογιστών
Security;Ασφάλεια
Data Security;Ασφάλεια δεδομένων
Security for Electronic Transaction - SET;Ασφάλεια ηλεκτρονικών συναλλαγών - SET 
Password security;Ασφάλεια κωδικού
Information Security Guidelines/Policy/Plan/Risk Assessment;Ασφάλεια πληροφοριών Οδηγίες/Πολιτική/Σχεδιασμός/ Αξιολόγηση ρίσκου
Security, accuracy & plagiarism;Ασφάλεια, ακρίβεια & λογοκλοπή
Security, password selection & protection;Ασφάλεια, ακρίβεια & λογοκλοπή
Safe searching;Ασφαλής αναζήτηση
Automation;Αυτοματισμός
Automating events;Αυτοματοποίηση γεγονότων
Databases;Βάσεις Δεδομένων
Database terminology & definitions;Βάσεις Δεδομένων: Ορολογία & ορισμοί 
Basic computer concepts;Βασική ορολογία 
Basic computer usage and possibilities;Βασική χρήση υπολογιστή και δυνατότητες
Bibliography;Βιβλιογραφία
Media library;Βιβλιοθήκες πολυμέσων
Library;Βιβλιοθήκη
Biotechnology;Βιοτεχνολογία
Language;Γλώσσα
Machine language;Γλώσσα μηχανής
Programming language;Γλώσσα προγραμματισμού
High level programming languages;Γλώσσες προγραμματισμού υψηλού επιπέδου
Low level languages;Γλώσσες χαμηλού επιπέδου
Graphics;Γραφικά
Graphics and sounds;Γραφικά και ήχοι
Data Encryption;Δεδομένα κρυπτογράφησης
Information skills;Δεξιότητες πληροφορίας
Creating & editing images;Δημιουργία & επεξεργασία εικόνων
Creating database;Δημιουργία βάσης δεδομένων
Creating websites;Δημιουργία δικτυακών τόπων
Building computers & networks;Δημιουργία υπολογιστών & δικτύων
Public information systems;Δημόσια πληροφοριακά συστήματα
Publishing on the web;Δημοσίευση στο διαδίκτυο
Flow chart;Διάγραμμα ροής
Diagrams;Διαγράμματα
Procedures/macros/templates;Διαδικασίες/μακροεντολές/πρότυπα
Internet;Διαδίκτυο
Interactive material;Διαδραστικό υλικό
Interoperabiloty;Διαλειτουργικότητα
Share ideas;Διαμοίραση ιδεών
Internet based entertainment;Διασκέδαση βασισμένη στο διαδίκτυο
Advertising;Διαφήμιση
Databases management;Διαχείριση βάσεων δεδομένων
Security Administrator;Διαχειριστής Ασφαλείας
Teaching materials;Διδακτικό υλικό
Computer-assisted-instruction (CAI software);Διδασκαλία με τη βοήθεια υπολογιστή
Research a problem using ICT;Διερεύνηση προβλήματος με χρήση ΤΠΕ
Access Rights;Δικαιώματα πρόσβασης
Network;Δίκτυο
Wide Area Network;Δίκτυο Ευρείας Περιοχής
Information network;Δίκτυο πληροφορίας
Correction;Διόρθωση
Floppy Drive;Δισκέτα
Database stucture;Δομή βάσης δεδομένων
Structure of systems;Δομή συστημάτων
Awareness-raising activities;Δραστηριότητες ενημέρωσης
Information literacy;Εγγραματισμός σχετικά με την πληροφορία
Media literacy;Εγγραμματισμός σχετικά με πολυμέσα
Computer literacy;Εγγραμματισμός σχετικά με υπολογιστές
Video & audio;Εικόνα & ήχος
Images;Εικόνες
Still images - generally;Εικόνες
Still images: graphs;Εικόνες: γραφήματα
Still images: bitmap graphics;Εικόνες: γραφήματα bitmap
Still images: vector graphics;Εικόνες: διανυσματικά γραφικά
Still images: pictograms;Εικόνες: εικονογράμματα
Virtual reality;Εικονική πραγματικότητα
Entering data;Εισαγωγή δεδομένων
Media education;Εκπαίδευση για τα μέσα
Media education;Εκπαίδευση σχετικά με τα μέσα
Printout;Εκτυπώσεις
Printer;Εκτυπωτές 
Laser printers;Εκτυπωτές laser
Cyberbullying;Εκφοβισμός μέσω διαδικτύου
Testing;Έλεγχος
Controlling;Έλεγχος
Access Control;Έλεγχος πρόσβασης
Newsletter, poster, flyer production;Ενημερωτικά δελτία, αφίσες, παραγωγή φυλλαδίων
Data concepts;Έννοιες σχετικά με δεδομένα
Control concepts;Εντολές ελέχου
Connecting computer parts;Ένωση μερών υπολογιστή
Reliance on ICT & risk assessment;Εξάρτηση από τις ΤΠΕ & αξιολόγηση ρίσκου
Output;Έξοδος
Wide Area Information Servers (WAIS);Εξυπηρετητές Πληροφοριών Ευρείας Περιοχής (WAIS)
Retrieving information that has been stored;Επανάκτηση πληροφοριών
Augmented Reality;Επαυξημένη πραγματικότητα
Data processing;Επεξεργασία δεδομένων
Processing text & images;Επεξεργασία κειμένου και εικόνας
Information processing;Επεξεργασία πληροφορίας
Processor;Επεξεργαστής
Communicating;Επικοινωνία
Communication;Επικοινωνία
Communications & entertainment;Επικοινωνία & διασκέδαση
Select from and add to information for particular purposes;Επιλογή από και προσθήκη πληροφορίας για συγκεκριμένους σκοπούς
Select and use ICT tools and techniques appropriately, safely and efficiently;Επιλογή και χρήση εργαλείων ΤΠΕ και τεχνικών με κατάλληλο, ασφαλή & αποτελεσματικό τρόπο
Problem solving;Επίλυση προβλημάτων
Computer science;Επιστήμη υπολογιστών
Web 2.0 tools;Εργαλεία web 2.0 
ICT tools;Εργαλεία ΤΠΕ
Working with mobile technology;Εργασία με φορητή ψηφιακή τεχνολογία
Working with cameras & video;Εργασία με ψηφιακές κάμερες & βίντεο
Interpretation of data;Ερμηνεία δεδομένων
Interpret information;Ερμηνεία πληροφορίας
Interpreting information;Ερμηνεία πληροφορίας
Asking questions & querying data;Ερωτήματα με βάση δεδομένα
ICT opportunities;Ευκαιρίες που δίνονται από τις ΤΠΕ
Computer application;Εφαρμογές υπολογιστών
Applying ICT in other contexts;Εφαρμογή ΤΠΕ σε άλλα πλαίσια
Electronic day books;Ηλεκτονικά βιβλία
Electronic journal;Ηλεκτονικά περιοδικά
Electronic journal;Ηλεκτρονικό περιοδικό
E-mail;Ηλεκτρονικό ταχυδρομείο
E-book readers & other gadgets;Ηλεκτρονικοί αναγνώστες βιβλίων & άλλα προιόντα τεχνολογίας
Sounds;Ήχοι
Audio;Ήχος 
Sound;Ήχος 
Confidentiality issues;Θέματα εμπιστευτικότητας
Communications issues;Θέματα επικοινωνίας
Information Owner;Ιδιοκτήτης πληροφοριών
Privacy and personal information;Ιδιωτικότητα και προσωπικές πληροφορίες
Communicative competence;Ικανότητα επικοινωνίας
Virus;Ιός
Trojan;Ιός δούρειος ίππος
History & development of ICT;Ιστορία & ανάπτυξη ΤΠΕ
History of technology;Ιστορία τεχνολογίας
Everyday use;Καθημερινή χρήση
Malware;Κακόβουλο λογισμικό
Malicious code;Κακόβουλος κώδικας
Record information/data using ICT;Καταγραφή πληροφορίας/δεδομένα χρήσης ΤΠΕ
Appropriate/not appropriate;Καταλληλλότητα/μη καταλληλότητα
Cataloguing;Καταλογοποίηση
Understanding of audience;Κατανόηση κοινού
Understanding of terminology;Κατανόηση ορολογίας
Understanding of hardware and software;Κατανόηση υλικού και λογισμικού
Combating ICT & IT crime;Καταπολέμηση ηλεκτρονικού εγκλήματος
Misuse of data;Κατάχρηση δεδομένων
Data logging;Καταχώρηση δεδομένων
Datalogging;Καταχώρηση δεδομένων
Classification;Κατηγοριοποίηση
Labelling;Κατηγοριοποίηση
Text;Κείμενο
Animation;Κινούμενα σχέδια
Video;Κινούμενη εικόνα
Identity Hacking;Κλοπή ταυτότητας
Social networking;Κοινωνική δικτύωση
Critical evaluation;Κριτική αξιολόγηση
Cryptography;Κρυπτογραφία
Coding;Κώδικας
Functional skills;Λειτουργικές δεξιότητες
Operating system;Λειτουργικό σύστημα
Computer functional scheme;Λειτουργικό σχήμα υπολογιστή
Lexis;Λεκτικό
Dictionary;Λεξικό
Vocabulary;Λεξιλόγιο
Access Control List;Λίστα ελέγχου πρόσβασης
Software;Λογισμικό
Word processing software;Λογισμικό επεξεργασίας
Desktop publishing software;Λογισμικό επιτραπέζιων εκδοτικών συστημάτων
Presentation software;Λογισμικό παρουσίασης
Future developments;Μελλοντικές εξελίξεις
Mass media;Μέσα για τις μάζες
Mass media;Μέσα που απευθύνονται στις μάζες
Screencast;Μετάδοση οθόνης
Number conversion;Μετατροπή αριθμών
Engineering;Μηχανική
Memory;Μνήμη
Mnemonics;Μνημονική
Modelling;Μοντελοποίηση
Patterns;Μοτίβα
New technologies & tools;Νέες τεχνολογίες & εργαλεία
Health & safety legislation;Νομοθεσία περί υγείας & ασφάλειας
Instructions;Οδηγίες
liquid crystal display panels;Οθόνες υγρών κρυστάλλων 
Screen;Οθόνη
Integration of digital products;Ολοκλήρωση ψηφιακών προιόντων
Video recorders;Όργανο καταγραφής βίντεο
Tape-recorders;Όργανο καταγραφής ταινιών
Terminology;Ορολογία
Benefits & problems of data collection;Οφέλη & προβλήματα από τη συλλογή δεδομένων
Computer game;Παιχνίδι υπολογιστή
Games & gaming machines;Παιχνίδια & παιχνιδομηχανές
Security Breach/Incident;Παράβαση ασφαλείας/ Περιστατικό
Presentation;Παρουσίαση
Data presentation;Παρουσίαση δεδομένων
Present work effectively;Παρουσίαση εργασίας αποτελεσματικά 
Presenting measured data;Παρουσιάση μετρήσιμων δεδομένων
Presentation of information & data;Παρουσίαση πληροφορίας & δεδομένων
Internet service providers;Παροχείς υπηρεσιών διαδικτύου
Communication Environments;Περιβάλλοντα Επικοινωνίας
Linked databases & database structures;Περιορισμοί/πλεονεκτήματα
Information source;Πηγή πληροφορίας
Advantages & disadvantages;Πλεονεκτήματα & μειονεκτήματα
Benefits & problems;Πλεονεκτήματα & προβλήματα
Concept keyboard;Πληκτρολόγιο
Information;Πληροφορίες
Information ;Πληροφορίες
Copyright;Πνευματική Ιδιοκτησία
Quality & accuracy;Ποιότητα & ακρίβεια
Digital citizens;Πολίτες ψηφιακής εποχής
Media;Πολυμέσα
Multimedia;Πολυμέσα
Website;Πολυμέσα
Keyboard Mouse;Ποντίκι
Programm;Πρόγραμμα
Programmable toy;Προγραμματιζόμενο παιχνίδι
Programming;Προγραμματισμός
Specification;Προδιαγραφές
Latest digital products;Προηγμένα ψηφιακά προιόντα
Gadgets;Προιόντα τεχνολογίας
Computer addition;Προσθήκη υπολογιστή
Simulating;Προσομοίωση
File transfer protocol (FTP);Πρωτόκολλο ανταλλαγής αρχείων (FTP)
Robotics;Ρομποτική
What if scenarios, ICT in action;Σενάρια "τι θα συμβεί αν", ΤΠΕ σε δράση
Semantics;Σημασιολογία
Disk drive/hard disk;Σκληρός δίσκος
Chat;Σύγχρονη επικοινωνία
Data capture;Σύλληψη δεδομένων
Local data collection & holding;Συλλογή 
Data collection;Συλλογή δεδομένων
Collecting information;Συλλογή πληροφοριών
Assembler;Συναρμολογητής
Number bases;Συνδεδεμένες βάσεις δεδομένων και υποδομές βάσεων δεδομένων
Combining software tools to produce a system;Συνδυασμός εργαλείων λογισμικού για την παραγωγή συστήματος
Collaboration;Συνεργασία
Synthesising information;Σύνθεση πληροφοριών
Syntax;Συντακτικό
Maintaining;Συντήρηση
Storage devices;Συσκευές αποθήκευσης
Input;Συσκευές εισόδου
Input & output devices;Συσκευές εισόδου & εξόδου
Information system;Σύστημα πληροφορίας
Systems;Συστήματα
Systems in context;Συστήματα σε πλαίσιο
Design;Σχεδίαση
Interactive digital display design;Σχεδίαση διαδραστικής ψηφιακής οθόνης
Planning what data to record;Σχεδίαση καταγραφής δεδομένων
Informational website design;Σχεδίαση πληροφοριακών ιστότοπων
Planning;Σχεδιασμός
Draft/manipulate information/data using ICT;Σχέδιο/χειρισμός πληροφρορίας/ δεδομένα σχετικά με τη χρήση ΤΠΕ
Relationships & rules;Σχέσεις & κανόνες
Online identity;Ταυτότητα στο διαδίκτυο
Documentiation;Τεκμηρίωση
Artificial intelligence;Τεχνητή Νοημοσύνη
Search techniques;Τεχνικές αναζήτησης
Technology;Τεχνολογία
Security technology;Τεχνολογία ασφάλειας
Control technology;Τεχνολογία ελέγχου
Web technologies;Τεχνολογίες διαδικτύου
Technological education;Τεχνολογική εκπαίδευση
Video conferencing;Τηλεδιάσκεψη
Faxes;Τηλεομοιότυπο
Limitations/advantages;Τιτλοποίηση
The Internet: searching and interpreting;Το διαδίκτυο: αναζήτηση και ερμηνεία
Local Area Network;Τοπικό Δίκτυο 
ICT & me;ΤΠΕ & εγώ
ICT tools – generally;ΤΠΕ εργαλεία
ICT tools: web browser;ΤΠΕ εργαλεία: φυλλομετρητής
ICT tools: database;ΤΠΕ εργαλεία: βάσεις δεδομένων
ICT tools: word processor;ΤΠΕ εργαλεία: επεξεργασία κειμένου
ICT tools: desktop publishing (DTP);ΤΠΕ εργαλεία: εργαλεία δημοσίευσης 
ICT tools: datalogging software;ΤΠΕ εργαλεία: εργαλεία καταχώρισης δεδομένων
ICT tools: multimedia authoring software;ΤΠΕ εργαλεία: εργαλεία συγγραφής πολυμέσων
ICT tools: bitmap graphics software;ΤΠΕ εργαλεία: λογισμικό γραφικών bitmap 
ICT tools: web authoring software;ΤΠΕ εργαλεία: λογισμικό δημιουργίας ιστού
ICT tools: control software;ΤΠΕ εργαλεία: λογισμικό ελέγχου
ICT tools: music & sound software;ΤΠΕ εργαλεία: λογισμικό μουσικής & ήχου
ICT tools: presentation software;ΤΠΕ εργαλεία: λογισμικό παρουσίασης
ICT tools: spreadsheet;ΤΠΕ εργαλεία: λογιστικό φύλλο
ICT tools: adventure games/simulations;ΤΠΕ εργαλεία: παιχνίδια/προσομοιώσεις
ICT tools: vector graphics program;ΤΠΕ εργαλεία: πρόγραμμα διανυσματικών γραφημάτων
ICT in society;ΤΠΕ στην κοινωνία
Hardware;Υλικό 
MIDI hardware;Υλικό MIDI
Reference material;Υλικό αναφοράς
Hypermedia;Υπερμέσα
Infrared communications;Υπέρυθρες επικοινωνίες
Customer service;Υπηρεσία Πελάτη
Fantasy;Φαντασία
Character;Χαρακτήρες
Website design features;Χαρακτηριστικά σχεδίασης ιστότοπων
Maps and plans;Χάρτες και σχέδια
Use & misuse of data;Χρήση δεδομένων
Using images & text;Χρήση εικόνων & κειμέννου
Use of queries, forms, reports, macros;Χρήση ερωτημάτων, φορμών, αναφορών, μακροεντολών
Using applications;Χρήση εφαρμογών
Contextualised use of text/image processing;Χρήση κειμένου σε πλαίσιο/επεξεργασία εικόνας
Use text, tables, images and sound to develop ideas;Χρήση κειμένου, πινάκων, εικόνων και ήχου για την ανάπτυξη ιδεών
Using ICT;Χρήση ΤΠΕ
Using IT safely;Χρήση ΤΠΕ με ασφάλεια
Pseudocode;Ψευδοκώδικας
Digital scanners;Ψηφιακά scanners
Digital Products;Ψηφιακά προιόντα
Digital presentations;Ψηφιακές παρουσιάσεις
Digital cameras;Ψηφιακές φωτογραφικές μηχανές
Digital literacy;Ψηφιακός εγγραματισμός

