Music;Μουσική
Korsakov;Κόρσακοφ
Quartet ;Κουαρτέτο
String Quartet;Κουαρτέτο Εγχόρδων
Couperin;Κουπρέν
Percussions;Κρουστά
Circle of Fifths;Κύκλος με Πέμπτες
Waves;Κύματα
Waveforms;Κυματομορφές
Cymbal;Κύμβαλα
A;Λα
La;Λα
Lute;Λαούτο
Lassus;Λάσσο
Leontaritis;Λεονταρίτης
Liszt;Λίστ
Notation Software;Λογισμικό Μουσικής Παρτιτούρας
Lully;Λουλύ
Tape recording;Μαγνητοταινία
Madrigal;Μαδριγάλι
Mahler;Μάλερ
Mandolin;Μαντολίνο
Maracas;Μαράκες
Major and Minor 7ths;Μεγάλες και μικρές έβδομες
Dominant 7th's;Μεθ' εβδόμης
Major;Μείζονα
Major Scale;Μείζονα Κλίμακα
Major chord;Μείζονα συγχορδία
Major Triads;Μείζονα τρίχορδα
Practising;Μελέτη
Melody ;Μελωδία
Melodic Intervals;Μελωδικά διαστήματα
Mendelssohn;Μέντελσον
Middle Romantic era;Μέση Ρομαντική εποχή 
Alto;Μεσόφωνος (Μέτζο σοπράνο)
Metallophone;Μεταλόφωνο
Key Signature;Μετρική αγωγή
Time Signature;Μετρική αγωγή
Bar  ;Μέτρο
Measure;Μέτρο
Non-musical stimuli;Μή μουσικά ερεθίσματα
Mitropoulos;Μητρόπουλος
E;Μι
Mi;Μι
Microphone;Μικρόφωνο
Minim note;Μισό
Modernism;Μοντερνισμός
Motet;Μοτέτο
Mozart;Μότσαρτ
Music genres;Μουσικά γένη
Musical stimuli;Μουσικά ερεθίσματα
Musical instruments / Human voice;Μουσικά όργανα / Ανθρώπινη φωνή
Musical elements & devices;Μουσικά στοιχεία 
Musical features;Μουσικά χαρακτηριστικά
16th c. Music;Μουσική 16ου αι.
17th c. Music;Μουσική 17ου αι.
18th c. Music;Μουσική 18ου αι.
19th c. Music;Μουσική 19ου αι.
20th c. Music (contemporary);Μουσική 20ου αι. (ή σύγχρονη)
Music from other traditions;Μουσική από άλλες παραδόσεις
Music from other places/cultures;Μουσική από άλλους τόπους / πολιτισμούς
Music from the Americas;Μουσική από την Αμερική
Music from Asia;Μουσική από την Ασία
Music from Australasia;Μουσική από την Αυστραλασία
Music from Africa;Μουσική από την Αφρική
Music from Europe;Μουσική από την Ευρώπη
Music of the past;Μουσική από το παρελθόν
Notation ;Μουσική γραφή
Chamber Music;Μουσική Δωματίου
Chamber Music ;Μουσική Δωματίου
Music Education;Μουσική εκπαίδευση
Musical expression;Μουσική έκφραση
Background Music;Μουσική επένδυση
Music and Science;Μουσική και Επιστήμη
Music and ICT software;Μουσική και λογισμικό ΤΠΕ
Music and Mathematics;Μουσική και Μαθηματικά
Music and Media;Μουσική και Μέσα
Music and ICT hardware;Μουσική και μηχανήματα ΤΠΕ
Music and ICT terms;Μουσική και όροι ΤΠΕ
Music and ICT;Μουσική και ΤΠΕ
Music and Physics;Μουσική και Φυσική
Computer Music;Μουσική με υπολογιστές
Computer-enhanced Music;Μουσική μετη βοήθεια υπολογιστών
Ballet Music;Μουσική Μπαλέτου
Notation / Music Theory / Harmony/Musical Morphology;Μουσική σημειογραφία/ Θεωρία Μουσικής/ Αρμονία/ Μορφολογία Μουσικής
Music Stage;Μουσική Σκηνή
Street music;Μουσική του δρόμου
Music of the present;Μουσική του παρόντος
Music Psychology;Μουσική Ψυχολογία
Music as a performance art;Μουσική ως παραστατική τέχνη
Music analysis ;ΜουσικήΑνάλυση
Music Software;Μουσικό λογισμικό
Sound oscillator / Envelope;Μουσικό ς Ταλαντωτής / Περιβάλουσα
Music School;Μουσικό Σχολείο (Σχολή)
Music Therapy;Μουσικοθεραπεία
Musicology;Μουσικολογία
Music Videoconference Loop;Μουσικός βρόχος βιντεοδιάσκεψης
Mussorgsky;Μουσόργκσκυ
Banjo;Μπάντζο
Bach;Μπάχ
Beethoven;Μπετόβεν
Bizet;Μπιζέτ
Boccherini;Μποκερίνι
Borodin;Μποροντίν
Bruckner;Μπρούκνερ
Byrd;Μπύρντ
Ars Nova;Νέα Τέχνη
Note;Νότα (φθόγγος)
Dvořák;Ντβόρζακ
Debussy;Ντεμπυσί
C;Ντο 
Do;Ντο 
Dolby surround;Ντόλμπυ Σαράουντ
Donizetti;Ντονιτσέτι
Duo;Ντούο (Δυωδία)
Nocturne;Νυχτερινό
Xenakis;Ξενάκης
Xylophone;Ξυλόφωνο
Eighth note  ;Όγδοο
Quaver;Όγδοο
Octave;Οκτάβα
Octet ;Οκτέτο
Whole;Ολόκληρο
Oboe;Όμποε (Οξύαυλος)
Tenoro;Οξύφωνος (Τενόρος)
Opera;Όπερα, Μελόδραμα
Oratorio;Ορατόριο
Instruments & performers;Όργανα & Εκτελεστές
Organ;Όργανο (Εκκλησιαστικό)
Orchestra ;Ορχήστρα
Late Romantic era;Όψιμη Ρομαντική εποχή
Paganini;Παγκανίνι
Performing with others;Παίζοντας μαζί με άλλους
Ars antique;Παλαιά Τέχνη
Palestrina;Παλεστρίνα
Traditional Music;Παραδοσιακή Μουσική
Dotted Note ;Παρεστιγμένη νότα
Dotted Rest;Παρεστιγμένη παύση
Score;Παρτιτούρα
Sheet Music;Παρτιτούρες Μουσικής
Rest;Παύση  
Sixty-fourth note rest;Παύση εξηκοστού τετάρτου
Minim rest;Παύση μισού
Eighth note rest;Παύση ογδόου
Quaver rest;Παύση ογδόου
Whole rest;Παύση ολοκλήρου
Crotchet rest;Παύση τετάρτου
Demisemiquaver rest;Παύση τριακοστού δευτέρου
Thirty-second note rest;Παύση τριακοστού δευτέρου
Staff;Πεντάγραμμο
Pentatonic Scale;Πεντατονική Κλίμακα
Context;Περιβάλλον
Purcell;Πέρσελ
Piano;Πιάνο
Table of Key Signature;Πίνακας Μετρικών Αγωγών
Keyboards;Πληκτροφόρα
Winds;Πνευστά
Polka ;Πόλκα
Presto ;Πολύ γρήγορα 
Polyphony;Πολυφωνία
Puccini;Πουτσίνι
Prelude ;Πρελούδιο
Rehearsing;Πρόβα
Pronomos;Πρόνομος
Early Romantic era;Πρώιμη Ρομαντική εποχή
Pythagoras;Πυθαγόρας
Ravel;Ραβέλ
Rameau;Ραμώ
Rachmaninoff;Ραχμάνινοφ
Rhapsody ;Ραψωδία
D;Ρε
Re;Ρε
Reicha;Ρέιχα
Recital ;Ρεσιτάλ
Streaming ;Ροή (πολυμέσων)
Pop – Rock Music;Ροκ – Ποπ Μουσική
Rossini ;Ροσίνι
Rhythm ;Ρυθμός
Rhythm (duration), pulse/beat;Ρυθμός (διάρκεια), παλμός/ χτύπος
Saint Romanos the Melodist;Ρωμανός ο Μελωδός
Salieri;Σαλιέρι
Zither;Σαντούρι
Saxophone;Σαξόφωνο
Range of activities;Σειρά δράσεων
Serialism;Σειραϊσμός
Saint Saens;Σεν Σάνς
Schoenberg;Σένμπεργκ
B;Σι 
Si;Σι 
Ti;Σι 
Sibelius;Σιμπέλιους
Mute;Σιωπή
Skalkotas;Σκαλκώτας
Scriabin;Σκριάμπιν
G;Σολ
Sol;Σολ
Sonata ;Σονάτα
Schumann;Σούμαν
Schubert;Σούμπερτ
Staccato ;Στακάτο
Stamitz;Στάμιτς
Lyrics;Στίχοι
Reflective composing;στοχαστικός αυτοσχεδιασμός
Strauss;Στράους
Sixth and Ninth Chords;Συγχορδίες έκτης και ένατης
Sus2 and sus4 Chords;Συγχορδίες με Κρατημένη 2η και 4η
Tie ;Σύζευξη
Expression Marks;Σύμβολα έκφρασης
Dissonant and Consonant Chords;Σύμφωνες και Διάφωνες Συγχορδίες
Symphony ;Συμφωνία
Symphonic Music;Συμφωνική Μουσική
Symphonic Poem;Συμφωνικό Ποίημα
Arena;Συναυλία σε στάδιο
Synthesizer;Συνθετητής (συνθεσάϊζερ)
Synthesizer / Electric Piano;Συνθετητής (συνθεσάϊζερ/ Ηλεκτρικό Πιάνο)
Composing, creating & developing;Σύνθσεση, Δημιουργία και ανάπτυξη (μουσικών  ιδεών)
Ensemble;Σύνολο
Frequency;Συχνότητα
Relative Minor & major ;Σχετική ελάσσονα & μείζονα
School;Σχολείο
Snare Drum;Ταμπούρο
Telemann;Τέλεμαν
Ceremony;Τελετή
Four Seasons;Τέσσερις εποχές
Crotchet;Τέταρτο
Quarter note;Τέταρτο
Jazz Music;Τζάζ Μουσική
Tonic ;Τονική
Pitch;Τονικό ύψος
Pitch ;Τονικό ύψος
Pitch/melody;Τονικό ύψος/Μελωδία
Tonality;Τονικότητα
Tonality ;Τονικότητα
Tonality/harmony;Τονικότητα / Αρμονία
Tuba;Τούμπα (Βαθεία σάλπιγγα)
Song;Τραγούδι 
Singing, including diction, sounds & techniques;Τραγούδι, συμπεριλαμβανομένης της απαγγελίας, τη χρήση ήχων και άλλων τεχνικών
Demisemiquaver;Τριακοστό δεύτερο
Thirty-second note ;Τριακοστό δεύτερο
Triangle;Τρίγωνο
Triplet;Τρίηχο
Trio ;Τρίο
Troubadours and trouvères;Τροβαδούροι και τρουβέροι
Trumpet;Τρομπέτα (Σάλπιγγα)
Trombone;Τρομπόνι (Ολκωτή σάλπιγγα)
Tchaikovsky;Τσαϊκόφσκυ
Harpsichord;Τσέμπαλο
Tambourine;Τυμπάνιο, Ντέφι
Timpani;Τύμπανο
Flat;Ύφεση
Treble ;Υψίφωνο 
Soprano;Υψίφωνος (Σοπράνο)
F;Φα 
Fa;Φα 
Bassoon;Φαγγότο (Βαρύαυλος)
Whole note ;Φθόγγος ολόκληρου
Flute;Φλάουτο (Πλαγίαυλος)
Recorder;Φλογέρα με ράμφος
Fortepiano / Pianoforte;Φορτεπιάνο / Πιανοφόρτε
Fugue;Φυγή
Harmonica;Φυσαρμόνικα
Physics;Φυσική
Natural;Φυσικό
Voice;Φωνή
Phonetics;φωνητική
Vocal Music;Φωνητική Μουσική
Phonology;φωνολογία
Haydn;Χάυδν
Handel;Χέντελ
Holst;Χόλστ
Chord;Χορδή
Tuning;Χόρδισμα
Choir;Χορωδία
Hummel;Χούμελ
Using the voice;Χρησιμοποιώντας τη φωνή
Tempo;Χρόνος (τέμπο)
Chromatic Scale;Χρωματική κλίμακα
Beat ;Χτύπος
Digital sound editing;Ψηφιακή επεξεργασία ήχου
Digital sound recording;Ψηφιακή ηχογράφηση ήχου
Digital Audio Recorder;Ψηφιακός Ηχητικός Καταγραφέας
Psychoacoustics;Ψυχοακουστική
Conservatory of Music;Ωδείο (Ακαδημία Μουσικής)

