Science;Scienze
Changes in distribution of economic activity & their impact;Cambiamenti nella distribuzione delle attività economiche e il loro impatto
Population change;Cambiamento demografico
Fields;campi
Central field;Campo centrale
Conservative force field;Campo di forze conservativo
Electric field;Campo elettrico
Electromagnetic field;Campo elettromagnetico
Gravitational field;Campo gravitazionale
Magnetic field;Campo magnetico
Cape;Capo
Wave characteristics - generally;Caratteristiche dell'onda - generalmente
Carbon;Carbon
Cardiovascular;Cardiovascolario
Charge;Carica
Electric charge - generally;Carica elettrica - generalmente
Weight;Carico
cartography;cartografia
Catalysts;Catalizzatori
Catastrophe ;Catastrofe
Food chain;catena alimentare
Food chains and webs;Catene e reti alimentari
Environmental causes of variation;Cause ambientali di variazione
Genetic causes of variation and mutation;Cause genetiche di variazione e mutazione
Hydroelectric power plant ;Centrale idroelettrica
Nuclear power plant ;Centrale nucleare
Centre of mass;Centro di massa
Brain;Cervello
Chemistry;chimica
Analytical Chemistry;Chimica analitica
Solid State Chemistry;Chimica dello Stato Solido
Physical chemistry;Chimica fisica
Inorganic chemistry ;Chimica inorganica
Organic chemistry;Chimica organica
Quantum Chemistry;Chimica Quantistica
Food as fuel;cibo come carburante
Carbon and nitrogen cycles;Cicli del carbonio e dell'azoto
Water cycle;ciclo dell'acqua
Life cycle;Ciclo di vita
Menstrual cycle;ciclo mestruale
Chemical Kinetics;Cinetica Chimica
Circuits - generally;Circuiti - generalmente
Parallel circuits;Circuiti paralleli
Series circuits;Circuiti serie
Classification/keys;Classificazione / chiavi
Classifications of economic activity;Classificazioni di attività economica
Climate;Clima
Climate ;Clima
Open clusters;Cluster aperti
Galaxy clusters;Cluster di galassie
Globular clusters;Cluster globulari
Collision;Collisione
Colour;Colore
Comets and meteors;Comete e meteoriti
Metal complexes;Complessi metallici
Components in circuits: batteries, etc;Componenti di circuiti: batterie, ecc
Compounds - generally;Composti - generalmente
Aliphatic Compounds;Composti alifatici
Aromatic Compounds;Composti aromatici
Heterocyclic Compounds;Composti Eterociclici
Nitrogenous fertilizers;Concimi azotati
Conduction, convection and evaporation;Conduzione, convezione ed evaporazione
Conservation of mass;Conservazione della massa
Conservation of momentum;Conservazione della quantità di moto
Conservation and dissipation;Conservazione e dissipazione
Constellations;Constellazioni
Coordinates;Coordinate
Rigid body;Corpo rigido
Electric current;Corrente elettrica
Watercourse;Corso d'acqua
Watercourse ;Corso d'acqua
Cosmology;Cosmologia
Particle cosmology ;Cosmologia delle particelle
Physical constants ;Costanti fisiche
Coasts;Coste
Crater;Crateri
Chromatography;Cromatografia
Chromosomes;cromosomi
Heart;Cuore
Rotation curve;Curva di rotazione
Light curve;Curvatura della luce
Darwin;Darwin
Nuclear decay;Decadimento nucleare
Thermal decomposition;Decomposizione termica
Weather;Del tempo
Density;Densità
Teeth;Denti
Deposition;Deposizione
Desert ;Deserto
Sex determination;determinazione del sesso
Particle detectors ;Detettori di particelle
Hertzsprung-Russell diagram;Diagramma di Hertzsprung-Russell
Differences in development within countries;differenze di sviluppo all'interno dei paesi
Differences in development between countries;differenze di sviluppo tra i paesi
Diffraction;Diffrazione
Particle dynamics ;Dinamica delle particelle
Coupled Motion dynamics ;Dinamica di movimento accoppiato
Dynamometers;Dinamometri
Dinosaur;dinosauro
Distillation;Distillazione
Population distribution;Distribuzione della popolazione
Geographical distribution of economic activity;Distribuzione geografica delle attività economiche
Global distribution of tectonic activity;Distribuzione globale delle attività tettonica
DNA;DNA
Lunar eclipse;Eclisse lunare
Solar eclipse;Eclisse solari
Eclipses;Eclissi
Ecology;Ecologia
Ecology ;Ecologia
Ecosystem ;Ecosistema
Ecosystems;Ecosistemi
Environmental Education;Educazione ambientale
Education for sustainable development ;Educazione per lo sviluppo sostenibile
Effects of resource use;Effetti dell'uso delle risorse
Microlensing effect;Effetti di Microlensing
Doppler effect;Effetto Doppler
Greenhouse effect ;Effetto serra
Elements;Elementi
Electricity ;Elettricità
Electricity and magnetism;elettricità e magnetismo
Electrochemistry;Elettrochimica
Electrolysis;Elettrolisi
Electromagnetism - generally;Elettromagnetismo - generalmente
Electrons – generally;Elettroni - generalmente
Energy;energia
Energy ;Energia
Energy - using electricity;Energia - usando l'elettricità
Kinetic energy;Energia cinetica
Energy and ecosystems;Energia ed ecosistemi
Electrical energy ;Energia elettrica
Nuclear energy ;Energia nucleare
Dark energy;Energia oscura
Potential energy;Energia potenziale
Renewable energy;energia rinnovabile
Renewable energy ;Energia rinnovabile
Entropy;Entropia
Enzymes;Enzimi
Epithelial;epiteliale
Maxwell's equations;equazioni di Maxwell
Equations and formulae;Equazioni e formule
Monohybrid inheritance;eredità monoibrida 
Inheritance - generally;Ereditarietà - generalmente
Erosion;Erosione
Conflicting demands on environments;Esigenze contrastanti sugli ambienti
Exo/endothermic;Eso / endotermico
Hubble expansion;Espansione di Hubble
Explorer;Esploratore
exploration of the earth ;esplorazione della terra
Gamma ray bursts;Esplosioni di raggi gamma
Extinction;estinzione
Extraction of metal from ore;Estrazione del metallo dal minerale
Spatial heterogeneity;Eterogeneità spaziale
Evolution - generally;Evoluzione - generalmente
Pharmaceutics;Farmaceutica
Asteroid belt;Fascia di asteroidi
Phases;Fasi
Phases of the Moon;Fasi lunari
Factors influencing development;Fattori che influenzano lo sviluppo
Fertilisation;Fecondazione
Liver;Fegato
Electrostatic phenomena and uses;Fenomeni elettrostatici e gli usi
atmospheric phenomenon ;fenomeno atmosferico
Climatic phenomenon ;Fenomeno climatico
geological phenomenon ;fenomeno geologico
geomorphologic phenomenon ;fenomeno geomorfologico
Natural phenomenon ;Fenomeno naturale
Filtration;Filtrazione
Flower;Fiore
Physics;fisica
High Energy Physics;Fisica dell'Energia
Nuclear physics;Fisica nucleare
Nuclear fission;Fissione nucleare
Rivers;Fiumi
Leaf;Foglie
Forest ;Foresta
Forestry;Forestali
Dynamic Shape;Forma dinamica
Formation;Formazione
Supply of resources;Fornitura di risorse
Lorentz force;Forza di Lorentz
Electric force;Forza elettrica
Gravitational force and gravity;Forza gravitazionale e la forza di gravità
Magnetic force;Forza magnetica
Nuclear force;Forza nucleare
Forces and motion;forze e movimenti
Electrostatic forces;Forze elettrostatiche
fossil ;fossile
Photography and cinematography;Fotografia e cinematografia
Photosynthesis;Fotosintesi
Wave frequency;Frequenza dell'onda
Fruit;Frutti
Burning;Fusione
Nuclear fusion;fusione nucleare
Spiral galaxy;Galassia a spirale
Elliptical galaxy;Galassia ellittica
Irregular galaxy;Galassia irregolare
Galaxies and Dwarf galaxies;Galassie e galassie nane
Gas;Gas
Generators and transformers;Generatori e trasformatori elettrici
Genetics;genetica
Genome;genoma
Geography;Geografia
Landforms;Geografia
Geography and Earth Science;geografia e scienze della terra
regional geography ;geografia regionale
social geography ;geografia sociale
geology ;geologia
Waste management ;Gestione dei rifiuti
Gardening;Giardinaggio
Garden;Giardino
Giants;Giganti
GIS;GIS
Globes;Globi
Grand unification ;Grande unificazione
Electrical quantities - generally;Grandezze elettriche - generalmente
Half-life;Half-life
Fossil fuels;I combustibili fossili
Gamma rays;I raggi gamma
X-rays;I raggi X
Blood vessels;I vasi sanguigni
Hydrocarbons;Idrocarburi
Satellite images;Immagini satellitari
Impulse;Impulse
Refraction index;Indice di rifrazione
Inertia;Inerzia
Inflation;Inflazione
Soil influences on ecosystems;Influenze del terreno sugli ecosistemi
Human influences on ecosystems;Influenze umane sugli ecosistemi
Climatic influences on ecosystems;Influssi climatici sugli ecosistemi
Spatial information;Informazioni spaziali
Infrared;Infrarossi
Genetic engineering;ingegneria genetica
Pollution ;Inquinamento
Rural settlements;Insediamenti rurali
Urban settlements;Insediamenti urbani
Settlements: change;Insediamenti: cambiamento
Settlements: size/character/function;Insediamenti: Capacità / personaggio / funzione
Insect;insetto
Insulin;insulina
Particle interactions with matter ;Interazione di particelle con la materia
Weak interactions: electroweak ;Interazioni deboli: electroweak 
Weak interactions: quarks & leptons;Interazioni deboli: quark & leptoni
Spatial interactions;Interazioni spaziali
Internal Energy;Interno dell'energia
Spatial interpolation;Interpolazione spaziale
Audible ranges;Intervalli sonori
Invertebrate;invertebrati
Island ;Isola
Jets;Jet
Cloning, selective breeding and genetic engineering;La clonazione, l'allevamento selettivo e l'ingegneria genetica
Meiosis;La meiosi
Lake ;Lago
Horizontal throw;Lancio orizzontale
Vertical throw;Lancio verticale
Free electron lasers;Laser a elettroni liberi
Work and power;Lavoro e potenza
Environmental education ;L'educazione ambientale
Bonding – generally;Legami - generalmente
Covalent bonds;Legami covalenti
Ionic bonds;Legami ionici
Ampere's law;Legge di Ampere
Coulomb law;Legge di Coulomb
Universal law of gravitation;Legge di gravitazione universale
Kepler's laws;leggi di Keplero
Newton's laws;Leggi di Newton
Wood ;Legno
Gravitational lenses;Lenti gravitazionali
Leptons ;Leptoni 
Tongue;Lingua
regional language ;lingua regionale
The ear;L'orecchio
Light;luce
Visible light;luce visibile
Zodiacal light;Luce zodiacale
Luminescent;luminescente
Moon;Luna
Wavelength;Lunghezza d'onda
Location of settlements;Luogo di insediamenti
Sunspots;Macchie solari
Machines;Macchine
Magnetism - generally;Magnetismo - generalmente
Inherited diseases;malattie ereditarie
Mammal;Mammifero
Star chart;Mappa stellare
Maps & plans;Mappe e piani di
Sea ;Mare
Tides;Maree
Mass;Massa
Mass;Massa
Invariant mass ;Massa invariante
Dark matter;Materia oscura
Dark matter ;Materia oscura
Everyday materials;Materiali di uso quotidiano
Magnetic materials;Materiali magnetici
Grouping materials;Materiali Raggruppamento
Useful materials and products;materiali utili
Plastics/polymers;Materie plastiche / polimeri
Statistical mechanics;Meccanica statistica
Intergalactic medium;Medium intergalattico
Interstellar medium;Medium nterstellare
Metals - generally;Metalli - generalmente
Metals – generally;Metalli - generalmente
Alkali metals;Metalli alcalini
Transition metals;Metalli di transizione
Meteor;Meteore
Meteorite;Meteoriti
Meteorology ;Meteorologia
Microbiology ;Microbiologia
Microwaves;Microonde
Micro-organism ;Microrganismi
Microscope;Microscopio
Migration;Migrazione
Mineral ;Mineral
Minerals;Minerali
Mineralogy ;Mineralogia
Mining ;Miniere
Mixtures;Miscele
Mitosis;mitosi
Physical patterns;Modelli fisici
Human patterns;Modelli umani
Standard model ;Modello Standard
Molecules – generally;Molecole - generalmente
Moments;Momenti
Moment of inertia;Momento di inerzia
Mountain;Montagna
Mountain ;Montagna
Circular motion;Moto circolare
Rectilinear motion;Moto rettilineo
Electric motors;Motori elettrici
Natural population change;Movimento naturale della popolazione
Muscles;Muscoli
Brown dwarfs;Nane marroni
Nanotechnology;Nanotecnologie
Space ships;Nave spaziale
Nebula;Nebulosa
Planetary nebula;Nebulosa planetaria
Nerve;Nervi
North America;Nord America
Nucleus: protons, neutrons;Nuclei: protoni, neutroni
Nucleosynthesis;Nucleosintesi
Plant nutrition and growth;Nutrizione e crescita delle piante 
Nutrition and digestion - generally;Nutrizione e la digestione - in generale
Ocean ;Ocean
Oceania;Oceania
Ocean ;Oceano
Near-earth objects;Ogetti prossimi alla Terra
Kuiper belt objects;Oggetti della cintura di Kuiper
Oil ;Olio
Wave amplitude;Onda di ampiezza
Waves;onde
Density waves;Onde di densità
Longitudinal waves;Onde longitudinali
Radio waves;onde radio
Seismic waves;Onde sismiche
Transverse waves;Onde trasversali
Orbit;Orbite
Organs;Organi
Sources of resources;Origine delle risorse
Origin and evolution of the universe;Origini ed evoluzione dell'universo
Horology;Orologia
Oscillations;Oscillazioni
Observatories;Osservatori
Oxidation and reaction;Ossidazione e reazione
Obtaining and using materials;ottenere e usare elementi
Optics;Ottica
Ova;ovuli
Landscape;Paesaggio
Less economically developed countries;Paesi economicamente meno sviluppati
More economically developed countries;Paesi economicamente più sviluppati
European countries outside the European Union;Paesi europei al di fuori dell'Unione Europea
Palaeontology ;Paleontologia
Particle beam parameters ;Parametri di raggi di particelle
Parasite;Parassiti
National park ;Parco Nazionale
Higgs particle ;Particelle Higgs 
Pitch;Passo
Patterns in general;Patterns in generale
Patterns in reactions;Patterns in reazioni
Pendulum;Pendolo
Foucault pendulum;Pendolo di Foucault
Mass loss;Perdita di massa
Hazards & human responses;Pericoli & risposte umane
Tectonic hazards & human responses;Pericoli tettoniche e risposte umane
Period;Periodo
Phase;Periodo
Fish ;pesce
Planets;Pianeti  
Extrasolar planets;Pianeti extrasolari
Planning & management of resources;Pianificazione e gestione delle risorse
Plants;Piante
Flowering plants/parts of plants;piante da fiore / parti di piante
Plain ;Pianura
Acid rain ;piogge acide
Organic Polymers;Polimeri organici
Dust;Polvere
Population & resources;Popolazione e risorse
Port ;Porto
Potential;Potenziale
Pancreas;Ppancreas
Meadow;Prato
Pressure;Pressione
Atmospheric Pressure;Pressione atmosferica
Gas pressure and diffusion;Pressione del gas e la diffusione
First scientific revolution;Prima rivoluzione scientifica
Cell processes - generally;Processi cellulari - in generale
Life processes;Processi di vita
Physical processes;processi fisici
Geomorphological processes - general information;Processi geomorfologici - informazioni generali
Processes in general;Processi in generale
Tectonic processes;Processi tettonici
Human processes;Processi umani
Paper production;Produzione della carta
Ceramics production;Produzione di ceramica
Electricity generation/National Grid;produzione di elettricità / Rete nazionale
Wood production;Produzione di legno
Glass production;Produzioni di vetro
Projection;Proiezione
Properties of materials;Proprietà dei materiali
Properties of sound - generally;Proprietà del suono - generalmente
Properties of light - generally;Proprietà della luce - generalmente
Spatial properties;Proprietà spaziali
Environmental protection;Protezione ambientale
Puberty/adolescence;Pubertà / adolescenza
Pulsars;Pulsar
Melting/boiling points;Punto di fusione / punto di ebollizione
QCD, jets & gluons ;QCD, jet & gluoni 
Reference Frame;Quadro di riferimento
Quarks & hadrons ;Quark & Androni
Quasars;Quasar
Environmental issues;questioni ambientali
Topical geographical issues;Questioni geografiche topici
Radiation;Radiazione
Beta radiation;Radiazione Beta
Background radiation;Radiazione di fondo
Gamma radiation;Radiazione gamma
Synchrontron radiation ;Radiazione synchrontronica
Alpha radiation;Radiazioni alfa
Cosmic background radiation;Radiazioni cosmiche di sfondo
Root hair;radice dei capelli
Radioactivity;radioattività
Cosmic rays;Raggi cosmici
Rockets;Razzi
Chemical Reactions;Reazione chimica
Organic Reaction;Reazione organica
Reactions with metals;Reazioni con metalli
Displacement reactions;Reazioni di spostamento
Reversible reactions;Reazioni reversibili
Redshift;Redshift
HII region;Regione HII
Solar-terrestrial relations;Relazione Sole-Terra
Fossil record;reperti fossili
Supernova remnants;Residui di supernova
Air resistance;Resistenza dell'aria
Electrical resistance/conductivity;Resistenza elettrica / conducibilità
Mains electricity safety;Rete di sicurezza elettrica
Mains electricity - generally;Rete elettrica - in generale
Reptile;Rettile
Energy production and energy resources research;Ricerca su produzione dell'energia e risorse energetiche
Recycling ;Riciclaggio
Reflection;Riflessione
Refraction;Rifrazione
Detectors: CCD camera;Rilevatori: CCD
Reproduction;riproduzione
Asexual reproduction;riproduzione asessuata
Electrical heating and costs;Riscaldamento elettrico e costi
Hazards/geomorphological;Rischi / geomorfologici
Energy resources;Risorse energetiche
Fossil resources - generally;Risorse fossili - generalmente
Natural resources;Risorse naturali
Natural resources ;Risorse naturali
Detectors;Rivelatori
Robotics;Robotica
Rotation;Rotazione
Loudness;Rumore
Noise ;Rumore
Role of electrons in reactions;Ruolo deglii elettroni nelle reazioni
Human health: teeth;Salute: denti
Human health: smoking;Salute: fumo
Blood;Sangue
Satellites: artificial satellites;Satelliti: artificiali
Satellites: natural satellites;Satelliti: naturali
Global scale;Scala globale
International scale;Scala internazionale
Local scale;Scala locale
National scale;Scala nazionale
Regional scale;Scala regionale
Skeleton and muscles;Scheletro e muscoli
Earth science;Scienze della terra
Mining;Scienze Minerarie
Science: historical and contemporary examples;Scienze: esempi storici e contemporanei
Scientists and inventors;Scienziati ed inventori
Writing ad press;Scrittura e stampa
Second scientific revolution;Seconda rivoluzione scientifica
Seeds;Semi
Senses;sensi
Sensors;Sensori
Separation - other;Separazione - altro
Separation - generally;Separazione - generalmente
Main sequence;Sequenza principale
Reactivity series;Serie Reattività
Space-time symmetries ;Simmetrie spazio-temp
seismology;sismologia
Circulatory System;Sistema circolatorio
Endocrine System;Sistema endocrino
Nervous system ;Sistema nervoso
Reproductive system;Sistema riproduttivo
Solar system;Sistema solare
Sun;Sole
Solids, liquids and gases;solidi, liquidi, gas
Solubility;Solubilità
Light sources;Sorgenti luminose
Sound sources;Sorgenti sonore
Useful substances from rocks & minerals;Sostanze utili da rocce e minerali
Useful substances from rocks and minerals;Sostanze utili da rocce e minerali
Space-Time Information;Spazio-Tempo Informazioni
Endangered species;Specie in via di estinzione
Endangered species ;specie in via di estinzione
Sperm;sperma
Electromagnetic spectrum;Spettro elettromagnetico
Atomic Absorption Spectroscopy;Spettroscopia di assorbimento atomico
Seasons;Stagioni
States of matter;Stati della materia
Space stations;Stazione spaziale
Stars;Stelle
Binary stars;Stelle binarie
Neutron stars;Stelle di Neutroni
Variable stars;Stelle variabili
Stimulus and response;Stimolo e risposta
Stomach;Stomaco
History of Science and Technology;Storia della scienza e della tecnica
stratum;strato
Laboratory measuring instruments, including sensors and meters;Strumenti di misura di laboratorio, compresi i sensori e contatori
Musical instruments;Strumenti musicali
Nautical tools;Strumenti nautici
Tools for science;strumenti per la scienze
Atomic structure;Struttura atomica
Cell structure;struttura cellulare
Internal Structure;Struttura interna
South & Central America;Sud e Centro America
Sound;suono
Sound ;Suono
Supernova;Supernova
Supersymmetry ;Supersimmetria 
Surface;Surface
Development & quality of life;Sviluppo e qualità della vita
Taxonomy;tassonomia
Periodic table;Tavola periodica
Sound techniques;Tecniche del suono
Telecommunications;Telecomunicazioni
Temperature and heat;Temperatura e calore
Voltage;Tensione
Particle theory;Teoria delle particelle
Theory of relativity;Teorie della relatività
Thermodynamics;Termodinamica
Chemical Thermodynamics;Termodinamica Chimica
Thermometers;Termometri
Earth;Terra
Earthquakes;Terremoti
Textiles;Tessuti
Tissues;tessuti
Types of economic activity;Tipi di attività economica
Cell types – other;Tipi di cellule - altri
Cell types - generally;Tipi di cellule - in generale
Rock types;Tipi di roccia
Toxin;tossina
Transport (air, water and ground);Transporti (aria, acqua e terra)
Energy transfer and storage;Trasferimento di energia e di stoccaggio
Radiation transfer;Trasferimento di radiazione
Metal processing;Trasformazioni dei metalli
Spatial transformations;Trasformazioni spaziali
Information transmission, analogue and digital signals;Trasmissione di informazioni, analogici e segnali digitali
Transport and water in plants;Trasporti d'acqua in impianti
Transport of reactants/products;Trasporto di reagenti / prodotti
Environmental protection ;Tutela ambientale
Bird;uccello
Hearing: noise;Udito: Rumore
Ultrasound;Ultrasuoni
Ultraviolet;Ultraviolet
Humans and animals;Umani e animali
Combining forces;Unendo le forze
Unification ;Unificazione
European Union;Unione europea
Universe – generally;Universo
Inelastic collision;Urto anelastico
Elastic collision;Urto elastico
Uses of radioactivity, including radioactive dating;Usi di radioattività, tra cui datazione radioattiva
Land use;Uso del suolo
Variation – generally;Variazione - generalmente
Geographical variations in weather & climate;Variazioni geografiche nel tempo e clima
Variation, inheritance and evolution;Variazioni, eredità, evoluzione
Velocity;Velocità
Angular velocity;Velocità angolare
Wave speed;Velocità dell'onda
Escape velocity;Velocità di fuga
Reaction rates;Velocità di reazione
Speed in media;Velocità nei media
Galactic wind;Vento Cosmico
Vertebrate;vertebrati
Laboratory glassware;Vetreria di laboratorio
Milky Way;Via lattea
Vision;Vision
Lifecycle of products;Vita dei prodotti
Extraterrestrial life;Vita extraterreste
Space flight;Volo spaziale
Volcanoes;Vulcani
Volcano ;Vulcano
Zodiac;Zodiaco
Zoology ;Zoologia

