Social Studies;Studi sociali
Liberism;Liberismo
Libertarianism;Libertarismo
Linguistics;Linguistica
Urban space;Lo spazio urbano
Logo;Logo
Public opinion;L'opinione pubblica
Orality;L'oralità
Struggle;Lotta
Luxury;Lusso
Mourning;Lutto
Magic;Magia
Illness;Malattia
Sickness;Malattia
Man;Man
Brand;Marca
Marginality;Marginalità
Marxism;Marxismo
Male;Maschio
Mass;Mass
Material base;Materiale di base
Marriage;Matrimonio
Mechanisation;Meccanizzazione
Medicine, health and sickness ;Medicina, salute e malattia
Doctor;Medico
Melting pot;Melting pot
Method;Metodo
Method and Methodology;Metodo e Metodologia
Methodology;Metodologia
Middle-age;Mezza età
Mean of production;Mezzo di produzione
Migration;Migrazione
Commuting;Migrazione interna
Militia;Militia
Myth;Mito
Mythology;Mitologia
Mobbing;Mobbing
Mobility;Mobilità
Cultural Model;Modello culturale
Modernism;Modernismo
Modernization;Modernizzazione
Monarchy;Monarchia
Monogamy;Monogamia
Monster;Mostro
Movement;Movimento
Multiculturalism;Multiculturalismo
Mutilation;Mutilazione
Birth;Nascita
Nature;Natura
Naturalism;Naturalismo
Nation;Nazione
Nobility;Nobiltà
Name;Nome
Social Norm;Norma sociale
Honour;Onore
Worker;Operaio
Opinion;Opinione
Order;Ordine
Organization;Organizzazione
Organ;Organo
Hospital;Ospedale
Observation;Osservazione
Landscape;Paesaggio
Kinship;Parentela
Participant Observation;Partecipante osservazione
Heritage;Patrimonio
Heritage (Natural and Cultural);Patrimonio (naturale e culturale)
Patronage;Patrocinio
Person;Persona
People;Persone
Planning;Pianificazione
Polygamy;Poligamia
Policy;Politica
Politics;Politica
Police;Polizia
Popular;Popolare
Pornography;Pornografia
Possession;Possesso
Post-modernism;Post-modernismo
Power;Potenza
Pragmatism;Pragmatismo
Prejudice;Pregiudicare
Prestige;Prestige
Loan;Prestito
Primitive;Primitive
Commodity;Prodotto
Proletariat;Proletariato
Propaganda;Propaganda
Proxemics;Prossemica
Prostitution;Prostituzione
Psyche;Psiche
Psychology;Psicologia
Advertising;Pubblicità
Questionnaire;Questionario
Race;Race
Rationalism;Razionalismo
Rationality;Razionalità
Rationalization;Razionalizzazione
Ethnicity;Razza
Racism;Razzismo
Recession;Recessione
Relativism;Relativismo
Republic ;Repubblica
Visual research;Ricerca visiva
Reproduction;Riproduzione
Resources;Risorse
Rite;Rite
Rite of passage;Rito di passaggio
Revolution;Rivoluzione
Role;Ruolo
Sacred;Sacro
Health;Salute
Scar;Scar
Scarnification;Scarnification
Choice;Scelta
Slavery;Schiavitù
Administrative Sciences;Scienze Amministrative
Behavioural sciences;Scienze del comportamento
Educational Sciences;Scienze della Formazione
Legal Sciences;Scienze Giuridiche
Applied Social Sciences;Scienze Sociali Applicate
Death;Scomparsa
School of thought;Scuola di pensiero
Secret Society;Secret Society
Wild (-ness);Selvaggio (-ness)
Sexuality;Sessualità
Symbolism;Simbolismo
Symbol;Simbolo
Syncretism;Sincretismo
Syncretism ;Sincretismo
Unionism;Sindacalismo
Trade Union;Sindacato
Juridical System;Sistema giuridico
Membership;Soci
Corporation;Società
Society;Società
Society and its features;Società e le sue caratteristiche
Sociology;Sociologia
Money;Soldi
Survey;Sondaggio
Sport;Sport
Standard;Standard
State;Stato
Welfare state;Stato sociale
Fashion;Stile
Life-style;Stile di vita
Stratification;Stratificazione
Witchcraft;Stregoneria
Technics;Tecniche
Theory;Teoria
Cultural Theory;Teoria culturale
Theory,  Approach and Author ;Teoria, metodo e autore
Totemism;Totemismo
Tradition;Tradizione
Trauma;Trauma
Trend;Trend
Tribalism;Tribalismo
Tribe;Tribe
Universalism;Universalismo
Urbanism;Urbanistica
Old-age;Vecchiaia
Shame;Vergogna
Video-recording;Video-registrazione
Violence;Violenza
Life;Vita
Xenophobia;Xenofobia

