ICT;TIC
liquid crystal display panels;Painéis de cristal líquido
Memory;Memória
MIDI hardware;Hardware MIDI
Network;Rede
Output;Output
Printer;Impressora
Processor;Processador
Programmable toy;Brinquedo programável
Tape-recorders;Gravador
Video recorders;Gravador de vídeo
Voice/fax/data modems;Voz / fax / modem de dados
Software;Software
Computer application;Aplicação informática
Computer-assisted-instruction (CAI software);Aprendizagem assistida por computador (Software CAI)
Computer game;Jogo de computador
         Customer service;Atendimento ao cliente
         Operating system;Sistema operativo
Low level languages;Linguagem de programação de baixo nível
Assembler;Linguagem de  montagem (Assembly)
Machine language;Código de máquina
Mnemonics;Mnemônica
         High level programming languages;Linguagem de programação de alto nível
Open Source;Open Source
Programming;Programação
         Algorithm;Algoritmo
         Coding;Codificação
         Correction;Correcção
         Flow chart;Gráfico de fluxo
         Maintaining;Manutenção
         Planning;Planeamento
         Problem solving;Resolução de problemas
         Programm;Programa
Programming language;Linguagem de programação
                     Lexis;Lexis
                     Syntax;Sintaxe
                     Semantics;Semântica
         Pseudocode;Pseudocódigo
         Specification;Especificação
         Testing;Teste
Communication Environments;Ambientes de comunicação
File transfer protocol (FTP);File transfer protocol (FTP)
Infrared communications;Comunicação via infravermelho
Internet service providers;Prestadores de serviço de Internet
Local Area Network;Rede de Área Local
Video conferencing;Videoconferência
 Wide Area Information Servers (WAIS); Wide Area Information Servers (WAIS)
Wide Area Network;Wide Area Network
Digital Products;Produtos digitais
E-book readers & other gadgets;Leitores de E-book & outras aplicações
Working with cameras & video;Trabalho com câmaras & video
Working with mobile technology;Trabalho com tecnologia móvel
Games & gaming machines;Jogos & máquinas de jogos
Internet based entertainment;Entretenimento baseado na internet
Latest digital products;Últimos trabalhos digitais
Graphics and sounds;Gráficos e sons
Communicating;Comunicando
Character;Personagem
Diagrams;Diagramas
Fantasy;Fantasia
Graphics;Gráficos
Sound;Soum
Images;Imagens
Maps and plans;Mapas e planos
Patterns;Padrões
Impact of ICT;Impacto das TIC
Advantages & disadvantages;Vantagens e desvantagens
Future developments;Desenvolvimentos futuros
What if scenarios, ICT in action;Cenários "What if", TIC em ação
Impact of IT on communications;Impacto das TIC nas comunicações
Reliance on ICT & risk assessment;Confiança nas TIC & avaliação de risco
Media;Media
Animation;Animação
Audio;Audio
Blu-Ray;Blu-Ray
CD-ROM;CD-ROM
DVD-ROM;DVD-ROM
E-mail;Correio electrónico (E-mail)
Internet;Internet
Web development;Desenvolvimento da Web
AJAX;AJAX
CSS;CSS
HTML;HTML
Java;Java
JavaScript;JavaScript
jQuery;jQuery
PHP;PHP
Web 2.0 tools;Web 2.0 Tools
Web technologies;Tecnologias da Web
Social networking;Redes Sociais
Multimedia;Multimedia
Hypermedia;Hypermedia
Interactive material;Material Interactivo
Media library;Mediateca
Podcast;Podcast
Printout;Cópia de Impressão
Screen;Ecrã
Screencast;Screencast
Video;Video
Website;Sítio (Website)
Presentation;Apresentação
Digital presentations;Apresentações Digitais
Newsletter, poster, flyer production;Newsletter, cartaz, panfleto
Presentation of information & data;Apresentação de informações e dados
Presentation software;Software de apresentação
Processing text & images;Processamento de texto & imagens
Contextualised use of text/image processing;Utilização contextualizada do texto / processamento de imagem
Desktop publishing software;Software de edição eletrónica
Word processing software;Software de processamento de texto
Creating & editing images;Criação e edição de imagens
Using images & text;Uso de texto e imagens
Public information systems;Sistemas públicos de Informação
Informational website design;Design de site informativo
Interactive digital display design;Design de exibição digital interactiva
Interpretation of data;Interpretação de dados
Structure of systems;Estrutura de Sistemas
Publishing on the web;Publicação na Web
Security, accuracy & plagiarism;Securança, precisão e plágio
Terminology;Terminologia
Understanding of audience;Compreensão da audiência
Website design features;Caractarísticas de design de sites
Creating websites;Criação de websites
Understanding of terminology;Compreensão da terminologia
Uploading websites;Carregamento de websites
Security;Segurança
Access Control;Controlo de Acesso
Access Control List;Lista de Controlo de Acesso
Access Rights;Direitos de Acesso
Anti-Virus Program;Programa Anti-Vírus
Awareness-raising activities;Actividades de sensibilização
Combating ICT & IT crime;Combate ao crime das TIC e TI's
Copyright;Direitos de autor (Copyright)
Cryptography;Criptografia
Cyberbullying;Intimidação virtual
Data Encryption;Criptografia de dados
Data Security;Segurança de dados
Health & safety legislation;Legislação de Segurança & Saúde
Identity Hacking;Identidade dos piratas informáticos (hackers)
Information Owner;Informações do proprietário
Information Security Guidelines/Policy/Plan/Risk Assessment;Diretrizes de Segurança da Informação / Política /Plano / Avaliação de Risco
Security, password selection & protection;Segurança, seleção da palavra passe & proteção
Malicious code;Código Malicioso
Malware;Malware
Virus;Vírus
Trojan;Cavalo de Troia (Trojan)
Spam;Spam
Privacy and personal information;Privacidade e informação pessoal
Recognising issues of risk, safety and responsibility surrounding the use of ICT;Reconhecimento dass questões de risco, segurança e responsabilidade em torno do uso das TIC
Safe searching;Pesquisa segura
Security Administrator;Administrador de Segurança
Security Breach/Incident;Incidente / Violação da segurança
Security for Electronic Transaction - SET;Transação electrónica Segura - SET
Systems;Sistemas
Benefits & problems;Benefícios e problemas
Input & output devices;Aparelhos de input & output
Simple networking;Rede simples
Storage devices;Dispositivos de armazenamento
Understanding of hardware and software;Compreensão de hardware e software
The Internet: searching and interpreting;A Internet: pesquisa e interpretação
Interpreting information;Interpretação da informação
Reading for information;Ler para obter informação
Search;Pesquisa
Use & misuse of data;Uso & mau uso dos dados
Local data collection & holding;Recolha e obtenção de dados locais
Data protection act;Lei de Protecção de Dados
Identification theft;Roubo de identificação
Misuse of data;Uso indevido de dados
Confidentiality issues;Questões de confidencialidade
Hacking;Hacking
Password security;Palavra-passe de segurança
Using ICT;Uso das TIC
Everyday use;Uso diário
History & development of ICT;História e desenvolvimento das TIC
ICT & me;TIC & eu
ICT in society;TIC na sociedade
Systems in context;Sistemas em contexto
Building computers & networks;Construção de computadores e redes
Critical evaluation;Avaliação crítica
Recognising that information must be analysed and evaluated for its purpose, author, currency and context;Reconhecer que as informações devem ser analisadas e avaliadas para o propósito, autor,  moeda e contexto
Reviewing and reflecting critically on what people produce using ICT;Rever e refletir criticamente sobre o que as pessoas produzem utilizando as TIC
Select and use ICT tools and techniques appropriately, safely and efficiently;Selecionar e utilizar ferramentas e técnicas das TIC de forma adequada, segura e eficiente
Finding things out;Descobrindo coisas
Asking questions & querying data;Fazer perguntas e consulta de dados
Basic computer usage and possibilities;Uso básico do computador e possibilidades
Communication;Comunicação
Information ;Informação
Creating database;Criando bases de dados
Entering data;Inserindo dados
Information;Informação
Collecting information;Recolha de informação
Information network;Rede de informação
Information processing;Processamento de informação
Cataloguing;Catalogação
Documentiation;Documentação
Information skills;Competências de informação
Archive;Arquivo
Library;Biblioteca
Information system;Sistema de informação
Interoperabiloty;Interoperabilidade
Retrieving information that has been stored;Recuperação de informações que foi armazenada
Reference material;Material de referência
Bibliography;Bibliografia
Dictionary;Dicionário
Information source;Fonte de informação
Teaching materials;Materiais de ensino
Vocabulary;Vocabulário
Functional skills;Competências funcionais
Internet searching;Pesquisa na Internet
Using IT safely;Uso seguro das TIC
Using applications;Uso de aplicações
Stepping back from ICT;Recuando das TIC
Applying ICT in other contexts;Aplicando as TIC noutros contextos
New technologies & tools;Novas tecnologias & ferramentas
Reflecting on ICT in society;Refletindo sobre as TIC na sociedade
ICT opportunities;Oportunidades das TIC
Collaboration;Colaboração
Collate, analyse & evaluate information/data using ICT;Confrontar, analisar & avaliar informação / uso de dados das TIC
Combining software tools to produce a system;Combinando ferramentas de software para produzir um sistema
Computer literacy;Conhecimentos de informática
Digital citizens;Cidadãos digitais
Digital literacy;Literacia digital
Draft/manipulate information/data using ICT;Elaborar / manipular a informação / dados que utilizam as TIC
Information literacy;Literacia da informação
Interpret information;Interpretação da informação
Media literacy;Literacia dos media
Online identity;Identidade online
Present work effectively;Apresentação do trabalho eficazmente
Record information/data using ICT;Informação registada / dados que utilizam as TIC
Research a problem using ICT;Pesquisa de problemas usando as TIC
Select from and add to information for particular purposes;Selecionar e adicionar a informação para fins particulares
Share ideas;Partilhar ideias
Use text, tables, images and sound to develop ideas;Uso de texto, tabelas, imagens e som para desenvolver ideias
Working independently;Trabalho independente
Technology;Tecnologia
Artificial intelligence;Inteligência Artificial
Robotics;Robótica
Automation;Automação
Biotechnology;Biotecnologia
Computer science;Ciência da Computação
Control technology;Controlo da tecnologia
Design;Design
Engineering;Engenharia
Security technology;Tecnologia da segurança
History of technology;História da tecnologia
Technological change;Mudança tecnológica
Technological education;Educação tecnológica
Virtual reality;Realidade virtual
Augmented Reality;Realidade aumentad
