Science;Ciências
Carbon and nitrogen cycles;Ciclos do carbono e do nitrogénio
Energy and ecosystems;Energia e ecossistemas
Food as fuel;Comida como combustível
Food chains and webs;Cadeias e redes alimentares
Organic Agriculture;Agricultura biológica
Organic Biology;Biologia Orgânica
Botany;Botânica
Plants;Plantas
Flowering plants/parts of plants;Plantas com flores / partes das plantas 
Flower;Flor
Fruit;Fruto
Gardening;Jardinagem
Leaf;Folha
Life cycle;Ciclo de vida
Parasite;Parasita
Photosynthesis;Fotossíntese
Plant nutrition and growth;Nutrição e crescimento das plantas
Seeds;Sementes
Transport and water in plants;Transporte de água nas plantas
Tree; Árvore
Anatomy;Anatomia
Brain;Cérebro
Blood;Sangue
Blood vessels;Vasos sanguíneos
Cardiovascular;Cardiovascular
Circulatory System;Sistema circulatório
Digestive System;Sistema digestivo
Endocrine System;Sistema endócrino
Heart;Coração
Integumentary System;Sistema tegumentar
Liver;Fígado
Muscles;Músculos
Nerve;Nervo
Nervous system ;Sistema nervoso
Organs; Órgãos
Pancreas;Pâncreas
Skeleton and muscles;Esqueleto e músculos
Stomach;Estômago
Reproductive system;Sistema reprodutor
Teeth;Dentes
Tongue;Língua
Humans and animals;Humanos e animais
Animal;Animal
Amphibian;Anfíbio
Arachnid;Aracnídeo
Bird;Pássaro
Breeding;Criação
Domestic animal;Animal doméstico
Endangered species ;Espécies em vias de extinção
Fish ;Peixe
Fishery;Pesca
Food chain;Cadeia alimentar
Genetic engineering;Engenharia genética
Genetics;Genética
Genome;Genoma
Human health: smoking;Saúde humana: o tabagismo
Human health: teeth;Saúde humana: os dentes
Insulin;Insulina
Insect;Inseto
Invertebrate;Invertebrado
Mammal;Mamífero
Menstrual cycle;Ciclo menstrual
Microbiology ;Microbiologia
Micro-organism ;Micro-organismo
Nutrition and digestion - generally;Nutrição e digestão - generalidades
Puberty/adolescence;Puberdade/adolescência
Reproduction;Reprodução
Reptile;Réptil
Senses;Sentidos
Stimulus and response;Estímulo e resposta
Stomach acid and bile; Ácido estomacal e bílis
Transport of reactants/products;Transporte de reagentes/produtos
Vertebrate;Vertebrado
wild animal ;Animal selvagem
Life processes;Vida
Biotechnology;Biotecnologia
Cell processes - generally;Processos celulares - generalidades
Cell structure;Estrutura celular
Cell types - generally;Tipos de células - generalidades
Cell types – other;Tipos de células - outros
Chromosomes;Cromossomas
Epithelial;Epitelial
Fertilisation;Fertilização
Luminescent;Luminescente
Meiosis;Meiose
Mitosis;Mitose
Ova;Óvulos
Root hair;Raiz do cabelo
Sperm;Esperma
Toxin;Toxina
Tissues;Tecidos
Variation, inheritance and evolution;Variação, hereditariedade e evolução
Asexual reproduction;Reprodução assexuada
Classification/keys;Classificação/chaves
Cloning, selective breeding and genetic engineering;Clonagem, reprodução seletiva e engenharia genética
Darwin;Darwin
Dinosaur;Dinossauro
DNA;ADN
Environmental causes of variation;Causas ambientais da variação
Evolution - generally;Evolução - generalidades
Extinction;Extinção
Fossil record;Registo fóssil
Genetic causes of variation and mutation;Causas genéticas de variação e mutação
Inheritance - generally;Hereditariedade - generalidades
Inherited diseases;Doenças hereditárias
Monohybrid inheritance;Hereditariedade de monohíbridos
Sex determination;Determinação sexual
Taxonomy;Taxonomia
Variation – generally;Variação - generalidades
Chemistry;Química
Physical chemistry;Química-Física
Chemical Thermodynamics;Termodinâmica Química
Chemical Kinetics;Cinética Química
Quantum Chemistry;Química Quântica
Statistical mechanics;Mecânica estatística
Electrochemistry;Eletroquímica
Solid State Chemistry;Química do estado sólido
 Material Science;Ciência dos Materiais
Plastics/polymers;Plásticos /Polímeros
 Analytical Chemistry;Química analítica
Atomic structure;Estrutura atómica
Atomic Absorption Spectroscopy;Espetroscopia de absorção atómica
Atoms – generally;Átomos - generalidades
Bonding – generally;Ligação química - generalidades
Chromatography;Cromatografia
Covalent bonds;Ligações covalentes
Electrons – generally;Eletrões - generalidades
Ionic bonds;Ligações iónicas
Molecules – generally;Moléculas - generalidades
Nucleus: protons, neutrons;Núcleo: protões, neutrões
Other types of bonding;Outros tipos de ligações químicas
Role of electrons in reactions;Papel dos eletrões nas reações
Chemical Reactions;Reações Químicas
Burning;Combustão
Chemical changes;Alterações químicas
Physical changes;Alterações físicas
Solubility;Solubilidade
Water cycle;Ciclo da água
States of matter;Estados físicos da matéria
Acids, alkalis and bases; Ácidos, álcalis e bases
Conservation of mass;Conservação de massa
Displacement reactions;Reações de substituição
Enzymes;Enzimas
Equations and formulae;Equações e fórmulas químicas
Exo/endothermic;Exo/endotérmico
Oxidation and reaction;Reações e oxidação
Patterns in reactions;Tipos de reações químicas
Reaction rates;Velocidades de reação 
Reactions with metals;Reações com os metais
Reactivity series;Séries de reatividade
Reversible reactions;Reações reversíveis
Thermal decomposition;Decomposição térmica (Pirólise)
Inorganic chemistry ;Química inorgânica
Alkali metals;Metais alcalinos
Catalysts;Catalisadores
Compounds - generally;Compostos - generalidades
Distillation;Destilação
Extraction of metal from ore;Extração de metais a partir de minérios
Elements;Elementos 
Electrolysis;Eletrólise
Filtration;Filtração
Halogens;Halogéneos
Mixtures;Misturas
Minerals;Minerais
Metals – generally;Metais - generalidades
Metal complexes;Complexos metálicos
Useful substances from rocks & minerals;Substâncias úteis a partir de rochas e minerais
Periodic table;Tabela Periódica
Separation - generally;Separação - generalidades
Separation - other;Separação - outros
Transition metals;Metais de transição
Organic chemistry; Química orgânica
Aliphatic Compounds;Compostos alifáticos
Aromatic Compounds;Compostos aromáticos
Carbon;Carbono
Fossil resources - generally;Recursos fósseis - generalidades
Fossil fuels;Combustíveis fósseis
Heterocyclic Compounds;Compostos Heterocíclicos
Hydrocarbons;Hidrocarbonetos
Organic Polymers;Polímeros orgânicos
Organic Reaction;Reação orgânica
Environmental Education;EducaçãoAmbiental
Climate ; Clima
Climatic phenomenon ;Fenómenos climáticos
Meteorology ;Meteorologia
Energy ;Energia
Electrical energy ;Energia elétrica
Electricity ;Eletricidade
Hydroelectric power plant ;Central hidroelétrica
Nuclear energy ;Energia nuclear
Nuclear physics;Física nuclear
Nuclear power plant ;Central nuclear
Renewable energy ;Energia renovável
Natural resources ;Recursos naturais
Environment ;Ambiente
Geophysical environment;Ambiente geofísico
Desert ;Deserto 
Forest ;Floresta
Forestry;Florestal
Wood ;Madeira
Island ;Ilha
Lake ;Lago
Meadow;Prado
Mountain ;Montanha
Ocean ;Oceano
Sea ;Mar
Plain ;Planície
Port ;Porto
Volcano ;Vulcão
Watercourse ;Curso de água
Water ;Água
Ecosystem ;Ecossistema
Biotope;Biótipo
Environmental education ;Educação ambiental
Environmental protection ;Proteção ambiental
Landscape;Paisagem
Garden;Jardim
Natural resources;Recursos naturais
Environmental protection; Proteção ambiental
Ecology ;Ecologia 
Education for sustainable development ;Educação para o desenvolvimento sustentável
Endangered species;Espécies em vias de extinção
Botany ;Botânica
Zoology ;Zoologia
National park ;Parque nacional
Pollution ;Poluição
Acid rain ;Chuva ácida
Ecology ;Ecologia
Greenhouse effect ;Efeito de estufa
Noise ;Ruído
Sound ;Som
Waste management ;Gestão de resíduos
Recycling ;Reciclagem
Oil ;Petróleo
Water ; Água
Drinking water;Água potável
Watercourse;Curso de água
Environment;Ambiente
Mining ;Mineração
Renewable energy;Energia renovável
Geography and Earth Science;Geografia e Ciências da Terra
Geography;Geografia
Africa;África
Antarctica;Antártica
Asia; Ásia
Atlases;Atlas
Biomes;Biomas
Changes in distribution of economic activity & their impact;Mudanças na distribuição da atividade económica e seu impacto
Cape;Cabo
Classifications of economic activity;Classificação da atividade económica
Climate;Clima
Climatic influences on ecosystems;Influências climáticas nos ecossistemas 
Coasts;Costas
Conflicting demands on environments;Conflitos ambientais
Deposition;Deposição
Development & quality of life;Desenvolvimento e qualidade de vida
Differences in development between countries;Diferenças de desenvolvimento entre países
Differences in development within countries;Diferenças de desenvolvimento dentro dos países
Dynamic Shape;Formas dinâmicas
Earthquakes;Sismos
Ecosystems;Ecossistemas
Effects of resource use;Efeito do uso dos recursos
Environmental issues;Questões ambientais
Erosion;Erosão
European countries outside the European Union;Países europeus fora da União Europeia 
European Union;União Europeia
Factors influencing development;Fatores que influenciam o desenvolvimento
Geographical distribution of economic activity;Distribuição geográfica da atividade económica
Geographical variations in weather & climate;Variações geográficas no clima
Geomorphological processes - general information;Processos geomorfológicos - informação geral
GIS;SIG
Global distribution of tectonic activity;Distribuição global da atividade tectónica
Global scale;Escala global
Globes;Globos
Goods & services;Bens e serviços
Hazards/geomorphological;Riscos/geomorfológicos
Hazards & human responses;Riscos e respostas humanas
Human influences on ecosystems;Influências humanas sobre os ecossistemas
Human patterns;Padrões humanos
Human processes;Processos humanos
Internal Structure;Estrutura interna
International scale;Escala internacional
Land use;Uso do solo
Landforms;Relevos
Less economically developed countries;Países economicamente menos desenvolvidos 
Local scale;Escala local
Location of settlements;Localização de povoamentos
Maps & plans;Mapas e plantas
Migration;Migração
More economically developed countries;Países economicamente mais desenvolvidos 
Mountain;Montanha
National scale;Escala Nacional
Natural population change;Alteração demográfica da população
North America;América do Norte
Oceania;Oceânia
Other geomorphological processes;Outros processos geomorfológicos
Other influences on ecosystems;Outras influências nos ecossistemas
Patterns in general;Padrões - generalidades
Physical patterns;Modelos físicos
Physical processes;Processos físicos
Planning & management of resources;Planeamento e gestão de recursos
Population & resources;População e recursos
Population change;Alterações demográficas
Population distribution;Distribuição da população
Processes in general;Processos - generalidades
Projection;Projeção
Regional scale;Escala regional
Rivers;Rios
Rock types;Tipos de rochas
Rural settlements;Povoamentos rurais
Satellite images;Imagens de satélite
Settlements: change;Povoamentos: alterações
Settlements: size/character/function;Povoamentos: tamanho/caráter/função
Soil influences on ecosystems;Influência do solo nos ecossistemas
Sources of resources;Fontes de recursos
South & Central America;América Central e do Sul 
Space-Time Information;Informação espaço - tempo
Spatial information;Informação espacial
Spatial properties;Propriedades espaciais
Spatial interactions;Interações espaciais
Spatial interpolation;Interpolação espacial
Spatial transformations;Transformações espaciais
Supply of resources;Fornecimento de recursos
Surface;Superfície
Tectonic hazards & human responses;Riscos tectónicos e respostas humanas
Tectonic processes;Processos tectónicos
Topical geographical issues;Questões de geografia tópica
Types of economic activity;Tipos de atividade económica
Urban settlements;Povoamentos urbanos
Volcanoes;Vulcões
Water; Água
Water, landscapes & people - general information;Água, paisagens e os povos - informação geral
Weather;Meteorologia
Weathering;Intempéries
Earth science;Ciências da Terra
acid rain ;Chuvas ácidas
air ;Ar
atmospheric phenomenon ;Fenómenos atmosféricos
cartography;Cartografia
Catastrophe ;Catástrofe
climate;Clima 
Climate;Climático
Climatic phenomenon ;Fenómeno climático
exploration of the earth ;Exploração da terra
Explorer;Explorador
fossil ;Fóssil
geological phenomenon ;Fenómeno geológico
geology ;Geologia
geomorphologic phenomenon ;Fenómeno geomorfológico
 Mass;Massa
Mineral ;Mineral
Mineralogy ;Mineralogia
Natural phenomenon ;Fenómeno natural
Palaeontology ;Paleontologia
Reference Frame;Estrutura de referência
regional geography ;Geografia regional
regional language ;Idioma regional
seismology;Sismologia
social geography ;Geografia social
Spatial heterogeneity;Heterogeneidade espacial
stratum;Estrato
Physics;Física
Electricity and magnetism;Eletricidade e magnetismo
AC/DC;CA/CC
Ampere's law;Lei de Ampere
Charge;Carga
Circuits - generally;Circuitos - generalidades
Components in circuits: batteries, etc;Componentes nos circuitos: pilhas, etc.
Coulomb law;Lei de Coulomb
Domestic appliances;Eletrodomésticos
Electric charge - generally;Carga elétrica - generalidades
Electric current;Corrente elétrica
Electric motors;Motores elétricos
Electrical heating and costs;Aquecimento elétrico e custos
Electrical quantities - generally;Grandezas elétricas - generalidades
Electrical resistance/conductivity;Resistência elétrica / condutividade
Electricity generation/National Grid;Produção de eletricidade/Rede elétrica nacional
Electromagnetism - generally;Eletromagnetismo - generalidades
Electrostatic forces;Forças eletrostáticas
Electrostatic phenomena and uses;Fenómenos eletrostáticos e aplicações
Generators and transformers;Geradores e transformadores
Magnetic materials;Materiais magnéticos
Magnetism - generally;Magnetismo - generalidades
Mains electricity - generally;Rede elétrica - generalidades
Mains electricity safety;Segurança da rede elétrica
Maxwell's equations;Equações de Maxwell
Parallel circuits;Circuitos em paralelo
Series circuits;Circuitos em série
Voltage;Tensão
Energy;Energia
Conduction, convection and evaporation;Condução, convecção e evaporação
Conservation and dissipation;Conservação e dissipação
Energy - using electricity;Energia - usando eletricidade 
Energy resources;Recursos energéticos
Energy transfer and storage;Transferência e armazenamento de energia
Internal Energy;Energia interna
Kinetic energy;Energia cinética
Potential energy;Energia potencial
Radiation;Radiação
Radiation transfer;Transferência de radiação
Temperature and heat;Calor e temperatura
Thermodynamics;Termodinâmica
Work and power;Trabalho e potência
Fields;Campos
Central field;Campo central
Conservative force field;Campo de forças conservativas
Electric field;Campo elétrico
Electromagnetic field;Campo eletromagnético
Gravitational field;Campo gravítico
Magnetic field;Campo magnético
Potential;Potencial
Forces and motion;Forças e movimento
Acceleration;Aceleração
Air resistance;Resistência do ar
Atmospheric Pressure;Pressão atmosférica
Angular acceleration;Aceleração angular
Angular velocity;Velocidade angular
Centre of mass;Centro de massa
Circular motion;Movimento circular
Collision;Colisão
Combining forces;Composição de forças
Conservation of momentum;Conservação do momento
Elastic collision;Colisão elástica
Electric force;Força elétrica
Escape velocity;Velocidade de escape 
Foucault pendulum;Pêndulo de Foucault
Friction;Atrito
Gravitational force and gravity;Força gravitacional e gravidade
Horizontal throw;Lançamento horizontal
Impulse;Impulso
Inelastic collision;Colisão inelástica
Inertia;Inércia
Kepler's laws;Leis de Kepler
Lorentz force;Força de Lorentz
Machines;Máquinas
Magnetic force;Força magnética
Mass;Massa
Moment of inertia;Momento de inércia
Moments;Momentos
Newton's laws;Leis de Newton
Nuclear force;Força nuclear
Oscillations;Oscilações
Pendulum;Pêndulo
Period;Período
Phase;Fase
Pressure;Pressão
Rectilinear motion;Movimento retilíneo
Rigid body;Corpo rígido
Rotation;Rotação
Universal law of gravitation;Lei da Gravitação Universal
Velocity;Velocidade
Vertical throw;Lançamento vertical
Weight;Peso
Light;Luz
Colour;Cor
Light sources;Fontes de luz
Properties of light - generally;Propriedades da luz - generalidades
Reflection;Reflexão
Refraction;Refração
Refraction index; Índice de refração
Vision;Visão
Obtaining and using materials;Obtenção e utilização de materiais
Extraction of metal from ore;Extração de metais a partir de minério
Metals - generally;Metais - generalidades 
Nitrogenous fertilizers;Fertilizantes azotados
Plastics/polymers;Plásticos/Polímeros
Useful substances from rocks and minerals;Substâncias úteis em rochas e minerais
Radioactivity;Radioatividade
Alpha radiation;Radiação alfa
Background radiation;Radiação de fundo
Beta radiation;Radiação beta
Gamma radiation;Radiação Gama
Half-life;Período de semidesintegração ou tempo de meia-vida
Nuclear decay;Decaimento nuclear
Nuclear fission;Fissão nuclear
Nuclear fusion;Fusão nuclear
Uses of radioactivity, including radioactive dating;Utilizações da radioatividade, incluindo a datação radioativa
Solids, liquids and gases;Sólidos, líquidos e gases
 Adiabatic;Adiabático
Changes of state;Mudanças de estado
Density;Densidade
 Entropy;Entropia
 Isovolumetric ;Isocórico ou isovolúmico
 Isothermal;Isotérmico
 Laws of Thermodynamics;Leis da Termodinâmica
Gas pressure and diffusion;Pressão gasosa e difusão
Grouping materials;Agrupando materiais
Melting/boiling points;Pontos de fusão/ebulição
Particle theory;Teoria cinética
Properties of materials;Propriedades dos materiais
 Thermodynamic Cycle;Ciclo termodinâmico
Sound;Som
Audible ranges;Gamas audíveis
Hearing - generally;Audição - generalidades
Hearing: noise;Audição: ruído
Loudness;Intensidade sonora
Pitch;Altura do som
Properties of sound - generally;Propriedades do som - generalidades
Sound sources;Fontes sonoras
Speed in media;Velocidade do som num meio
The ear;O ouvido
Ultrasound;Ultrassom
Tools for science;Instrumentos para a Ciência
Accelerometers;Acelerómetros
 Accelerators;Aceleradores
 Analysis Tools;Ferramentas de análise
Detectors;Detetores
Detectors: CCD camera;Detetores: câmara CCD
Dynamometers;Dinamómetros
Fieldwork equipment;Equipamento para trabalho de campo
Laboratory equipment – generally;Equipamento de laboratório - generalidades
Laboratory glassware;Material de vidro para laboratório
Laboratory measuring instruments, including sensors and meters;Instrumentos de medida para laboratório, incluindo sensores e contadores
Microscope;Microscópio
Observatories;Observatórios
 Online Laboratories;Laboratórios on-line
 Remote Laboratories;Laboratórios remotos
Sensors;Sensores
Thermometers;Termómetros
Useful materials and products;Materiais e produtos utilisáveis
Everyday materials;Materiais do quotidiano
Waves; Ondas
Diffraction;Difração
Doppler effect;Efeito Doppler
Electromagnetic spectrum;Espectro eletromagnético
Gamma rays;Raios gama
Information transmission, analogue and digital signals;Transmissão de informação, sinais analógicos e digitais
Infrared;Infravermelho
Longitudinal waves;Ondas longitudinais
Microwaves;Micro-ondas
Optics; Ótica
Radio waves;Ondas de rádio
Seismic waves;Ondas sísmicas
Transverse waves;Ondas transversais
Ultraviolet;Ultravioleta
Visible light;Luz visível
Wave amplitude;Amplitude da onda
Wave characteristics - generally;Características das ondas - generalidades
Wave frequency;Frequência da onda
Wave speed;Velocidade da onda
Wavelength;Comprimento de onda
X-rays;Raios-X
Technological applications;Aplicações tecnológicas
Horology;Horologia
Industrial devices;Aparelhos industriais
Lifecycle of products;Ciclo de vida dos produtos
Energy production and energy resources research;Investigação em produção de energia e recursos energéticos
Musical instruments;Instrumentos musicais
Nanotechnology;Nanotecnologia
Photography and cinematography;Fotografia e cinema
Robotics;Robótica
Sound techniques;Técnicas de som
Telecommunications;Telecomunicações
Transport (air, water and ground);Transporte (ar, água e terra)
Writing ad press;Escrita e imprensa
Metal processing;Processamento de metais
Paper production;Produção de papel
Textiles;Têxteis
Pharmaceutics;Farmacêutica
Mining;Mineração
Nautical tools;Instrumentos náuticos
Glass production;Produção de vidro
Ceramics production;Produção de cerâmica
Wood production;Produção de madeira
History of Science and Technology;História daCiência e da Tecnologia
Scientists and inventors;Cientistas e inventores
First scientific revolution;Primeira revolução científica
Second scientific revolution;Segunda revolução científica
Science: historical and contemporary examples;Ciência: exemplos históricos e contemporâneos
High Energy Physics;Física de altas energias
Accelerators & beams ;Aceleradores e feixes
Antimatter ;Antimatéria
Calorimeters ;Calorímetros
Charged particle acceleration ;Aceleração de partículas carregadas
Coupled Motion dynamics ;Dinâmica de sistemas acoplados
Dark matter ;Matéria escura
Free electron lasers;Lasers de eletrões livres
Grand unification ;Teoria da Grande Unificação
Higgs particle ;Partícula de Higgs
Invariant mass ;Massa de repouso
Leptons ;Leptões
Particle beam parameters ;Parâmetros do feixe de partículas
Particle cosmology ;Física de partículas e Cosmologia 
Particle detectors ;Detetores de partículas
Particle dynamics ;Dinâmica de partículas
Particle interactions with matter ;Interações de partículas com a matéria
Physical constants ;Constantes físicas
QCD, jets & gluons ;Cromodinâmica Quântica (CDQ), jatos e gluões
Quarks & hadrons ;Quarks e hadrões
Space-time symmetries ;Simetrias espaço-tempo
Standard model ;Modelo padrão
Supersymmetry ;Supersimetria
Synchrontron radiation ;Radiação de sincrotrão
Weak interactions: electroweak ;Interações fracas: eletrofraca
Unification ;Unificação
Weak interactions: quarks & leptons;Interações fracas: quarks e leptões
