Mathematics;Matemática
Upper bound;limite superior
x coordinate of point;abcissa de um ponto
y-coordinate of point;ordenada de um ponto
Measurement;Medida
Number Concepts;Conceitos sobre números
Patterns and Sequences;Padrões e sequências
Statistics and Probability;Estatística e Probabilidades
Data analysis;Análise de dados
Absolute frequency;frequência absoluta
Central tendency measure;medida de tendência central
Common frequency;Frequência comum
Complex event;acontecimento composto
Conditional probability;probabilidade condicionada
Continuous random variable;variável continua aleatória
Cumulative frequency;frequência acumulada
Data;dados
Data collect;recolha de dados
Discrete random variable;variável discreta aleatória
Event;acontecimento
Frequencies;frequências
Hypothesis;hipótese
Laplace rule;regra de Laplace
Mean;média
Median-number;mediana
Modal class;classe modal
Mode;moda
Probability;probabilidade
Probability density;densidade de probabilidade
Probability distribution;distribuição de probabilidades
Quartile;quartil
Random process;processo aleatório
Random sample;amostra aleatória
Random sampling;amostragem aleatória
Random variable;variável aleatória
Relative frequency;frequência relativa
Representativity;representatividade
Sample;amostra
Sample space;espaço amostral
Simple event;acontecimento elementar
Spread;dispersão
Standard deviation;desvio padrão
Statistical analysis;análise estatística
Statistical data;dados estatísticos
Statistical range;amplitude estatística
Statistics;estatística
Summary statistics;sumário das estatísticas
Variability;variabilidade
Variability measure;medida da variabilidade
Randomness;Aleatoriedade
Topic from Subjects;Tópico de assuntos
Affine function;função afim
Bisector-Plane;plano bissetor
Box plot;gráfico de caixa e bigodes
Circle of latitude;paralelo geográfico
Concave Function;função côncava
Construction of a plot;construção de um traçado de curvas 
Continuous random variable;variável contínua aleatória
Convex Function;função convexa
Convexity;convexidade
Counterexample;contraexemplo
Cumulative frequency;frequência acumuladas
Cumulative frequency diagram;diagrama de frequências acumuladas
Dependency relation;relação de dependência
Derivative;derivada
Domain and range;domínio e variação
Experiments;experiência
Exponential function;função exponencial
Formula;fórmula
Formula of a function;fórmula de uma função
Function;função
Function attribute;atributo
Function plot features;características do gráfico de dados
Function Plotter;"traçador" do gráfico de função
Gradient Vector;vetor gradiente
Hyperbolic function;função hiperbólica
Increasing and decreasing;aumento e diminuição
Integer;inteiro (número)
Intersections with the axis;interseção com os eixos
Inverse proportionality function;função de proporcionalidade inversa
Linear function;função linear
Linear model;modelo linear
Linear Rational Function;função linear racional
Local and global description of a plot;descrição local e geral de um traçado 
Logarithmic function;função logarítmica
Maxima and minima;máximos e mínimos
Mean variation ratio of a function in an interval;razão de variação média de uma função num intervalo
Nonlinear model;modelo não linear
Outlier;outlier
Piecewise-function;função definida por ramos
Pigeonhole Principle;princípio da gaiola de pombos
Plots;traçados de curvas  
Polyhedron decomposition;decomposição de poliedros
Polyhedron deformation;deformação de poliedros
Polyhedron dualize;dual do poliedro
Polyhedron movement;movimento/deslocação do poliedro
Polynomial function;função polinomial
Polynomial graph;gráfico de função polinomial
Probability density;função densidade de probabilidade
Proof by contradiction;prova/demonstração por contradição
Quadratic function;função quadrática
Rational Function;função racional
Reduction;redução 
RevolutionSolid;sólido de revolução
Right-Prism;prisma retangular
Right parallelepiped;paralelepípedo retangular
Sector chart;gráfico de setores
Sequence;sucessão
Simple event;acontecimento simples
Solid objects;objetos sólidos
Square root;raíz quadrada
Standard deviation;desvio-padrão
Statistics;estatísticas
Summary statistics;sumário estatístico
System with two equations and two unkonwns;sistema de duas equações e duas incógnitas
Table of values;tabela de valores
Tree diagram;diagrama de árvore
Trigonometric function;função trigonométrica
Wording of a function;Redação de uma função
Error in a plot;erro num traçado
Function Topic;Tema das funções
Function Plotter;"traçador" de gráfico de função
Polyhedron unfold;planificação de poliedro
Function Plotter;"traçador" de função
Local and global description of a plot;descrição local e geral de um traçado
Function Plotter;"traçador" de um gráfico de função
Movement;movimento
Logarithmic function;função logarítimica
Construction of a plot;construção de um traçado de curvas
Proof Randomness;Aleatoriedade da prova
Real world problem;Problemas da vida real
ThreeD Object;Objetos 3D
Variable;Variável
Function Plotter;"traçador" de gráfico de uma função
Word problem;Problema de palavras
Construction of a plot;construção de um traçado da curvas
