ICT;ИКТ
Engineering;Инженерство
Instructions;Инструкции
Integration of digital products;Интеграция на цифрови продукти
Interactive material;Интерактивен материал
Internet;Интернет
Internet based entertainment;Интернет базиран развлечения
Internet searching;Интернет търсене
The Internet: searching and interpreting;Интернетът : търсене и интерпретиране
Interpret information;Интерпретиране на информация
Newsletter, poster, flyer production;Информационен бюлетин, плакат, флаер
Information literacy;Информационна грамотност
Information network;Информационна мрежа
Information system;Информационна система
Information skills;Информационни умения
Information;Информация
Information ;Информация
Infrared communications;Инфрачервени комуникации
History & development of ICT;История и развитие на ИКТ
History of technology;История на технологиите
Maps and plans;Карти и планове
Cataloguing;Каталогизиране
Considering 'what if...?'/predicting;Като се има предвид "какво ще стане ако ...?" / Предсказване
Uploading websites;Качване на уеб сайтове
Quality & accuracy;Качество и точност
Cyberbullying;Кибертормоз
Keyboard Mouse;Клавиатурна мишка
Classification;класификация
Combining software tools to produce a system;Комбинирането на софтуерни инструменти, за да се получи система
CD-ROM;Компакт диск
Computer addition;Комптърно допълнение
Computer literacy;Компютърна грамотност
Computer game;Компютърна игра
Concept keyboard;Компютърна клавиатура
Computer functional scheme;Компютърна функционална схема
Computer science;Компютърни науки
Computer application;Компютърно приложение
Computer-assisted-instruction (CAI software);Компютърно-подпомагаща инструкция (КПИ софтуер)
Communicative competence;Комуникативна компетентност
Communicating;Комуникации
Communication Environments;Комуникационна среда
Communications & entertainment;Комуникация и развлечение
Number conversion;Конверсия на номера
Contextualised use of text/image processing;Контекстуално използване на текст/ изображение 
Access Control;Контрол на достъп
Controlling;Контролинг
Data concepts;Концепция за данните
Control concepts;Концепция за контрола
Data Encryption;Криптиране на данни
Cryptography;Криптография
Critical evaluation;Критична оценка
Laser printers;Лазерни принтери
Local data collection & holding;Локално събиране на данни и притежанието им
Local Area Network;Локолна мрежа
Tape-recorders;Магнетофони
Labelling;Маркиране
Media;Медиа
Media library;Медийна библиотека
Media literacy;Медийната грамотност
Media education;Медийното образование
Mnemonics;Мнемоника
Patterns;Модели
Modelling;Моделиране
Voice/fax/data modems;Модеми за глас / факс / данни 
Network;Мрежа
Web technologies;Мрежови технологии
Multimedia;Мултимедиа
Latest digital products;Най-новите цифрови продукти
Finding things out;Намиране на информация
Security Breach/Incident;Нарушаване на сигурността / Инцидент
Information Security Guidelines/Policy/Plan/Risk Assessment;Насоки за информационна сигурност / споразумение / план /оценка на риска
Still images - generally;Неподвижни изображения - като цяло
Still images: vector graphics;Неподвижни изображения: векторна графика
Still images: graphs;Неподвижни изображения: графики
Still images: pictograms;Неподвижни изображения: пиктограми
Still images: bitmap graphics;Неподвижни изображения: растерни графики
Misuse of data;Неправилно използване на данни
New technologies & tools;Новите технологии и инструменти
Simple networking;Обикновена мрежа
Data processing;Обработка на данни
Information processing;Обработка на информацията
Processing text & images;Обработка на текс и изображение
Feedback/responding to data;Обратна връзка / отговор на данните
Public information systems;Обществени информационни системи
Communication;Общуване
Limitations/advantages;Ограничения / Предимства
Online identity;Онлайн идентичност
Interoperabilo(i)ty;Оперативна съвместимост
Open Source;Орворен код
Basic computer concepts;Основни понятия компютърни
Basic computer usage and possibilities;Основно използване на компютър и възможностите му
Recognising that information must be analysed and evaluated for its purpose, author, currency and context;Отчитане, че информацията трябва да се анализира и оцени спрямо нейната цел, автор, адекватност и контекст
Memory;Памет
liquid crystal display panels;Панелите с течни кристали
Password security;Парола за сигурност
Draft/manipulate information/data using ICT;Планира / манипулира информация / данни чрез използване на ИКТ
Planning what data to record;Планиране какви данни да записва
Confidentiality issues;Поверителност
Privacy and personal information;Поверителност и лична информация
Podcast;Подкаст
Appropriate/not appropriate;Подходящи / не подходящи
Sequencing;Последователност
Access Rights;Правата на достъп
Plausibility;Правдоподобност
Reviewing and reflecting critically on what people produce using ICT;Преглед и отразяване критично на това, което хората произвеждат използвайки ИКТ
Advantages & disadvantages;Предимства и недостатъци
Benefits & problems;Предимства и проблеми
Benefits & problems of data collection;Предимства и проблеми на събиране на данни
Data representation;Представяне на данни
Data presentation;Представяне на данните
Presenting measured data;Представяне на измерените данни
Presentation of information & data;Представяне на информация и данни
Presentation software;Презентационен софтуер
Presentation;Презентация
Applying ICT in other contexts;Прилагането на ИКТ в други контексти
Gadgets;Приложения/ Приспособления
Printer;Принтер
Hacking;Пробив на сигурността/ Хакване
Communications issues;Проблеми в общуването
Programming;Програмиране
Programmable toy;Програмируема играчка
Output;Продукция
Augmented Reality;Променена/ Изкривена реалност
Changing technologies;Променящите се технологии
File transfer protocol (FTP);Протокол за трансфер на файлове
Procedures/macros/templates;Процедури / макроси / шаблони
Processor;Процесор
Publishing on the web;Публикуване в мрежата
Working with cameras & video;Работа с камери и видео
Working with mobile technology;Работа с мобилните технологии
Working independently;Работна независимо
Understanding of audience;Разбиране на публиката
Understanding of terminology;Разбиране на терминологията
Understanding of hardware and software;Разбиране на хардуер и софтуер
Web development;Развитие на мрежата
Developments in software & hardware & their impact;Развитието на софтуер и хардуер и тяхното въздействие
Printout;Разпечатка
Recognising issues of risk, safety and responsibility surrounding the use of ICT;Разпознаване на проблемите свързани с риска, безопасност и отговорност, свързани с използването на ИКТ
Reflecting on ICT in society;Разсъждавайки върху ИКТ в обществото
Data logging;Регистриране на данни
Advertising;Реклама
Reference material;Референтен материал
Dictionary;Речник
Vocabulary;Речник
Robotics;Роботика
Linked databases & database structures;Свързани бази данни и структури на бази данни 
Building computers & networks;Свързване на компютри и мрежи
Connecting computer parts;Свързване на компютърни части
Sensors & software Appropriate/not appropriate;Сензори и софтуер подходящ /неподходящ
Security;Сигурност
Security for Electronic Transaction - SET;Сигурност за електронни транзакции - СЕТ
Data Security;Сигурност на данните
Security, password selection & protection;Сигурност, избор на парола и защита
Security, accuracy & plagiarism;Сигурност, точност и плагиатство
Simulating;Симулиране
Synthesising information;синтезиране на информация
Systems;Системи
Systems in context;Системи в контекста
Information Owner;Собственик на информацията
Desktop publishing software;Софтуер за предпечатна обработка
Word processing software;Софтуер за текстообработка
Software;Софтуерът
Social networking;Социални мрежи
Spam;Спам
Access Control List;Списъка за достъп за контрол
Share ideas;Споделяне на идеи
Mass media;Средства за масова информация
Database stucture;Структура на база данни
Computer architecture;Структура на компютъра
Structure of systems;Структура на системи
Data collection;Събиране на данни
Collecting information;Събиране на информация
Creating & editing images;Създаване и редактиране на изображения
Creating database;Създаване на база данни
Creating websites;Създаване на уеб сайтове
Collate, analyse & evaluate information/data using ICT;Съпоставя, анализира и оценява информация / данни чрез използване на ИКТ
Wide Area Information Servers (WAIS);Сървър за широкообхватна информация
Collaboration;Сътрудничество
Storing & retrieving data;Съхраняване и извличане на данни
Text;Текст
Terminology;Терминология
Search techniques;Техники на търсене
Technological change;Технологичната промяна
Technological education;Технологично образование
Security technology;Технология за сигурност
Control technology;Технологията на управление
Trojan;Троянски кон
Interpretation of data;Тълкуване на данни
Interpreting information;Тълкуване на информация
Search;Търсене
Website;Уебсайт
Storage devices;устройства за съхранение
Teaching materials;Учебни материали
Faxes;Факсове
Fantasy;Фантазия
Floppy Drive;Флопи устройство
Website design features;Функции дизайн на сайта
Identity Hacking;Хакерство върху самоличността
Character;Характер
Hardware;Хардуерът
Hypermedia;Хипермедия
Digital cameras;Цифрови камери
Chat;Чат
Reading for information;Четене на информация
E-book readers & other gadgets;Четци на електронни книги и други приспособления
Numerical notation;Числена нотация
Numbers;Численост
Wide Area Network;Широкообхватна мрежа

