Social Studies;Социални науки
Detribalization;Разпадане на племето
Race;Раса
Racism;Расизъм
Rationalization;Рационализация
Rationalism;Рационализъм
Rationality;Рационалност
Revolution;Революция
Order;Ред
Advertising;Реклама
Religion, belief and practice;Религия, вяра и практики
Republic ;Република
Resources;Ресурси
Decision;Решение
Rite;Ритуал
Rite of passage;Ритуал на преминаване
Slavery;Робство
Kinship;Родство
Role;Роля
Leadership;Ръководство
Sacred;Свещен
Sexuality;Сексуалност
Family;Семейство
Symbol;Символ
Symbolism;Символизъм
Syncretism;Синкретизъм
Syncretism ;Синкретизъм
Scarnification;Скарификация
Death;Смърт
Social Geography;Социална география
Social mobility;Социална мобилност
Social Norm;Социална норма
Sociology;Социология
Recession;Спад
Dispute;Спор
Sport;Спорт
Shame;Срам
Middle-age;Средната възраст
Mean of production;Средно на производство
Standard;Стандарт
Old-age;Старост
Seniority;Старшинство
Life-style;Стил на живот
Commodity;Стока
Stratification;Стратификация
Foranging;Събиране на фураж
Juridical System;Съдебна система
Judge;Съдия
State;Състояние
Secret Society;Тайно общество
Firm;Твърд
Body-practice;Телесни практики
Trend;Тенденция
Theory;Теория
Theory,  Approach and Author ;Теория, подход и автор
Technics;Техника
Totemism;Тотемизъм
Trauma;Травма
Traditional Knowledge;Традиционни знания
Tradition;Традиция
Mourning;Траур
Labour;Труд
Corpse;Труп
Crowd;Тълпа
Body;Тяло
Body and body-experiences ;Тяло и преживявания
Universalism;Универсализъм
Unionism;Унионизъм
Governmentality;Управляемост
Urbanism;Урбанизъм
Orality;Устност
School of thought;Училище на мисълта
Femminism;Феминизъм
Philanthropy;Филантропия
Finance;Финанси
Focus Group;Фокус група
Folklore;Фолклор
Functionalism;Функционализъм
Futurology;Футурология
People;Хора
Food;Храна
Central Administration;Централна администрация
Cycle of production;Цикъл на производство
Honour;Чест
Membership;Членство
Person;Човек
Cannibalism;Човекоядство
Human Ecology;Човешка екология
Monster;Чудовище

