Music;Музика
Rehearsing;Репетиране
Recital ;Рецитал
Cadence;Ритъм
Rhythm ;Ритъм
Rhythm (duration), pulse/beat;Ритъм (продължителност), пулс / удар
Romantic Period;Романтичен период
Rossini ;Росини
Saxophone;Саксофон
Saint Romanos the Melodist;Св. Роман Сладкопевец
Reflective composing;Светлоотразително композиране
Saint Saens;Сен Санс
Si;Си
Ti;Си
B;Си (нота)
Sibelius;Сибелиус
Symphonic Music;Симфонична музика
Symphonic Poem;Симфонична поема
Symphony ;Симфония
Synthesizer;Синтезатор
Synthesizer / Electric Piano;Синтезатор / електрическо пиано
Scale ;Скала
Whole Tone Scale;Скала на цяла нота
Skalkotas;Скалкотас
Scriabin;Скрябин
Earphones;Слушалки
Sol;Сол
G;Сол (нота)
Sonata ;Соната
Soprano;Сопрано
Sociomusicology;Социомузикология
Middle Romantic era;Средата на епохата на романтизма
Medieval/Middle Ages;Средновековие/ Средните векове
Staccato ;Стакато
Stamitz;Стамиц
Structure: form;Структура: форма
String Quartet;Струнен квартет
Strings;Струнни
Contemporary;съвременен
Creating & developing ideas;Създаване и разработване на идеи
Serialism;Сюрреализъм
Table of Key Signature;Таблица на ключовата сигнатура
Bar  ;Такт
Theatre Music;Театрална музика
Theatre;Театър
Lyrics;Текст
Telemann;Телеман
Timbre ;Тембър
Tempo;Темпо
Tenoro;Тенор
Timpani;Тимпани
Tonality;Тоналност
Tonality ;Тоналност
Tonality/harmony;Тоналност / хармония
Tonic ;Тоник
Traditional Music;Традиционна музика
Quaver;Тремолирам
Trio ;Трио
Triplet;Триплет
Triangle;Триъгълник
Trombone;Тромбон
Trumpet;Тромпет
Troubadours and trouvères;Трубадури и трувери
Tuba;Туба
Beat ;Удар
Percussions;Ударни 
Ukulele;Укулеле
Street music;Улична музика
Harmonica;Устна хармоника
School;Училище
Fa;Фа
F;Фа (нота)
Bassoon;Фагот
Physics;Физика
Film music;Филмова музика
Flute;Флейта
Phonetics;Фонетика
Background Music;Фонова музика
Phonology;Фонология
Fortepiano / Pianoforte;Фортепиано / пианофорте
Fugue;Фуга
Haydn;Хайдн
Harmonics;Хармоника
Harmonic Intervals;Хармонични интервали
Holst;Холст
Choir;Хор
Chromatic Scale;Хроматична скала
Ceremony;Церемония
Violin;Цигулка
Zither;Цитра
Digital sound recording;Цифров звукозапис
Church;Църква
Whole note ;Цяла нота
Whole;Цяло
Tchaikovsky;Чайковски
Frequency;Честота
Crotchet;Четвъртина нота
Quarter note;Четвъртина нота
Crotchet rest;Четвъртина почивка
Four Seasons;Четирите сезона
Cymbal;Чинел
Human;Човешки
Sixty-fourth note  ;Шестдесет и четвърта нота
Sixth and Ninth Chords;Шести и девети акорд
Sixteenth note;Шестнадесетина пауза
Schubert;Шуберт
Schumann;Шуман
Schoenberg;Шьонберг
Strauss;Щраус

