Mathematics;Математика
Computer Arithmetic;Компютърна аритметика
Counterexample;Контрапример
Cone;Конус
Conic Section;Конусовиден участък
Conformal Mappings;Конформално съпоставяне
Number Concepts;Концепции на числата
Coordinates;Координати
Coordinates of a point;Координати на точка
Square root;Корен квадратен 
Cosine;Косинус
Circle;Кръг
Circle of latitude;Кръг на ширина
Circular chart;Кръгова диаграма
Pie chart;Кръгова диаграма
Cube;Куб
Cuboid;Кубоид
Cumulative frequency;Кумулативна честота
Linear expression;Линеен израз
Linear model;Линеен модел
Linear Rational Function;Линейна  рационална функция
Linear Algebra – Number Theory;Линейна алгебра - Теория на числата
Line chart;Линейна диаграма
Linear function;Линейна функция
Linear problems;Линейни проблеми
Linear Inequality With One Variable;Линейно  неравенство с една променлива
Linear Inequality;Линейно неравенство
Linear Inequality With One Variable;Линейно неравенство с една променлива
Linear Equation;Линейно уравнение
Ruler;Линия
Logarithmic function;Логаритмична функция
Logic;Логика
Local and global description of a plot;Локално и глобално описание на диаграма
Maxima and minima;Максимум и минимум
Mathematics for Computer;Математика за компютри
Mathematics for Social Sciences - Software;Математика за социални науки - Софтуер
Mathematics for Humanities;Математика за хуманитарни науки
Mathematical Biology;Математическа биология
Mathematical Economics;Математическа икономика
Mathematical Physics;Математическа физика
Median-number;Медиана-число
Meridian;Меридиана
Methods of Proof;Методи на доказване
Polyhedron;Многостен
Multiple chart;Множествена диаграма
Sets and Set Operations;Множество и  набор операции
Modal class;Модални класове
Patterns and Sequences;Модели и последователности
Measurement;Мярка
Central tendency measure ;Мярка на централната тенденция
Central tendency measure;Мярка на централната тенденция
Reduction;Намаляване
Science;Наука
Elementary plane geometry;Начална планиметрия
Mode;Начин
Nonlinear model;Нелинеен модел
Continuous random variable;Непрекъсната случайна променлива
Inequality;Неравенство
Unbounded Operators;Несвързани оператори
Volume;Обем
Summary statistics;Обобщени статистически данни
Spread;Обхват
Common frequency;Обща честота
Inequality General;Общо неравенство
Inequality General;Общо неравенство 
Circumcircle;Окръжност
Octahedron;Октаедър
Remainder;Остатък
Outlier;Отдалечена част
Bias;Отклонение
Relative frequency;Относителна честота
Reflection;Отражение 
Reflection in a line;Отражение в една линия
Reflection in a plane;Отражение в равнина
Reflection in a point;Отражение в точка
Parabola;Парабола
Permutations;Пермутации
Set square;Перпендикулярно множество
Perspective projection;Перспективна проекция
Pyramid;Пирамида
Platonic solid;Платоново твърдо тяло
Coloring Proof;Повлияващо доказателство
Fallacy;Погрешен извод
Polygon of frequencies;Полигон на честотите
Polynomial graph;Полиномиална графика
Polynomial function;Полиномиална функция
Polynomial Inequality;Полиномиално неравенство
Polar Coordinates;Полярни координати
Ordinal numbers;Поредни числа
Sequence;Последователност
Construct with ruler and compass;Построяване с линия и компас
Right parallelepiped;Прав паралелепипед
Right-Prism;Права-призма
Orthogonal projection;Правоъгълна проекция
Orthogonal projection of solid;Правоъгълна проекция на твърди тела
Orthogonal projection of solid;Правоъгълната проекция на твърдо тяло
Representativity;Представителност
Continuity and discontinuity;Прекъснатост и непрекъснатост
Intersections with the axis;Пресичане на оста
Approximate value;Приблизителна стойност
Prism;Призма
Sample;Пример
Pigeonhole Principle;Принцип на класификация
Real world problem;Проблем от реалния свят 
Problems from other subjects;Проблеми от други дисциплини
Real world problem;Проблеми от реалния свят
Programmable Calculator;Програмируем калкулатор
Projection;Проекция
Variable;Променлива  величина
Variability;Променливост
Simple solid objects;Прости  твърди тела
Primes;Прости числа
Simple event;Просто  събитие
Simple calculation of volume;Просто изчисление на обема
Simple calculation of volume;Просто изчисляване на обема
Sample space;Пространствена проба 
Percentage;Процент
Direct Proof;Пряко доказателство
Equality;Равенство
Plane;Равнина
Plane in coordinate system;Равнина в координатната система
Polyhedron dualize;Разделяне на многостен
;Разделяне на многостен
Probability distribution;Разпределение на  вероятностите
Distribution of primes;Разпределение на прости числа
Enlargement;Разширяване
Proof Randomness;Рандомизация на доказателствата
Rational Function;Рационална функция
Rational Inequality;Рационално неравенство
Rational Number;Рационално число
Real Analysis;Реален анализ
Real number;Реално число
Recursion;Рекурсия
Solutions of Systems;Решения на системи
Solutions of Equations;Решения на уравнения
Word problem;Световен проблем
Bounded operators;Свързани оператори
Bound;Свързаност
Sector chart;Секторна диаграма
Power;Сила
Symbol;Символ
Symbolic Expression;Символен израз
Symbolic Expression;Символно изразяване
Symmetry plane;Симетрия на равнина
Simulation;Симулация
Sine;Синус
Linear equations system;Система на линейни уравнения
System of equations;Система от уравнения
System with two equations and two unknowns;Система с две уравнения и две неизвестни
System with two equations and two unkonwns;Система с две уравнения и две неизвестни
Word problem;Словесен  проблем
Random process;Случаен/ произволен процес
Random sampling;Случайна/ Произволна извадка
Random sample;Случайна/ произволна проба
Random variable;Случайна/ произволна променлива
Randomness;Случайност/ Рандомизация
Spreadsheet Software;Софтуер за електронни таблици
Software Tools;Софтуерни инструменти
Congruences;Сравнени/ съответствия
Mean;Средна
Mean variation ratio of a function in an interval;Средно променливо съотношение на функция в интервал
Standard deviation;Стандартно отклонение
Statistics;Статистика
Statistical table;Статистическа таблица
Statistical analysis;Статистически анализ
Statistical data;Статистически данни
Statistical range;Статистически обхват
Bar chart;Стълбовидна диаграма
Piecewise-function;Стъпаловидна функция
Sphere;Сфера
Data collect;Събиране на данни
Event;Събитие/ Набор от резултати
Polyhedron truncating;Съкращаване на многостен
Ratio of numbers;Съотношение на числата
Table;Таблица 
Contingency table;Таблица на евентуалности
Table of values;Таблица на стойностите
Table with several columns;Таблица с няколко колони
Tangent of angle;Тангенс на ъгъла
Solid objects;Твърди тела
Function Topic;Тематична функция/ функция на темата
Game Theory;Теория на игрите
Set Theory;Теория на множествата
Number Theory;Теория на числата
Tetrahedron;Тетраедър/ четиристен
Protractor;Транспортир
Transformation;Трансформация
Polyhedron transformation;Трансформация на многостен
Trigonometric function;Тригонометрична функция
Trigonometric ratio;Тригонометрично съотношение
Identity;Тъждество
Increasing and decreasing;Увеличаване и намаляване
Equation of an ellipse;Уравнение на елипса
Equation of curve;Уравнение на крива
Equation of a parabola;Уравнение на параболата
Equation of a straight line;Уравнение на права линия
Equation of a plane;Уравнение на равнина
Equation of a spiral;Уравнение на спирала
Equation of a cycloid;Уравнение на Циклоида
Equations;Уравнения
Conditional probability;Условна вероятност
Parallel projection;Успоредна проекция
Factorization;Факторизиране
Scale factor;Факторът на мащаба
Formula;Формула
Formula for length;Формула за дължина
Formula for volume;Формула за обем
Formula for area;Формула за площ
Formula for angle;Формула за ъгъл
Formula of a function;Формула на функция
Wording of a function;Формулировка на функция
Fraction;Фракция
Data chart features;Функции на данните на диаграмата
Functional Analysis;Функционален анализ
Function;Функция
Inverse proportionality function;Функция на обратната пропорционалност 
Function Plotter;Функция плотер
x coordinate of point;Х координата на точка
Function plot features;Характерисрики на функция на диаграма
Function plot features;Характеристика на функция на диаграма
Harmonic Analysis;Хармоничен анализ
Hyperbola;Хипербола
Hyperbolic function;Хиперболична функция
Hypothesis;Хипотеза
Histogram;Хистограма
Cylinder;Цилиндър
Integer;Цяло число
Frequency;Честота
Frequencies;Честоти
Frequency diagram;Честотна на диаграма
Quartile;Четвъртини
Numerical Analysis;Числен анализ
Numerical Differentiation;Числена Диференциация
Numerical Integration;Числено интегриране
Number;Число
Template;Шаблон
Bisector-Plane;Ъглополовящ-равнинен

