Science;Eolaíocht
Mountain ;Sliabh
Ocean ;Aigéan
Sea ;Farraige
Plain ;Má
Port ;Caladh
Volcano ;Bolcán
Watercourse ;Sruthchúrsa
Water ;Uisce
Ecosystem ;Eichóras
Biotope;Biotóp
Environmental education ;Oideachas comhshaoil
Environmental protection ;Cosaint an chomhsaoil
Landscape;Tírdhreach
Garden;Gairdín
Natural resources;Acmhainní nadurtha
Environmental protection;Cosaint  an Chomhsaoil
Ecology ;Éiceolaíocht
Education for sustainable development ;Oideachas d'fhorbairt inbhuanaithe
Endangered species;Speicis i mbaol
Botany ;Luibheolaíocht
Zoology ;Zo-eolaíocht
National park ;Páirc naisiúnta
Pollution ;Truailliú
Acid rain ;Báisteach aigéadach
Greenhouse effect ;Iarmhairt cheaptha teasa
Noise ;Torann
Sound ;Fuaim
Waste management ;Bainistíocht dramháil
Recycling ;Athchursáil
Oil ;Ola
Drinking water;Uisce ólachaín
Watercourse;Sruthchúrsa
Environment;An comhshaol 
Mining ;Mianadóireacht
Renewable energy;Fuinneamh inathnuaite
Geography and Earth Science;Tíreolaíocht agus Domhaneolaíocht 
Geography;Tíreolaíocht
Africa;An Afraic
Antarctica;An Antartaice
Asia;An Áise
Atlases;Atlais
Biomes;Blomaí
Changes in distribution of economic activity & their impact;Athruithe i ndáileadh gníomhachtaí gheilleagrach agus a dtoradh
Cape;Ceann tíre
Classifications of economic activity;Gníomhaíocht gheilleagrach a rangú
Climate; An t- aeráid
Climatic influences on ecosystems;Tionchar aeráide agus éichóras
Coasts;Costaí
Conflicting demands on environments;Na héilimh chontrártha ar thimpeallachtaí
Deposition;Sil-leagaan
Development & quality of life;Forbairt agus caighdéan na beatha
Differences in development between countries;Difríochtai i bhforbairt idir thíortha
Differences in development within countries;Difríochtai i bhforbairt laistigh de thíortha
Dynamic Shape;Cruth dinimiciúil
Earthquakes;Creathanna talún
Ecosystems;Éiceachorais
Effects of resource use;Eifeachtaí úsáide acmhainne
Environmental issues;Saincheisteanna comhshaoil
Erosion;Creimeadh
European countries outside the European Union;Tíortha Eorpacha lasmuigh den Aoontais Eorpaigh
European Union;Aontas Eorpach
Factors influencing development;Fachtóirí  a mbíonn tionchar acu i bhforbairt
Geographical distribution of economic activity;Dáileadh geografach de  gníomhaíochta eacnmaíochta
Geographical variations in weather & climate;Éagsúlachtaí geografacha in aimsir agus aeráid
Geomorphological processes - general information;Próisis geografacha -fáisnéis ghinearálta
GIS;CFG
Global distribution of tectonic activity;Gníomhaíocht teicteonacha-dáileadh domhanda
Global scale;Scála domhanda
Globes;Cruinneoga
Goods & services;Earraí agus seirbhísí
Hazards/geomorphological;Guaiseanna/geomoirfeolaíoch
Hazards & human responses;Guaiseanna agus freagraí daonna
Human influences on ecosystems;Tionchar aeráide agus éichóras
Human patterns;Patrúin daonna 
Human processes;Proisis daonna
Internal Structure;Struchtúr inmhéanach 
International scale;Scála idirnaisiúnta
Land use;Usáid talún
Landforms;Tírghnéithe
Less economically developed countries;Tíortha atá beagfhorbartha ó thaobh an gheilleagair
Local scale;Scála áitiúil
Location of settlements;Súiomh lonnaíochta
Maps & plans;Léirscáileanna agus pleananna
Migration;Imirce
More economically developed countries;Tíortha atá mórfhorbartha ó thaobh an gheilleagair
Mountain;Sléibhte
National scale;Scála naisiúnta
Natural population change;Athrú daonra nadúrtha
North America;Meiriceá Thuaidh
Oceania;An Aigéine
Other geomorphological processes;Próisis geomoirfeolaíocha eile
Other influences on ecosystems;Tionchair eile ar éiceachórais
Patterns in general;Patrúin go ginearálta
Physical patterns;Patrúin fisiciúla
Physical processes;Próisis fisiciúla
Planning & management of resources;Acmhainní--Pleanáil agus bainistíocht
Population & resources;Daonra agus acmhainnI
Population change;Athruithe san daonra
Population distribution;Dáileadh daonra
Processes in general;Próisis-go ginearálta
Projection;Fortheilgean
Regional scale;Scála reigiúnach
Rivers;Aibhneacha
Rock types;Cinéalacha carraige
Rural settlements;Lonnaiochtaí tuaithe
Satellite images;Íomhánna satailíte
Settlements: change;Athrú lonnaíochtaí
Settlements: size/character/function;Lonnaiochtaí:méid/,carachtar/feidhm
Soil influences on ecosystems;Tionchair ithireacha ar éiceachórais
Sources of resources;Foinsí acmhainní
South & Central America;Meiricea Theas agus Lár
Space-Time Information;Fáisnéis spás-ama
Spatial information;Fáisnéis spásúlachta
Spatial properties;Airíonna spásúlachta
Spatial interactions;Idirghníomhaiochtaí spásúlachta
Spatial interpolation;Idirshuíomh spásúlachta
Spatial transformations;Claochluithe spásúlachta
Supply of resources;Solathar acmhainní
Surface;Dromchla
Tectonic hazards & human responses;Guaiseanna teicteonacha agus freagraí daonna
Tectonic processes;Próisis teicteonacha
Topical geographical issues;Saincheisteanna geografacha i mbéal an phobail
Types of economic activity;Gníomhachtaí eacnamaíochta----saghsanna
Urban settlements;Lonnaíochtaí uirbheacha
Volcanoes;Bolcáin
Water;Uisce
Water, landscapes & people - general information;Uisce,tírdhreacha agus daoine--eolas ginearálta
Weather;Aimsir
Weathering;Sionchaitheamh
Earth science;Domhaneolaíocht
air ;Aer
atmospheric phenomenon ;Féinméan atmaisféarach
cartography;Cartagrafaíocht
Catastrophe ;Catastróf
climate;Aeráid
Climatic phenomenon ;Féinméan aeráide
exploration of the earth ;Taiscéalaíocht an domhain
Explorer;Taiscéalaí
fossil ;Iontaise
geological phenomenon ;Féinméan geolaíoch
geology ;Geolaíoch
geomorphologic phenomenon ;Féinméan geomoirfeolaíochta
Geomorphologic phenomenon ;Feinméan geomoirfeolaíochta
 Mass;Mais
Mineral ;Mianraí
Mineralogy ;Mianreolaíocht
Natural phenomenon ;Feinméan nadurtha
Palaeontology ;Pailé-ointeolaíocht
Reference Frame;Fráma tagairte
regional geography ;Tíreolaiocht reigiúnach
regional language ;Teanga reigiúnach
seismology;Seismeolaíocht
social geography ;Geografaíocht shóisialta
Spatial heterogeneity;Spásilchinéalacht
stratum;Stratam
Physics;Fisic
Electricity and magnetism;Leictreachas agus maighnéadas
AC/DC;AC/DC
Ampere's law;Dlí Amper
Charge;Lucht
Circuits - generally;Ciorcaid--go ginearálta
Components in circuits: batteries, etc;Comhpháirteanna i gciorcaid:cadhnraí;rl.
Coulomb law;Dlí Coulomb
Domestic appliances;Fearais tí
Electric charge - generally;Lucht leictreach--go ginearálta
Electric current;Sruth leictreach
Electric motors;Mótair leictreacha
Electrical heating and costs;Teas leictreach agus speansais
Electrical quantities - generally;Cainníochtaí leictreacha--go ginearálta
Electrical resistance/conductivity;Friotaíocht leictreach/seoltacht
Electricity generation/National Grid;Giniúint leictreachais/Eangach Naisiúnta
Electromagnetism - generally;Leictreamaighnéadas--go ginearálta
Electrostatic forces;Forsaí leictreastatacha
Electrostatic phenomena and uses;Feinméin leictreastatacha agus úsáidí
Generators and transformers;Gineadóirí agus trasfhoirmeoiri
Magnetic materials;Ábhair mhaighnéadacha
Magnetism - generally;Maighnéadas--i gcoitinne
Mains electricity - generally;Príomhlíonra leictreachais--go ginearálta
Mains electricity safety;Priomhlíonra leictreachais--sábháilteacht
Maxwell's equations;Cothromóidí Maxwell
Parallel circuits;Ciorcaid comhthreomhara
Series circuits;Sraithchiorcaid
Voltage;Voltas
Energy;Fuinneamh
Conduction, convection and evaporation;Seoladh,comhiompar agus galú
Conservation and dissipation;Imchoiméad agus idiú
Energy - using electricity;Fuinneamh-usáid leictreachais
Energy resources;Acmhainní fuinnimh
Energy transfer and storage;Fuinneamh--usáid agus storáil
Internal Energy;Fuinneamh inmhéanach
Kinetic energy;Fuinneamh cinéiteach
Potential energy;Fuinneamh poitéinsiúil
Radiation;Radaíocht 
Radiation transfer;Aistriu radaíochta
Temperature and heat;Teocht agus teas
Thermodynamics;Teirmidinimic 
Work and power;Obair agus cumhacht
Fields;Réimsí
Central field;Lár réimse
Conservative force field;Réimse forsa coiméadach
Electric field;Réimse leictreach
Electromagnetic field;Réimse leictreamaighnéadach
Gravitational field;Réimse intharrainteach
Magnetic field;Réimse mighnéadach
Potential;Poiteinsiúil
Forces and motion;Forsaí agus gluaisne
Acceleration;Luasghéarú
Air resistance;Friotaíocht aeir
Atmospheric Pressure;Brú an atmaisféir
Angular acceleration;Luasghéarú uilleach
Angular velocity;Treoluas uilleach
Centre of mass;Maislár
Circular motion;Luaisne chiorclach
Collision;Imbhualadh
Combining forces;Forsaí a chomhcheangal
Conservation of momentum;Imchoiméad mhóimtim
Elastic collision;Imbhhualadh leaisteach
Electric force;Fórsa leictreach
Foucault pendulum;Luascadán Foucault
Friction;Frithchuimilt
Gravitational force and gravity;Fórsa imtharraingthe agus imtharraingt
Horizontal throw;Caitheamh cothrománach
Impulse;Ríog
Inelastic collision;Imbhualadh neamhleaisteaach
Inertia;Táimhe
Kepler's laws;Dlithe Keeper
Lorentz force;Fórsa Lorentz
Machines;Meaisíní
Magnetic force;Fórsa maighnéadach
Mass;Mais
Moment of inertia;Neomat táimhe
Moments;Nóiméid
Newton's laws;Dlí Newton
Nuclear force;Forsa núicléach
Oscillations;Ascalúcháin
Pendulum;Luascadán
Period;Peiriad
Phase;Pas
Pressure;Brú an atmaisféir
Rectilinear motion;Gluaisne dhronglíneach
Rigid body;Corp docht
Rotation;Rothlú
Universal law of gravitation;Dlí na himtharraingthe domhanda
Velocity;Treoluas
Vertical throw;Caitheamh inghearrach
Weight;Méachan
Light;Solas
Colour;Dath
Light sources;Foinsí solais
Properties of light - generally;Airionna solais---i gcoitinne
Reflection;Frithchaitheamh
Refraction;Athraonadh
Refraction index;Innéacs athraonta
Vision;Amharc
Obtaining and using materials;Ábhair a fháil agus úsáid a bhaint astu
Extraction of metal from ore;Eastoscadh miotail ó méine
Metals - generally;Miotail --go ginearálta
Nitrogenous fertilizers;Leasacháin nítrigineacha
Useful substances from rocks and minerals;Substaintí usáideacha o charraigeacha agus mianraí
Radioactivity;Radaighníomhaíocht
Alpha radiation;Alfa- radaíocht
Background radiation;Radaíocht chúlra
Beta radiation;Béite- radaíocht
Gamma radiation;Gáma-radaíocht
Half-life;Leath-ré
Nuclear decay;Meathlú núicléach
Nuclear fission;Eamhnú núicléach
Nuclear fusion;Comhleá núicléach
Uses of radioactivity, including radioactive dating;Úsáidí radaighníomhaíochta agus dátú radaighníomhaíochta san áireamh
Solids, liquids and gases;Solaid,leachtanna agus gáis
 Adiabatic;Aidiabatach
Changes of state;Athruithe staide
Density;Dlús
 Entropy;Eantrópacht
 Isovolumetric ;Isi-thoirtmhéadrach
 Isothermal;Isiteirmeach
 Laws of Thermodynamics;Dlithe na Teirmidinimice
Gas pressure and diffusion;Brú gáis agus idirleathadh
Grouping materials;Ábhair grúpála
Melting/boiling points;Leáphointe/fiuchphointe
Particle theory;Teoiric cáithnín
Properties of materials;Áiríonna ábhair
 Thermodynamic Cycle;Timthriall teirmidinimiciúil
Sound;Fuaim
Audible ranges;Raonta inchloiste
Hearing - generally;Éisteacht-go ginearálta
Hearing: noise;Éisteacht:torann
Loudness;Treise/glóraí
Pitch;Airde
Properties of sound - generally;Airíonna fuaime--go ginearálta
Sound sources;Foinsí fuaime
Speed in media;Luas 'sna méain
The ear;An chluas
Ultrasound;Ultrafhuaim
Tools for science;Úirlisí d'eolaíocht
Accelerometers;Méadair luasghéaraithe
 Accelerators;Luasairí
 Analysis Tools;Úirlisí anáilíseacha
Detectors;Brathadóirí
Detectors: CCD camera;Brathadóirí:ceamara CCD
Dynamometers;Dinimiméadair
Fieldwork equipment;Trealamh do shaothar allamuigh
Laboratory equipment – generally;Trealamh saotharlainne-go ginearálta
Laboratory glassware;Earraí gloinne saotharlainne
Laboratory measuring instruments, including sensors and meters;Úirlisí tomhais saotharlainne;braiteoirí agus méadair san aireamh
Microscope;Micreascóp
Observatories;Réadlann
 Online Laboratories;Saotharlanna ar an líne
 Remote Laboratories;Saotharlanna iarghúlta
Sensors;Braiteoirí
Thermometers;Teirmiméadair
Useful materials and products;Ábhair agus táirgí úsáideacha
Everyday materials;Gnáth- Ábhair 
Waves;Tonnta
Diffraction;Díraonadh
Doppler effect;Iarmhairt Doppler
Electromagnetic spectrum;Speictream leictreamaighnéadach
Gamma rays;Gáma-gathanna
Information transmission, analogue and digital signals;Tarchur fáisnéis,analóg,comharthaí digiteacha
Infrared;Infridhearg
Longitudinal waves;Fadtonnta
Microwaves;Micreathonnta
Optics;Optaic
Radio waves;Radathonnta
Seismic waves;Tonnta seismeacha
Transverse waves;Trastonnta
Ultraviolet;Ultraivialait
Visible light;Solas infheicthe
Wave amplitude;Tonnaimplitiúid
Wave characteristics - generally;Airíonna toinne-go ginearálta
Wave frequency;Minicíocht toinne
Wave speed;Luas toinne
Wavelength;Tonnfhad
X-rays;X-ghathanna
Technological applications;Feidhmiúchaín teicneoláiochta
Horology;Uaireolaíocht
Industrial devices;Feistí tionsclaíocha
Lifecycle of products;Saolré táirge
Energy production and energy resources research;Fuinneamh a thairgeadh agus taighde ar acmhainní fuinnimh
Musical instruments;Úirlisí ceoil
Nanotechnology;Nanaitheicneolaíocht
Photography and cinematography;Fótagrafáiocht agus cineamatagrafaíocht
Robotics;Robataic
Sound techniques;Teicnící fuaime
Telecommunications;Teileachumarsáid
Transport (air, water and ground);Iompair(aer,uisce agus talún)
Writing ad press;Scríbhneoireacht ' ad preas'
Metal processing;Proiseail miotail
Paper production;Táirgeadh páipéar
Textiles;Teicstílí
Pharmaceutics;Cógaisíocht
Mining;Mianadóireacht
Nautical tools;Muir-úirlisí
Glass production;Táirgeadh gloinne
Ceramics production;Táirgeadh ceirmeach
Wood production;Taiscéalaíocht adhmaid
History of Science and Technology;Stair na heolaíochta agus teicneolaíochta
Scientists and inventors;Eolaithe agus aireagóirí
First scientific revolution;An Reabhlóid eolaíochta thosaigh
Second scientific revolution;An dara Reabhlóid eolaíochta
Science: historical and contemporary examples;Eolaíocht:samplaí stairiúla agus comhaimseartha
High Energy Physics;Fisic ard-fhuinnimh
Accelerators & beams ;Luasairí agus bíomaí
Antimatter ;Frithdhamhna
Calorimeters ;Calraiméadair
Charged particle acceleration ;Luasghéarú cáithnín luchtaithe
Coupled Motion dynamics ; Gluaisne dinimiciúil cúplaithe
Dark matter ;Damhna dorcha
Free electron lasers;Léasair leictreonacha saor
Grand unification ;Mór- aontú
Higgs particle ;Cáithnín Higgs
Invariant mass ;Mais do-athraitheach
Leptons ;Leaptóin
Particle beam parameters ;Paraiméadar cáithnín bíoma
Particle cosmology ;Cosmoeolaíocht cáithnín
Particle detectors ;Brathadóiri cáithnín
Particle dynamics ;Dinimic na gcáithníní
Particle interactions with matter ;Cáithnín ag idirghníomhaíocht le damhna
Physical constants ;Táirsigh fisiceacha
QCD, jets & gluons ;QCD,scairdeanna agus glúóin
Quarks & hadrons ;Cuairc agus hadróin
Space-time symmetries ;Siméadrachtai spás-ama
Standard model ;Samhail chaighdéanach
Supersymmetry ;Sár-siméadracht
Synchrontron radiation ;Radaíocht Synchronton
Weak interactions: electroweak ;Lag-idirghníomhaiochtaí:leictrea-lag
Unification ;Aontú
Weak interactions: quarks & leptons;Lag-idirghníomhaiochtaí:cuairc agus leaptóin
