Social Studies;Sciences sociales
Hospital;Hôpital
Identity;Identité
Immigration;Immigration
Incest;Inceste
Individualism;Individualisme
Individual;Individuel
Industry;Industrie
Initiation;Initiation
Instinct;Instinct
Institution;Institution
Integration;Intégration
Integrationism;Intégrationnisme
Interest;Intérêt
Internet;Internet
Interview;Interview
Youth;Jeunes
Judge;Juge
Jurisprudence;Jurisprudence
Folk culture;La culture populaire
Decolonization;La décolonisation
Mechanisation;La mécanisation
Social mobility;La mobilité sociale
Globalization;La mondialisation
Decision-making;La prise de décision
Qualitative research;La recherche qualitative
Quantitative research;La recherche quantitative
Cultural Theory;La théorie culturelle
Local Administration;L'administration locale
Literacy;L'alphabétisation
Corporatism;Le corporatisme
Ancestor worship;Le culte des ancêtres
Functionalism;Le fonctionnalisme
Levirate;Le lévirat
Post-modernism;Le post-modernisme
Leadership;Leadership
Legislation;Législation
Environmentalism;L'environnementalisme
Traditional Knowledge;Les connaissances traditionnelles
Urban space;L'espace urbain
Liberism;Liberism
Libertarianism;Libertaires
Inculturation;L'inculturation
Linguistics;Linguistique
Logo;Logo
Law;Loi
Struggle;Lutter
Magic;Magie
Illness;Maladie
Sickness;Maladie
Commodity;Marchandise
Marginalization;Marginalisation
Marginality;Marginalité
Marriage;Mariage
Brand;Marque
Marxism;Marxisme
Male;Masculin
Mass;Masse
Material base;Matériel de base
Discipline;Matière
Doctor;Médecin
Medicine, health and sickness ;Médecione, santé et maladie
Melting pot;Melting pot
Method;Méthode
Method and Methodology;Méthodes et méthodologie
Methodology;Méthodologie
Craftsmanship;Métier
Migration;Migration
Militia;Milice
Activist;Militant
Mobbing;Mobbing
Mobility;Mobilité
Fashion;Mode
Cultural Model;Modèle culturel
Modernization;Modernisation
Modernism;Modernisme
Monarchy;Monarchie
Monogamy;Monogamie
Monster;Monstre
Movement;Mouvement
Middle-age;Moyen-âge
Mean of production;Moyenne de la production
Multiculturalism;Multiculturalisme
Mutilation;Mutilation
Myth;Mythe
Mythology;Mythologie
Birth;Naissance
Nation;Nation
Nationalism;Nationalisme
Naturalism;Naturalisme
Nature;Nature
Nature and environment;Nature et environnement
Nobility;Noblesse
Name;Nom
Social Norm;Norm sociale
Food;Nourriture
Observation;Observation
Participant Observation;Observation des participants
Public opinion;Opinion publique
Orality;Oralité
Order;Ordre
Organ;Organe
Organization;Organisation
Ethnicity;Origine ethnique
Kinship;Parenté
Heritage;Patrimoine
Heritage (Natural and Cultural);Patrimoine (naturel et culturel)
Patronage;Patronage
Landscape;Paysage
Person;Personne
People;Personnes
Philanthropy;Philanthropie
Planning;Planification
Police;Police
Policy;Politique
Politics;Politique
Pollution;Pollution
Polygamy;Polygamie
Popular;Populaire
Pornography;Pornographie
Possession;Possession
Pragmatism;Pragmatisme
Prejudice;Préjudice
Prestige;Prestige
Loan;Prêt
Primitive;Primitif
Prison;Prison
Proletariat;Prolétariat
Propaganda;Propagande
Prostitution;Prostitution
Proxemics;Proxémique
Psyche;Psyché
Psychology;Psychologie
Advertising;Publicité
Power;Puissance
Questionnaire;Questionnaire
Racism;Racisme
Rationalization;Rationalisation
Rationalism;Rationalisme
Rationality;Rationalité
Recession;Récession
Global Warming;Réchauffement de la planète
Visual research;Recherche visuelle
Relativism;Relativisme
Religion, belief and practice;Religion, croyance et pratiques
Reproduction;Reproduction
Republic ;République
Resources;Ressources
Revolution;Révolution
Rite;Rite
Rite of passage;Rite de passage
Role;Rôle
Sacred;Sacré
Health;Santé
Wild (-ness);Sauvage (-ness)
Scarnification;Scarnification
Administrative Sciences;Sciences Administratives
Educational Sciences;Sciences de l'éducation
Behavioural sciences;Sciences du comportement
Legal Sciences;Sciences juridiques
Applied Social Sciences;Sciences Sociales Appliquées
Secret Society;Secret Society
Sexuality;Sexualité
Society;Société
Society and its features;Société et ces caractéristiques
Sociology;Sociologie
Nursing;Soins
Survey;Sondage
Witchcraft;Sorcellerie
Sport;Sport
Standard;Standard
Stock;Stock
Stratification;Stratification
Life-style;Style de vie
Symbol;Symbole
Symbolism;Symbolisme
Syncretism;Syncrétisme
Syncretism ;Syncrétisme
Unionism;Syndicalisme
Juridical System;Système juridique
Technics;Technique
Trend;Tendance
Theory;Théorie
Theory,  Approach and Author ;Théorie, méthode (approches) et auteurs
Totemism;Totémisme
Tradition;Tradition
Trauma;Traumatisme
Labour;Travail
Worker;Travailleur
Tribalism;Tribalisme
Tribe;Tribu
Universalism;Universalisme
Urbanism;Urbanisme
Life;Vie
Political life and organization ;Vie politiques et organisation
Old-age;Vieillesse
City;Ville
Violence;Violence
Xenophobia;Xénophobie

