Science;Wetenschap
Electric force;Electrische kracht
Electrical quantities - generally;Electrische kwantiteiten - in het algemeen
Electric charge - generally;Electrische lading - in het algemeen
Electric motors;Electrische motoren
Electric current;Electrische stroom
Electrical heating and costs;Electrische verwarming en kosten
Electrical resistance/conductivity;Electrische weerstand / soortgelijke weerstand
Electrochemistry;Electrochemie
Electrolysis;Electrolyse
Electromagnetic spectrum;Electromagnetisch spectrum
Electromagnetic field;Electromagnetisch veld
Electromagnetism - generally;Electromagnetisme - in het algemeen
Electrons – generally;Electronen - in het algemeen
Electrostatic phenomena and uses;Electrostatisch verschijnsel en gebruik
Electrostatic forces;Electrostatische ladingen
Elements;Elementen
Elliptical galaxy;Elliptisch sterrenstelsel
Endocrine System;Endocrien systeem
Energy;Energie
Energy ;Energie
Energy - using electricity;Energie - het gebruik van Electriciteit
Energy and ecosystems;Energie- en ecosystemen (-systeem)
Energy transfer and storage;Energietransfer en -opslag
Energy resources;Engergiebronnen
Energy production and energy resources research;Engergieproductie en energiebronnenonderzoek
Entropy;Entropie
Enzymes;Enzymen
Epithelial;Epitheel
Inherited diseases;Erfelijke ziekten
Inheritance - generally;Erfelijkheid - in het algemeen
Erosion;Erosie
European countries outside the European Union;Europese landen buiten de Europese Unie
European Union;Europese Unie
Evolution - generally;Evolutie - in het algemeen
Exo/endothermic;Exo / Endotherme
Extrasolar planets;Exoplaneten (exoplaneet)
Extraction of metal from ore;Extractie van metaal uit erts
Factors influencing development;Factoren die ontwikkelingen beïnvloeden
Pharmaceutics;Farmacie
Phase;Fase
Phases;Fasen
Phases of the Moon;Fasen van de maan
Changes of state;Faseovergang
Filtration;Filtratie
Formation;Formatie
fossil ;Fossiel
Fossil record;Fossieldatabank
Fossil fuels;Fossiele brandstoffen
Fossil resources - generally;Fossiele bronnen - in het algemeen
Photography and cinematography;Fotografie en cinematografie
Photosynthesis;Fotosynthese
Friction;Frictie
Fruit;Fruit
Physical patterns;Fysieke patronen
Physical processes;Fysieke processen
Physical changes;Fysieke veranderingen
Physical chemistry;Fysische scheikunde
Galactic wind;Galactische wind
Gamma ray bursts;Gammaflits
Gamma radiation;Gammastraling
Gamma rays;Gammastraling
Gas;Gas
Gas pressure and diffusion;Gasdruk en diffusie
Hearing - generally;Gehoor - in het algemeen
Hearing: noise;Gehoor:  lawaai
Coupled Motion dynamics ;Gekoppelde bewegingsdynamiek
Charged particle acceleration ;Geladen deeltjes acceleratie
Conduction, convection and evaporation;Geleiding, convectie en verdamping
Sound;Geluid
Sound ;Geluid
Sound sources;Geluidsbronnen
Sound techniques;Geluidstechniek
Electricity generation/National Grid;Generatie van electriciteit / Nationale electriciteitsnet
Generators and transformers;Generatoren en transformatoren
Genetics;Genetica
Genetic engineering;Genetische manipulatie
Genetic causes of variation and mutation;Genetische oorzaken van variatie en mutatie
Genome;Genoom
Geophysical environment;Geofysisch milieu
GIS;Geografisch informatiesysteem (GIS)
Geographical distribution of economic activity;Geografische distributie van economische activiteit
Geographical variations in weather & climate;Geografische variaties in weer en klimaat
geology ;Geologie
geological phenomenon ;Geologisch fenomeen
geomorphologic phenomenon ;Geomorfologisch fenomeen
Geomorphological processes - general information;Geomorfologische processen - algemene informatie
History of Science and Technology;Geschiedenis van Wetenschap en Technology
Sex determination;Geslachtsbepaling
Tides;Getijde
Hazards/geomorphological;Gevaren / geomorfologisch
Hazards & human responses;Gevaren en menselijke reacties
Vertebrate;Gewervelden
Weight;Gewicht
Glass production;Glasproductie
Globes;Globes
Goods & services;Goederen & diensten
Wave amplitude;Golfamplitude
Wave frequency;Golffrequentie
Wave characteristics - generally;Golfkarakteristieken - in het algemaan
Wavelength;Golflengte
Wave speed;Golfsnelheid
Waves;Golven
Greenhouse effect ;Greenhouse effect
Grand unification ;Groot Eenwordingstheorie
Root hair;Haarwortel
Halos;Halo
Halogens;Halogenen
Half-life;Halveringstijd
Useful materials and products;Handige materialen en producten
Heart;Hart
Port ;Haven
Hertzsprung-Russell diagram;Hertzsprung-Russelldiagram
Combining forces;Het combineren van krachten
Extraction of metal from ore;Het extraheren van metaal van erts
Uses of radioactivity, including radioactive dating;Het gebruik van radioactiviteit, inclusief het radioactieve datering
The ear;Het oor
Transport of reactants/products;Het transport van reactanten/producten
Obtaining and using materials;Het verkrijgen en gebruiken van materialen
Heterocyclic Compounds;Heterocyclische verbindingen
Higgs particle ;Higgsboson
HII region;H-II- gebied
Angular velocity;Hoeksnelheid
Angular acceleration;Hoekversnelling
High Energy Physics;Hoge-energie fysica
Main sequence;Hoofdreeks
Audible ranges;Hoorbaar bereik
Horizontal throw;Horizontale worp
Horology;Horologie
Wood ;Hout
Wood production;Houtproductie
Hubble expansion;Hubbleconstante
Domestic animal;Huisdier
Domestic appliances;Huishoudelijke apparatuur
Conservation of momentum;Impuls
Impulse;Impuls
Industrial devices;Industriële apparatuur
Inelastic collision;Inelastische botsing
Inertia;Inertie (traagheid)
Inflation;Inflatie
Information transmission, analogue and digital signals;Informatie transmissie, analoge en digitale signalen
Infrared;Infrarood
Insect;Insect
Insulin;Insuline
Integumentary System;Integumentair systeem
Intergalactic medium;Intergalactisch medium
International scale;Internationale schaal
Internal Energy;Interne Energie
Internal Structure;Interne structuur
Interstellar medium;Interstellair medium
Ionic bonds;Ionische verbindingen
Isothermal;Isothermisch
Isovolumetric ;Isovolumetrische
Cape;Kaap
Maps & plans;Kaarten en plattegronden
Catalysts;Katalysatoren (katalysator)
Ceramics production;Keramiekproductie
Nuclear power plant ;Kerncentrale
Nuclear energy ;Kernenergy
Nuclear fusion;Kernfusie
Nuclear physics;Kernfysica
Nuclear fission;Kernsplijting (Atoomsplitising)
Kinetic energy;Kinetische energie
Colour;Kleur
Climate;Klimaat
Climate ;Klimaat
Climatic influences on ecosystems;Klimaatsinvloeden op het ecosysteem
Climatic phenomenon ;Klimaatsverschijnsel
Climatic phenomenon ;Klimatologisch verschijnsel
Cloning, selective breeding and genetic engineering;Klonen / fokken en genetische manipulatie
Carbon;Koolstof
Carbon and nitrogen cycles;Koolstof-stikstofcycles
Hydrocarbons;Koolwaterstof
Cosmic background radiation;Kosmische achtergrondstraling
Cosmic rays;Kosmische straling
Cosmology;Kosmologie
Forces and motion;Krachten en beweging
Crater;Krater
Kuiper belt objects;Kuipergordel objecten
Nitrogenous fertilizers;Kunstmest
Coasts;Kusten
Quantum Chemistry;Kwantumchemie
stratum;Laag
Tools for science;Laboratorium materialen
Laboratory measuring instruments, including sensors and meters;Laboratorium meetinstrumenten, inclusief sensoren en meters
Laboratory equipment – generally;Laboratoriumapparatuur - in het algemeen
Laboratory glassware;Laboratoriumglaswerk
Charge;Lading
Rural settlements;Landelijke nederzettingen
Landscape;Landschap
Landforms;Landvorm
Noise ;Lawaai
Longitudinal waves;Lengte golven
Leptons ;Leptonen
Life cycle;Levenscyclus
Lifecycle of products;Levenscyclus van producten
Life processes;Levensprocessen
Liver;Lever
Supply of resources;Levering van bestaansmiddelen
Light;Licht
Visible light;Licht
Refraction;Lichtbreking (straalbreking)
Light sources;Lichtbronnen
Light curve;Lichtcurve
Mains electricity - generally;Lichtnet - in het algemeen
Mains electricity safety;Lichtnet veiligheid
Rectilinear motion;Lineaire beweging
Local scale;Lokale schaal
Lorentz force;Lorentzkracht
air ;Lucht
Air resistance;Luchtweerstand
Loudness;Luidheid
Luminescent;Luminescentie
Stomach;Maag
Stomach acid and bile;Maagzuur en gal
Moon;Maan
Lunar eclipse;Maansverduistering
Machines;Machines
Meadow;Made (weiland)
Magnetic field;Magnetisch veld
Magnetic force;Magnetische kracht
Magnetic materials;Magnetische materialen
Magnetism - generally;Magnetisme - in het algemeen
Mass;Massa
Mass;Massa
Centre of mass;Massamiddelpunt
Mass loss;Massaverlies
Material Science;Materiaalkunde
Grouping materials;Materialen groeperen
Speed in media;Mediasnelheid
Lake ;Meer
More economically developed countries;Meer economisch ontwikkelde landen
Meiosis;Meiose
Milky Way;Melkweg
Mixtures;Mengsels (mengsel)
Human health: smoking;Menselijke gezondheid: roken
Human health: teeth;Menselijke gezondheid: tanden
Human influences on ecosystems;Menselijke invloeden op ecosystemen
Human patterns;Menselijke patronen
Human processes;Menselijke processen
Menstrual cycle;Menstruatiecyclus
Metal processing;Metaalbewerking
Metals - generally;Metalen - in het algemeen
Metals – generally;Metalen - in het algemeen
Meteor;Meteoor
Meteorite;Meteoriet
Meteorology ;Meteorologie
Microbiology ;Microbiologie
Microwaves;Microgolven
Microlensing effect;Microlensing effect
Micro-organism ;Micro-organisme
Microscope;Microscoop
Migration;Migratie
Mining;Mijnbouw
Mining ;Mijnbouw
Environment;Milieu
Environmental protection;Milieubescherming
Environmental protection ;Milieubescherming
Environmental education ;Milieu-educatie
Environmental causes of variation;Milieu-oorzaken van variatie
Environmental issues;Milieuvraagstukken
Less economically developed countries;Minder economisch ontwikkelde landen
Mineral ;Mineraal
Minerals;Mineralen
Mineralogy ;Mineralogie
Mitosis;Mitose
Remote Laboratories;Mobiele laboratoria
Molecules – generally;Moleculen - in het algemeen
Moment of inertia;Moment van traagheid
Moments;Momenten
Monohybrid inheritance;Monohybride erfelijkheid
Musical instruments;Muzikale instrumenten
Nanotechnology;Nanotechnologie
National park ;Nationaal park
National scale;Nationale schaal
Environment ;Natuur
Environmental Education;Natuur- en milieueducatie
Physics;Natuurkunde
Physical constants ;Natuurkundige constanten
Natural resources;Natuurlijke bronnen
Natural resources ;Natuurlijke bronnen
Natural population change;Natuurlijke populatieverandering
Natural phenomenon ;Natuurverschijnsel
Nautical tools;Nautische instrumenten
Settlements: size/character/function;Nederzettingen: omvang/karakter/ functie
Settlements: change;Nederzettingen: verandering
Location of settlements;Nederzettinglokaties
Neutron stars;Neutronensterren (-star)
Nebula;Nevel
North America;Noord Amerika
Nuclear force;Nucleaire kracht
Nuclear decay;Nucleaire verval
Nucleus: protons, neutrons;Nucleonen: protonen, neutronen
Nucleosynthesis;Nucleosynthese
Ocean ;Oceaan
Oceania;Oceanië
Big Bang;Oerknal
Oil ;Olie
Reversible reactions;Omkeerbare reacties
Asexual reproduction;Ongeslachtelijke voortplanting
Invertebrate;Ongewervelden
Online Laboratories;Online laboratoria
Irregular galaxy;Onregelmatig sterrenstelsel
exploration of the earth ;Ontdekken van de aarde
Explorer;Ontdekker
Escape velocity;Ontsnappingssnelheid
Origin and evolution of the universe;Ontstaan en evolutie van het universum
Development & quality of life;Ontwikkeling en kwaliteit van leven
Differences in development within countries;Ontwikkelingsverschillen binnen landen
Differences in development between countries;Ontwikkelingsverschillen tussen landen
Open clusters;Open cluster
Solubility;Oplosbaarheid
Surface;Oppervlakte
Optics;Optica
Orbit;Orbit
Organs;Organen
Organic Agriculture;Organische architectuur
Organic Biology;Organische biologie
Organic Polymers;Organische polymeren
Organic chemistry;Organische scheikunde
Organic Reaction;Organische synthese
Oscillations;Oscillatie
Transition metals;Overgangsmetalen (-metaal)
Oxidation and reaction;Oxidatie en reactie
Palaeontology ;Paleontologie
Paper production;Papierproductie
Parallel circuits;Parallelle schakelingen
Parasite;Parasiet
Breeding;Paren
Patterns in general;Patronen in het algemeen
Period;Periode
Periodic table;Periodiek systeem
Planetary nebula;Planetaire nevel
Planets;Planeten
Asteroids;Planetoïden
Asteroid belt;Planetoïdengordel
Planning & management of resources;Planning & beheersing van bestaansmiddelen
Plants;Planten
Botany;Plantenleer
Plant nutrition and growth;Plantenvoeding en -groei
Plastics/polymers;Plastics / polymeren
Aurora;Poollicht (Aurora)
Population & resources;Populatie & bestaansmiddelen
Population change;Populatieverandering
Population distribution;Populatieverdeling
Potential;Potentieel
Potential energy;Potentiële energie
Processes in general;Processen in het algemeen
Projection;Projectie
Puberty/adolescence;Puberteit / adolescentie
Pulsars;Pulsar
QCD, jets & gluons ;QCD , jets en gluonen
Quarks & hadrons ;Quarks & Hadronen
Quasars;Quasar
Radioactivity;Radioactiviteit
Radio waves;Radiogolven
Rockets;Raketten (raket)
Patterns in reactions;Reactiepatronen
Reaction rates;Reactieratios
Reactions with metals;Reacties met metalen
Recycling ;Recycling
Reference Frame;Referentiekader
Reflection;Reflectie
regional geography ;Regionale geografie
Regional scale;Regionale schaal
regional language ;Regionale taal
Theory of relativity;Relativiteitstheorie
Reptile;Reptiel
Giants;Reuzen
Rivers;Rivieren
Robotics;Robotica
X-rays;Röntgenstraling
Redshift;Roodverschuiving
Rotation;Rotatie
Rotation curve;Rotatiecurve
Spatial properties;Ruimtelijke eigenschappen
Spatial heterogeneity;Ruimtelijke homogeniteit
Spatial information;Ruimtelijke informatie
Spatial interactions;Ruimtelijke interacties
Spatial interpolation;Ruimtelijke interpolatie
Spatial transformations;Ruimtelijke veranderingen
Space ships;Ruimteschepen
Space stations;Ruimtestations
Space-time symmetries ;Ruimte-tijd symmetrieën
Space flight;Ruimtevlucht
Invariant mass ;Rustmassa
Compounds - generally;Samenstellingen - in het algemeen
Satellite images;Satelietbeelden
Satellites: artificial satellites;Satellieten: kunstmatige satelieten
Satellites: natural satellites;Satellieten: natuurlijke satellieten
Circuits - generally;Schakelingen - in het algemeen
Chemistry;Scheikunde
Writing ad press;Schrijven van ad pers
Seismic waves;Seismische golf
seismology;Seismologie
Seasons;Seizoenen
Sensors;Sensoren
Separation - other;Separatie - anders
Separation - generally;Separatie - in het algemeen
Series circuits;Seriële schakelingen
Skeleton and muscles;Skelet en spieren
Pendulum;Slinger
Foucault pendulum;Slinger van Foucault
Melting/boiling points;Smelt- / kookpunten (-punt)
Velocity;Snelheid
social geography ;Sociale geografie
Solar-terrestrial relations;Solar terrestrial relations
Space-Time Information;Space - Time Information (STI)
Reactivity series;Spanningsreeks der metalen
Sperm;Sperma
Muscles;Spieren
Digestive System;Spijsvertering (maag-darmstelsel
Arachnid;Spinachtigen
Spiral galaxy;Spiraalvormig sterrenstelsel
Standard model ;Standaard model
Statistical mechanics;Statische thermodynamica
Urban settlements;Stedelijke nederzettingen
Rock types;Steentypen
Rigid body;Sterlichaam
Stars;Sterren
Star chart;Sterrenkaart
Galaxies and Dwarf galaxies;Sterrenstelsels en dwerg sterrenstelsels
Observatories;Sterrenwacht (Observatoria)
Stimulus and response;Stimulus en respons
Dust;Stof
Jets;Stralen (straal)
Radiation;Straling
Radiation transfer;Stralingsoverdracht
Supernova;Supernova
Supernova remnants;Supernovarest
Synchrontron radiation ;Synchrontron straling
Supersymmetry ;Sypersymmetrie
Teeth;Tanden
Taxonomy;Taxonomie
Technological applications;Tchnologische applicaties
Conflicting demands on environments;Tegenstrijdige eisen aan het milieu
Tectonic hazards & human responses;Tektonische gevaren & menselijke reacties
Tectonic processes;Tektonische processen
Telecommunications;Telecommunicatie
Temperature and heat;Temperatuur en warmte
Textiles;Textiel
Thermodynamics;Thermodynamica
Thermodynamic Cycle;Thermodynamische cyclus (kringproces)
Thermal decomposition;Thermolyse
Thermometers;Thermometers
Tongue;Tong
Pitch;Toonhoogte
Transport (air, water and ground);Transport (lucht, water en weg)
Transport and water in plants;Transport en water in planten
Transverse waves;Transversale golven
Garden;Tuin
Gardening;Tuinieren
Second scientific revolution;Tweede wetenschappelijke revolutie
Types of economic activity;Typen van economische activiteit
Extinction;Uitsterven
Ultrasound;Ultrageluid
Ultraviolet;Ultraviolet
Universal law of gravitation;Universele Wet van de zwaartekracht
Universe – generally;Universum - in het algemeen
Variable stars;Variabele sterren
Variation – generally;Variatie - in het algemeen
Variation, inheritance and evolution;Variatie, afkomst en evolutie
Solids, liquids and gases;Vaste stoffen, vloeistoffen en gassen
Solid State Chemistry;Vastestofchemie
Fields;Velden
Fieldwork equipment;Veldwerkapparatuur
Changes in distribution of economic activity & their impact;Veranderingen van de distributie van de economische activiteit en de invloed hiervan
Bonding – generally;Verbindingen - in het algemeen
Burning;Verbranding
Displacement reactions;Verdringingsreacties
Equations and formulae;Vergelijkingen en formules
Toxin;Vergif
Accelerometers;Versnellingsmeter
Vertical throw;Verticale worp
Pollution ;Vervuiling
Weathering;Verwering
Fish ;Vissen (vis)
Fishery;Visserij
Plain ;Vlakte
Nutrition and digestion - generally;Voeding en vertering - in het algemeen
Food as fuel;Voedsel als brandstof
Food chain;Voedselketen
Food chains and webs;Voedselketens en -netwerken
Bird;Vogel
Voltage;Voltage
Reproduction;Voortplanting
Reproductive system;Voortplantingssysteem
Free electron lasers;Vrije electronen-laser
Volcano ;Vulkaan
Volcanoes;Vulkanen (vulkaan)
Water;Water
Water ;Water
Water, landscapes & people - general information;Water, landschap & mensen - algemene informatie
Water cycle;Watercyclus
Watercourse;Watergang (wateroppervlakte)
Watercourse ;Watergang (wateroppervlakte)
Hydroelectric power plant ;Waterkrachtcentrale
Tissues;Weefsel
Weather;Weer
Global scale;Wereldschaal
Global distribution of tectonic activity;Wereldwijde distributie van tectonische activiteit
Work and power;Werk en Kracht
Ampere's law;Wet van Ampere
Conservation of mass;Wet van behoud van massa
Coulomb law;Wet van Coulomb
Kepler's laws;Wet van Kepler
Newton's laws;Wet van Newton
Science: historical and contemporary examples;Wetenschap: historische en hedendaagse voorbeelden
Scientists and inventors;Wetenschappers en uitvinders
Maxwell's equations;Wetten van Maxwell
Laws of Thermodynamics;Wetten van thermodynamica
wild animal ;Wild dier
AC/DC;Wisselstroom/gelijkstroom
Desert ;Woestijn
Seeds;Zaden
Sea ;Zee
Nerve;Zenuwen
Nervous system ;Zenuwstelsel
Vision;Zicht
Senses;Zintuigen
Zodiac;Zodiak
Zodiacal light;Zodiakaal licht
Sun;Zon
Solar activity;Zonneactiviteit
Solar system;Zonnestelsel
Sunspots;Zonnevlek
Solar eclipse;Zonsverduistering
Mammal;Zoogdier
Zoology ;Zoölogie
South & Central America;Zuid en Centraal Amerika
Acid rain ;Zure regen
Acids, alkalis and bases;Zuur, alkali en base
Gravitational force and gravity;Zwaartekracht
Gravitational lenses;Zwaartekrachtlensen (-lens)
Gravitational field;Zwaartekrachtsveld
Weak interactions: electroweak ;Zwakke wisselwerkingen: electrozwakke
Weak interactions: quarks & leptons;Zwakke wisselwerkingen: quarks & leptonen
Black holes;Zwarte gaten (zwart gat)

