Music;Muziek
Film music;Filmmuziek
Flat;Flat
Flute;Fluit
Phonetics;Fonetiek
Fortepiano / Pianoforte;Fortepiano / Pianoforte
Four Seasons;Four Seasons
French Horn;Franse hoorn
Frequency;Frequentie
Fugue;Fuga
G;G
Whole;Geheel
Sound retrieval;Geluid ophalen
Sound oscillator / Envelope;Geluid oscillator / Envelope
Controlling sounds;Geluiden beheersen
Internalising sounds;Geluiden internaliseren
Sound recognition;Geluidserkenning
Sound spectrum;Geluidsspectrum
Dotted Note ;Gestippelde noot
Dotted Rest;Gestippelde rust
Guitar;Gitaar
Glockenspiel;Glockenspiel
Waveforms;Golfvormen
Waves;Golven
Gong;Gong
Gregorian chant;Gregoriaans
Grieg;Grieg
Major;Groot
Minim rest;Halve rust
Handel;Handel
Harmonic Intervals;Harmonische Intervallen
Harmonics;Harmonischen
Harp;Harp
Haydn;Haydn
Contemporary;Hedendaags
Music of the present;Hedendaagse muziek
Whole note ;Hele noot
Whole rest;Hele rust
Whole Tone Scale;Hele toonladder
Hemidemisemiquaver ;Hemidemisemiquaver
Repeat Sign;Herhaal teken
Oboe;Hobo
Holst;Holst
Hummel;Hummel
Improvising;Improviseren
Responding & reviewing;Inspelen & reviewing
Instrument building / making;Instrument bouwen / maken
Instruments & performers;Instrumenten & performers
Intervals;Intervallen
Jazz Music;Jazz muziek
Johann Christian Bach;Johann Christian Bach
Kalomiris;Kalomiris
Chamber Music;Kamermuziek
Chamber Music ;Kamermuziek
Chamber Music Hall;Kamermuziekzaal
Church;Kerk
Sound analysis;Klankanalyse
Phonology;Klankleer
Clarinet;Klarinet
Classical Music;Klassieke muziek
Classical Period;Klassieke Periode
Clavichord;Klavichord
Minor Scale;Kleine schaal
Koehler;Koehler
Choir;Koor
Cornet;Kornet
Korsakov;Korsakov
Quartet ;Kwartet
Crotchet;Kwartnoot
Quarter note;Kwartnoot
Crotchet rest;Kwartrust
La;La
Lassus;Lassus
Late Romantic era;Late Romantiek
Leontaritis;Leontaritis
Song;Lied
Liszt;Liszt
Live performance;Live optreden
Loudspeaker;Luidspreker
Lute;Luit
Lully;Lully
M.I.D.I (Musical Instrument Digital Interface);M.I.D.I ( Musical Instrument Digital Interface )
Time Signature;Maatsoort
Madrigal;Madrigaal
Mahler;Mahler
Major chord;Majeur akkoord
Major Triads;Majeur drieklank
Major and Minor 7ths;Majeur en Mineur 7e akkoord
Major Scale;Majeure schaal
Mandolin;Mandoline
Maracas;Maracas
Medicine, Psychology;Medici, psychologie
Melody ;Melodie
Melodic Intervals;Melodische intervallen
Mendelssohn;Mendelssohn
Human;Menselijk
Using the voice;Met behulp van de stem
Metallophone;Metallofoon
Measure;Meten
Mi;Mi
Microphone;Microfoon
Medieval/Middle Ages;Middeleeuwse / Middeleeuwen
Middle Romantic era;Midden Romantiek
Minor;Mineur
Minor Triads;Mineure drieklank
Minim note;Minim noot
Mitropoulos;Mitropoulos
Modernism;Modernisme
Harmonica;Mondharmonica
Motet;Motet
Mozart;Mozart
MP3;MP3
Mussorgsky;Mussorgsky
Music as a performance art;Muziek als een kunst
Analysing music;Muziek analyseren
Music e-learning ;Muziek e - learning
Music and ICT;Muziek en IT
Music and ICT hardware;Muziek en IT hardware
Music and ICT software;Muziek en IT software
Music and ICT terms;Muziek en IT termen
Music and Media;Muziek en media
Music and Physics;Muziek en natuurkunde
Music and Science;Muziek en wetenschap
Music and Mathematics;Muziek en wiskunde
Music recording;Muziek opnemen
Music Psychology;Muziek Psychologie
Music Software;Muziek Software
Theatre Music;Muziek theater
Music from Africa;Muziek uit Afrika
Music from the Americas;Muziek uit Amerika
Music from other places/cultures;Muziek uit andere plaatsen / culturen
Music from other traditions;Muziek uit andere tradities
Music from Australasia;Muziek uit Australazië
Music from Asia;Muziek uit Azië
16th c. Music;Muziek uit de 16e eeuw
17th c. Music;Muziek uit de 17e eeuw
18th c. Music;Muziek uit de 18e eeuw
19th c. Music;Muziek uit de 19e eeuw
20th c. Music (contemporary);Muziek uit de 20e eeuw (hedendaags)
Music from Europe;Muziek uit Europa
Music of the past;Muziek uit het verleden
Music Videoconference Loop;Muziek Videoconferentie Loop
Music analysis ;Muziekanalyse
Music editing;Muziekbewerking
Ethnomusicology;Muziekethnologie
Music genres;Muziekgenres
Music History;Muziekgeschiedenis
Recalling music: aural memory;Muziekherinnering: auditieve geheugen
Musicology;Muziekleer
Music Education;Muziekonderwijs
Music Stage;Muziekpodium
Music School;Muziekschool
Sociomusicology;Muzieksociologie
Music Therapy;Muziektherapie
Musicology;Muziekwetenschap
Musical elements & devices;Muzikale elementen & apparaten
Musical expression;Muzikale expressie
Musical instruments / Human voice;Muzikale instrumenten / menselijke stem
Musical features;Muzikale opties
Musical stimuli;Muzikale stimuli
Physics;Natuurkunde
Natural;Natuurlijk
Non-musical stimuli;Niet-muzikale stimuli
Nocturne;Nocturne
Note;Noot
Note values;Nootwaarden
Notation / Music Theory / Harmony/Musical Morphology;Notatie / Muziektheorie / Harmonie / Muzikale morfologie
Notation Software;Notatiessoftware
Octave;Octaaf
Octet ;Octet
Practising;Oefenen
Invert Triads;Omgekeerde drieklank
Online performance ;Online prestaties
Earphones;Oortelefoons
Opera;Opera
Recorded performance;Opgenomen uitvoering
Oratorio;Oratoria
Organ;Orgel
Orchestra ;Orkest
Orchestration ;Orkestratie
Ancient / Roman era;Oude / Romeinse tijd
Tie ;Overbinding
Recital ;Overweging
Paganini;Paganini
Palestrina;Palestrina
Score;Partituur
Timpani;Pauk
Pentatonic Scale;Pentatonische toonladder
Percussions;Percussie
Staff;Personeel
Piano;Piano
Pitch/melody;Pitch / melodie
Polka ;Polka
Polyphony;Polyphony
Pop – Rock Music;Pop en rock muziek
Presto ;Presto
Progression ;Progressie
Pronomos;Pronomos
Psychoacoustics;Psychoakoestiek
Puccini;Puccini
Purcell;Purcell
Pythagoras;Pythagoras
Rachmaninoff;Rachmaninoff
Ravel;Rafel
Rameau;Rameau
Rhapsody ;Rapsode
Re;Re
Recorder;Recorder
Reflective composing;Reflecterend componeren
Reicha;Reicha
Relative Minor & major ;Relatieve nineur en majeur
Rehearsing;Repeteren
Rest;Rest
Rhythm ;Ritme
Rhythm (duration), pulse/beat;Ritme (duur ) , puls / tel
Romantic Period;Romantische periode
Rossini ;Rossini
Space ;Ruimte
Saint Romanos the Melodist;Saint Romanos de Melodist
Saint Saens;Saint Saens
Salieri;Salieri
Saxophone;Saxofoon
Scale ;Schaal
Sharp;Scherp
Schoenberg;Schoenberg
School;School
Notation ;Schrijfwijze
Schubert;Schubert
Schumann;Schumann
Scriabin;Scriabin
Sequencer;Sequencer
Serialism;Serialisme
Si;Si
Sibelius;Sibelius
Skalkotas;Skalkotas
Beat ;Slaan
Clef ;Sleutel
Snare Drum;Snaar Drum
Strings;Snaarinstrumenten
Sol;Sol
Sonata ;Sonate
Lyrics;Songtekst
Soprano;Sopraan
Playing instruments: sounds & techniques;Spelen instrumenten : geluiden & technieken
Staccato ;Staccato
Stamitz;Stamitz
Voice;Stem
Tuning;Stemming
Street music;Straatmuziek
Strauss;Strauss
Streaming ;Streaming
String Quartet;String Quartet
Structure: form;Structuur : vorm
Sus2 and sus4 Chords;Sus2 en sus4 akkoord
Symphony ;Symfonie
Symphonic Music;Symfonische muziek
Symphonic Poem;Symphonic Poem
Synthesizer;Synthesizer
Synthesizer / Electric Piano;Synthesizer / Electrische piano
Linguistics;Taalwetenschap
Tambourine;Tamboerijn
Tchaikovsky;Tchaikovsky
Telemann;Telemann
Tempo;Tempo
Tenoro;Tenoro
Theatre;Theater
Ti;Ti
Timbre ;Timbre
Keyboards;Toetsinstrumenten
Tonality;Tonaliteit
Tonality ;Tonaliteit
Tonality/harmony;Tonaliteit / harmony
Tonic ;Tonic
Wave nodes;Toongolven
Pitch;Toonhoogte
Pitch ;Toonhoogte
Traditional Music;Traditionele muziek
Triangle;Triangel
Trio ;Trio
Trombone;Trombone
Trumpet;Trompet
Troubadours and trouvères;Troubadours en trouveres
Tuba;Tuba
Thirty-second note ;Tweeëndertigste noot
Thirty-second note rest;Tweeëndertigste noot rust
Performing/controlling sounds;Uitvoeren / geluidbeheersing
Performing with others;Uitvoeren met anderen
Ukulele;Ukulele
Verdi;Verdi
Diminished and Augmented Triads;Verminderde en vermeerderde trides
Sixty-fourth note  ;Vierenzestigste noot
Sixty-fourth note rest;Vierenzestigste noot rust
Violin;Viool
Vivaldi;Vivaldi
Vocal Music;Vocale muziek
Track;Volgen
Prelude ;Voorspel
Key Signature;Voortekening
Table of Key Signature;Voortekenstabel
Early Romantic era;Vroege Romantiek
Range of activities;Waaier van activiteiten
Wagner;Wagner
WAV;WAV
Xenakis;Xenakis
Xylophone;Xylofoon
Sixth and Ninth Chords;Zesde en negende akkoord
Semiquaver;Zestiende noot
Sixteenth note;Zestiende noot
Singing, including diction, sounds & techniques;Zingen , waaronder dictie , geluiden & technieken

