ICT;IT
ICT opportunities;IT kansen
ICT tools;IT tools
ICT tools – generally;IT tools - in het algemeen
ICT tools: adventure games/simulations;IT tools:avonturen spellen / simulaties
ICT tools: control software;IT tools: besturingssoftware
ICT tools: bitmap graphics software;IT tools: bitmap grafische software
ICT tools: database;IT tools: databank
ICT tools: datalogging software;IT tools: datalogging software
ICT tools: desktop publishing (DTP);IT tools: desktop publishing ( DTP )
ICT tools: multimedia authoring software;IT tools: multimedia-authoring -software
ICT tools: music & sound software;IT tools: muziek & geluid software
ICT tools: presentation software;IT tools: presentatiesoftware
ICT tools: spreadsheet;IT tools: spreadsheet
ICT tools: word processor;IT tools: tekstverwerker
ICT tools: vector graphics program;IT tools: vector graphics programma
ICT tools: web authoring software;IT tools: web- authoring-software
ICT tools: web browser;IT tools: web browser
Java;Java
JavaScript;JavaScript
jQuery;JQuery
Maps and plans;Kaarten en plattegronden
Character;Karakter
Customer service;Klantenservice
Critical evaluation;Kritische evaluation
Artificial intelligence;Kunstmatige intelligentie
Malicious code;Kwaadaardige code
Quality & accuracy;Kwaliteit en nauwkeurigheid
Laser printers;Laserprinters
Teaching materials;Lesmateriaal
Reading for information;Lezen om informatie op
liquid crystal display panels;Liquid crystal display panelen
Local Area Network;Local Area Network
Local data collection & holding;Lokale gegevens verzamelen & bedrijf
Machine language;Machinetaal
Malware;Malware
Mass media;Massamedia
Media;Media
Media education;Media-educatie
Media literacy;Mediageletterdheid
Media library;Mediatheek
Using images & text;Met behulp van afbeeldingen en tekst
Using IT safely;Met behulp van IT veilig
Using applications;Met behulp van toepassingen
MIDI hardware;MIDI -hardware
Misuse of data;Misbruik van gegevens
Mnemonics;Mnemoniek
Modelling;Modellering
Multimedia;Multimedia
Reflecting on ICT in society;Nadenken over IT in de samenleving
Network;Netwerk
New technologies & tools;Nieuwe technologieën en gereedschappen
Newsletter, poster, flyer production;Nieuwsbrief , poster , flyer productie
Latest digital products;Nieuwste digitale producten
Numerical notation;Numerieke notatie
Number conversion;Nummerconversie
Numbers;Nummers
Maintaining;Onderhoud
Research a problem using ICT;Onderzoek een probleem met behulp van IT
Online identity;Online identiteit
Design;Ontwerp
Developments in software & hardware & their impact;Ontwikkelingen in de software & hardware & het effect
Open Source;Open Source
Retrieving information that has been stored;Ophalen van informatie die is opgeslagen
Storage devices;Opslagapparaten
Draft/manipulate information/data using ICT;Opstellen / manipuleren van informatie / gegevens met behulp van IT
Patterns;Patronen
PHP;PHP
Planning what data to record;Plannen welke gegevens op te nemen
Planning;Planning
Plausibility;Plausibiliteit
Podcast;Podcast
Presentation;Presentatie
Presentation software;Presentatie -software
Presentation of information & data;Presentatie van informatie en gegevens
Present work effectively;Presenteer werk effectief
Presenting measured data;Presenteren van meetgegevens
Printer;Printer
Privacy and personal information;Privacy en persoonlijke informatie
Problem solving;Probleemoplossing
Procedures/macros/templates;Procedures / macros / sjablonen
Processor;Processor
Programm;Programma
Programmable toy;Programmeerbaar speelgoed
Programming language;Programmeertaal
Programming;Programmering
Pseudocode;Pseudocode
Publishing on the web;Publiceren op het web
Public information systems;Publieke informatiesystemen
Record information/data using ICT;Record informatie / gegevens met behulp van IT
Reference material;Referentiemateriaal
Considering 'what if...?'/predicting;Rekening houdend met ' wat als ... ? ' / Voorspellen
Relationships & rules;Relaties & regels
Robotics;Robotica
Collaboration;Samenwerking
Screen;Scherm
Disk drive/hard disk;Schijf / harde schijf
Screencast;Screencast
Security Administrator;Security Administrator
Select from and add to information for particular purposes;Selecteer de van en toevoegen aan informatie voor bepaalde doeleinden
Select and use ICT tools and techniques appropriately, safely and efficiently;Selecteren en gebruiken ICT-hulpmiddelen en -technieken adequaat , veilig en efficiënt
Semantics;Semantiek
Sensors & software Appropriate/not appropriate;Sensors & software geschikt / niet geschikt
Sequencing;Sequencing
Simulating;Simuleren
Social networking;Sociaal netwerken
Software;Software
Collate, analyse & evaluate information/data using ICT;Sorteren, analyseren en informatie / gegevens met behulp van IT te evalueren
Spam;Spam
Specification;Specificatie
Still images - generally;Stilstaande beelden - algemeen
Still images: bitmap graphics;Stilstaande beelden: bitmap afbeeldingen
Still images: graphs;Stilstaande beelden: grafieken
Still images: pictograms;Stilstaande beelden: pictogrammen
Still images: vector graphics;Stilstaande beelden: vector afbeeldingen
Flow chart;Stroomschema
Structure of systems;Structuur van systemen
Syntax;Syntaxis
Synthesising information;Synthetiseren van informatie
Systems;Systemen
Systems in context;Systemen in context
Language;Taal
Low level languages;Talen van laag niveau
Technology;Technologie
Technological education;Technologische opvoeding
Technological change;Technologische verandering
Text;Tekst
Processing text & images;Tekstverwerken en afbeeldingen
Word processing software;Tekstverwerker
Terminology;Terminologie
Stepping back from ICT;Terugstappen vanuit IT
Testing;Testen
Access Control;Toegangscontrole
Access Control List;Toegangscontrole lijst
Access Rights;Toegangsrechten
Future developments;Toekomstige ontwikkelingen
Keyboard Mouse;Toetsenbord Muis
Trojan;Trojaans
Printout;Uitdraai
Output;Uitgang
Safe searching;Veilige zoeken
Security, accuracy & plagiarism;Veiligheid , nauwkeurigheid en plagiaat
Security, password selection & protection;Veiligheid , wachtwoordselectie & bescherming
Changing technologies;Veranderende technologieën
Video;Video
Video & audio;Video & audio
Video conferencing;Videoconferencing
Video recorders;Videorecorders
Virtual reality;Virtual reality
Virus;Virus
Voice/fax/data modems;Voice / fax / data modems
Advantages & disadvantages;Voordelen & nadelen
Benefits & problems;Voordelen en problemen
Benefits & problems of data collection;Voordelen en problemen van de gegevensverzameling
Password security;Wachtwoord beveiliging
What if scenarios, ICT in action;Wat als-scenario's , IT in actie
Web 2.0;Web 2.0
Web 2.0 tools;Web 2.0-tools
Web development;Webontwikkeling
Website;Website
Website design features;Website design kenmerken
Web technologies;Webtechnologieën
Working with cameras & video;Werken met camera's & video
Working with mobile technology;Werken met mobiele technologie
Data protection act;Wet data bescherming
Wide Area Information Servers (WAIS);Wide Area Information Servers ( WAIS )
Wide Area Network;Wide Area Network
Dictionary;Woordenboek
Lexis;Woordenschat
Vocabulary;Woordenschat
Working independently;Zelfstandig werken
Search;Zoeken
Internet searching;Zoeken op Internet
Search techniques;Zoektechnieken

